,0,1,2,3,4,5,6,7
0,1,44:24,Haile Gebrselassie,ETH,18.04.73,1,Tilburg,04.09.2005
1,2,44:27,Leonard Komon,KEN,10.01.88,1,Amsterdam - Zaandam,18.09.2011
2,3,44:38,Samuel Tsegay Tesfamriam,ERI,24.02.88,2,Amsterdam - Zaandam,18.09.2011
3,4,44:41,Martin Irungu Mathathi,KEN,25.12.85,1,Kosa,12.12.2004
4,5,44:42+,Martin Irungu Mathathi,KEN,25.12.85,1,Newcastle-South Shields,18.09.2011
5,6,44:45,Paul Koech,KEN,25.06.69,1,Amsterdam - Zaandam,21.09.1997
6,7,44:50+,Abadi Hadis,ETH,06.11.97,1,Ra's Al Khaymah,08.02.2019
7,8,44:51+,Stephen Kiprop,KEN,08.09.99,2,Ra's Al Khaymah,08.02.2019
8,9,44:52+,Deriba Merga Ejigu,ETH,26.10.80,1,Ra's Al Khaymah,18.02.2011
9,10,44:53+,Haile Gebrselassie,ETH,18.04.73,1,Tempe,15.01.2006
10,10,44:53+,Sammy Kirop Kitwara,KEN,26.11.86,1,Philadelphia,18.09.2011
11,12,44:54+,Mathew Kisorio,KEN,16.05.89,2,Philadelphia,18.09.2011
12,13,44:59,Martin Irungu Mathathi,KEN,25.12.85,1,Kosa,05.12.2010
13,14,45:00+,Julien Wanders,SUI,18.03.96,3,Ra's Al Khaymah,08.02.2019
14,14,45:00+,Morris Munene,KEN,07.04.95,4,Ra's Al Khaymah,08.02.2019
15,16,45:01,Martin Irungu Mathathi,KEN,25.12.85,1,Kosa,10.12.2006
16,17,45:02+,Bedan Karoki,KEN,21.08.90,1,Philadelphia,21.09.2014
17,18,45:03,Rodgers Chumo,KEN,03.03.98,1,Tilburg,03.09.2017
18,19,45:06,Evans Chebet,KEN,05.03.88,2,Tilburg,03.09.2017
19,20,45:07,Charles Ndungu,KEN,20.02.96,2,Kosa,29.11.2015
20,21,45:08,Charles Kamathi,KEN,18.05.78,1,Amsterdam - Zaandam,22.09.2002
21,22,45:09+,Cyprian Kotut,KEN,06.06.92,2,Philadelphia,21.09.2014
22,23,45:10,Samuel Wanjiru,KEN,10.11.86,1,Kosa,11.12.2005
23,24,45:12+,Paul Tergat,KEN,17.06.69,1,Milano,04.04.1998
24,24,45:12,Bernard Koech,KEN,31.01.88,1,Tilburg,07.09.2014
25,26,45:13,John Mwangangi,KEN,01.11.90,3,Amsterdam - Zaandam,18.09.2011
26,27,45:14,Charles Langat,KEN,28.04.96,1,Amsterdam - Zaandam,17.09.2022
27,28,45:15+,Paul Kosgei,KEN,22.04.78,1=,Berlin,02.04.2006
28,28,45:15+,Evans Kiprop Cheruiyot,KEN,10.05.82,1=,Berlin,02.04.2006
29,28,45:15,Gideon Ngatuny,KEN,10.10.86,1r1,Kosa,07.12.2008
30,28,45:15+,Haile Gebrselassie,ETH,18.04.73,1,Newcastle-South Shields,19.09.2010
31,28,45:15,Kennedy Kimutai,KEN,18.06.90,4,Amsterdam - Zaandam,18.09.2011
32,28,45:15,Joshua Cheptegei,UGA,12.09.96,1,Amsterdam - Zaandam,23.09.2018
33,34,45:16+,Paul Tergat,KEN,17.06.69,1,Milano,17.04.1999
34,34,45:16,Simon Wangui,KEN,12.11.78,1,Philadelphia,05.05.2002
35,34,45:16,Moses Masai,KEN,01.06.86,1,Amsterdam - Zaandam,20.09.2009
36,34,45:16,Charles Kamathi,KEN,18.05.78,2,Amsterdam - Zaandam,20.09.2009
37,34,45:16,Joseph Ebuya,KEN,20.06.87,1,Portsmouth,24.10.2010
38,39,45:17,Sammy Kirop Kitwara,KEN,26.11.86,1,Amsterdam - Zaandam,21.09.2008
39,39,45:17,Geoffrey Kipchumba,KEN,02.11.92,2,Amsterdam - Zaandam,17.09.2022
40,41,45:18,Josephat Machuka,KEN,12.12.73,1,Amsterdam - Zaandam,22.09.1996
41,42,45:19,Edwin Kiptoo,KEN,14.08.93,1,Amsterdam - Zaandam,20.09.2015
42,42,45:19,Jeremiah Karemi Thuku,KEN,07.07.94,1,Kosa,29.11.2015
43,44,45:21,Bernard Koech,KEN,31.01.88,1,Tilburg,06.09.2015
44,45,45:22,Brahim Lahlafi,MAR,15.04.68,1,Amsterdam - Zaandam,20.09.1998
45,46,45:23,Shadrack Kemboi,KEN,19.02.86,1,Schortens,21.08.2010
46,46,45:23,Rodgers Chumo,KEN,03.03.98,1,Tilburg,02.09.2018
47,48,45:24,John Kariuki,KEN,10.11.86,1r1,Kosa,09.12.2007
48,48,45:24,Ayele Abshero,ETH,28.12.90,2,Amsterdam - Zaandam,21.09.2008
49,50,45:25,Edwin Kiptoo,KEN,28.12.87,1,Amsterdam - Zaandam,18.09.2016
50,51,45:26,John Mwangangi,KEN,01.11.90,1,Amsterdam - Zaandam,19.09.2010
51,52,45:27,Francis Kibiwott,KEN,15.09.78,1,Amsterdam - Zaandam,17.09.2006
52,52,45:27,Moses Masai,KEN,01.06.86,2,Amsterdam - Zaandam,19.09.2010
53,54,45:28,Nguse Tesfaldet,ERI,10.11.86,1,Amsterdam - Zaandam,22.09.2013
54,55,45:29,Simon Maina Munyi,KEN,18.03.78,1,Kosa,09.12.2001
55,55,45:29,Fabiano Joseph Naasi,TAN,24.12.85,2,Amsterdam - Zaandam,17.09.2006
56,55,45:29,Getu Feleke,ETH,28.11.86,3,Amsterdam - Zaandam,20.09.2009
57,58,45:30+,Paul Tergat,KEN,17.06.69,1,Newcastle-South Shields,16.09.2001
58,58,45:30,Martin Irungu Mathathi,KEN,25.12.85,1,Kosa,14.12.2003
59,58,45:30,John Mwangangi,KEN,01.11.90,2,Amsterdam - Zaandam,22.09.2013
60,61,45:31,Abera Kuma,ETH,31.08.90,2,Schortens,21.08.2010
61,61,45:31,Peter Kirui,KEN,02.01.88,3,Amsterdam - Zaandam,22.09.2013
62,61,45:31,Abera Kuma,ETH,31.08.90,4,Amsterdam - Zaandam,22.09.2013
63,64,45:33+,Ryan Hall,USA,14.10.82,1,Houston,14.01.2007
64,64,45:33,Ayele Abshero,ETH,28.12.90,3,Amsterdam - Zaandam,19.09.2010
65,64,45:33,Jonathan Maiyo,KEN,05.05.88,4,Amsterdam - Zaandam,19.09.2010
66,64,45:33,Abraham Kipyatich,KEN,10.05.93,1,Kosa,01.12.2019
67,68,45:36,Ondoro Osoro,KEN,03.12.67,1,Sankt Peterburg,18.10.1997
68,69,45:37,John Langat,KEN,31.12.96,2,Tilburg,06.09.2015
69,69,45:37,Yohanes Gebregerish,ERI,01.01.89,3,Tilburg,06.09.2015
70,71,45:38,Ismael Kirui,KEN,20.02.75,1,Washington DC,09.04.1995
71,71,45:38,Stephen Chelimo,KEN,09.08.85,1,Schortens,16.08.2008
72,71,45:38,Joshua Cheptegei,UGA,12.09.96,2,Amsterdam - Zaandam,18.09.2016
73,71,45:38,Birhanu Legesse,ETH,09.11.94,1,Amsterdam - Zaandam,17.09.2017
74,75,45:39,Abdallah Mande,UGA,10.05.95,3,Tilburg,03.09.2017
75,76,45:40,Hisatoshi Shintaku,JPN,20.12.57,1,Karatsu,19.02.1984
76,76,45:40+,Martin Lel,KEN,29.10.78,1,Newcastle-South Shields,30.09.2007
77,76,45:40+,Samuel Wanjiru,KEN,10.11.86,2,Newcastle-South Shields,30.09.2007
78,76,45:40,Gilbert Kirwa,KEN,20.12.85,4,Tilburg,06.09.2015
79,80,45:41+,Jackson Koech,KEN,26.12.78,1,Newcastle-South Shields,21.09.2003
80,80,45:41,Micah Kogo,KEN,03.06.86,4,Amsterdam - Zaandam,20.09.2009
81,80,45:41+,Stanley Biwott,KEN,21.04.86,1,Philadelphia,16.09.2012
