,0,1,2,3,4,5,6,7
0,1,37:11,Roman Rasskazov,RUS,28.04.79,1,Saransk,28.05.2000
1,2,37:33,Erik Tysse,NOR,04.12.80,1,Hildesheim,27.08.2006
2,3,37:44,Erik Tysse,NOR,04.12.80,1,Oslo,12.06.2009
3,3,37:44,Wang Zhen,CHN,24.08.91,1,Beijing,18.09.2010
4,5,37:50,Andreas Erm,GER,12.03.76,1,Berlin,27.05.2000
5,6,37:52,Francisco Javier Fernández,ESP,05.03.77,1,Kraków,08.06.2002
6,7,37:57,Robert Korzeniowski,POL,30.07.68,2,Kraków,08.06.2002
7,7,37:57,Zhu Yafei,CHN,05.09.88,2,Beijing,18.09.2010
8,9,38:00,Giorgio Rubino,ITA,30.04.73,3,Beijing,18.09.2010
9,9,38:00,Wang Hao,CHN,16.08.89,4,Beijing,18.09.2010
10,9,38:00,Vasiliy Mizinov,RUS,29.12.97,1,Voronovo,23.08.2020
11,12,38:01,Pyotr Trofimov,RUS,18.12.83,1,Bui,13.09.2014
12,13,38:01.4,Francisco Javier Fernández,ESP,05.03.77,1,Kraków,09.06.2001
13,14,38:03.2,Robert Korzeniowski,POL,30.07.68,2,Kraków,09.06.2001
14,15,38:04.7,Artur Meleshkevich,BLR,11.04.75,3,Kraków,09.06.2001
15,16,38:09.7,Nathan Deakes,AUS,17.08.77,4,Kraków,09.06.2001
16,17,38:10,Luis Fernando López,COL,03.06.79,5,Beijing,18.09.2010
17,18,38:11,Valeriy Borchin,RUS,03.07.86,1,Kraków,30.05.2009
18,19,38:12,Francisco Javier Fernández,ESP,05.03.77,1,Madrid,04.03.2006
19,20,38:13,Kim Hyun-sub,KOR,31.05.85,6,Beijing,18.09.2010
20,21,38:17,Andrey Rudnitskiy,RUS,12.11.79,1,Saransk,19.09.2009
21,22,38:19,Ivano Brugnetti,ITA,01.09.76,1,Fiumicino,09.09.2007
22,23,38:21,Ilya Markov,RUS,19.06.72,2,Hildesheim,27.08.2006
23,24,38:23,Chen Ding,CHN,05.08.92,7,Beijing,18.09.2010
24,25,38:24,Jefferson Pérez,ECU,01.07.74,3,Kraków,08.06.2002
25,26,38:25,Francisco Javier Fernández,ESP,05.03.77,1,San Fernando,03.02.2007
26,26,38:25,Ilya Markov,RUS,19.06.72,2,San Fernando,03.02.2007
27,28,38:26.4,Daniel García,MEX,28.10.71,1,Sønder Omme,17.05.1997
28,29,38:28,Francisco Javier Fernández,ESP,05.03.77,1,Madrid,26.04.2008
29,29,38:28,Stanislav Yemelyanov,RUS,23.10.90,2,Saransk,19.09.2009
30,31,38:29,Jared Tallent,AUS,17.10.84,8,Beijing,18.09.2010
31,32,38:30,Ilya Markov,RUS,19.06.72,2,Madrid,04.03.2006
32,33,38:31,Eder Sánchez,MEX,21.05.86,3,Saransk,19.09.2009
33,34,38:33,Francisco Javier Fernández,ESP,05.03.77,1,Kraków,12.06.2004
34,35,38:38,Erik Tysse,NOR,04.12.80,2,Kraków,30.05.2009
35,36,38:38.3,Ilya Markov,RUS,19.06.72,5,Kraków,09.06.2001
36,37,38:40,Aleksandr Yargunkin,RUS,06.01.81,1,Klimovsk,09.05.2006
37,37,38:40,Chu Yafei,CHN,05.09.88,1,Kraków,29.05.2010
38,39,38:41,Luke Adams,AUS,22.10.76,9,Beijing,18.09.2010
39,40,38:42,Ilya Markov,RUS,19.06.72,1,Kraków,03.06.2000
40,40,38:42,Park Chil-sung,KOR,08.07.82,10,Beijing,18.09.2010
41,40,38:42,Perseus Karlström,SWE,02.05.90,1,Madrid,16.05.2022
42,43,38:44,Robert Korzeniowski,POL,30.07.68,1,Hildesheim,14.09.2003
43,43,38:44,Vladimir Kanaykin,RUS,21.03.85,1,Buy,19.09.2010
44,45,38:45,Francisco Javier Fernández,ESP,05.03.77,1,Almería,13.02.2005
45,46,38:46,Juan Manuel Molina,ESP,15.03.79,3,Madrid,04.03.2006
46,46,38:46,Yohann Diniz,FRA,01.01.78,3,Kraków,30.05.2009
47,46,38:46,Eder Sánchez,MEX,21.05.86,2,Kraków,29.05.2010
48,49,38:47,Vladimir Andreyev,RUS,07.09.66,2,Kraków,03.06.2000
49,49,38:47,Robert Korzeniowski,POL,30.07.68,1,Kraków,14.06.2003
50,49,38:47,Kirill Frolov,RUS,29.09.93,1,Mis,03.05.2019
51,52,38:48,Robert Korzeniowski,POL,30.07.68,3,Kraków,03.06.2000
52,53,38:49,Diego García,ESP,19.01.96,2,Madrid,16.05.2022
53,54,38:50,Vladimir Stankin,RUS,02.01.74,2,Saransk,28.05.2000
54,54,38:50,Wang Zhen,CHN,24.08.91,1,La Coruña,17.09.2011
55,54,38:50,Aleksandr Yargunkin,RUS,06.01.81,1,Mis,09.05.2015
56,57,38:51,Nathan Deakes,AUS,17.08.77,1,Dublin,16.06.2001
57,58,38:52,Ivan Trotskiy,BLR,27.05.76,2,Hildesheim,14.09.2003
58,58,38:52,Ilya Markov,RUS,19.06.72,1,Kraków,17.09.2005
59,60,38:55,Francisco Javier Fernández,ESP,05.03.77,1,Madrid,01.06.2003
60,60,38:55,Ivan Trotskiy,BLR,27.05.76,2,Kraków,14.06.2003
61,60,38:55,Erik Tysse,NOR,04.12.80,1,Søfteland,26.03.2006
62,60,38:55,Pyotr Trofimov,RUS,18.12.83,1,Voronovo,12.09.2015
63,64,38:56.2,Yevgeniy Misyulya,BLR,13.03.64,6,Kraków,09.06.2001
64,65,38:57,Aleksandr Yargunkin,RUS,06.01.81,4,Saransk,19.09.2009
65,66,38:59,Francisco Javier Fernández,ESP,05.03.77,1,Cieza,25.03.2001
66,66,38:59,Robert Korzeniowski,POL,30.07.68,2,Madrid,01.06.2003
67,66,38:59,Erik Tysse,NOR,04.12.80,2,Kraków,17.09.2005
68,66,38:59,Chris Erickson,AUS,01.12.81,11,Beijing,18.09.2010
69,66,38:59,Aku Partanen,FIN,28.10.91,1,Tuusula,14.04.2012
70,71,39:00,Chu Yafei,CHN,05.09.88,1,Xi'an,21.10.2006
71,72,39:01,Ilya Markov,RUS,19.06.72,4,Kraków,08.06.2002
72,72,39:01,Aigars Fadejevs,LAT,27.12.75,3,Kraków,14.06.2003
73,72,39:01,Grzergorz Sudol,POL,28.08.78,1,Zaniemysl,23.04.2005
74,75,39:02.5,Denis Langlois,FRA,10.10.68,7,Kraków,09.06.2001
75,76,39:03,Cristian Berdeja,MEX,21.06.81,5,Kraków,08.06.2002
76,76,39:03,Wang Hao,CHN,16.08.89,5,Saransk,19.09.2009
77,78,39:04,Robert Korzeniowski,POL,30.07.68,1,Zaniemysl,17.04.2004
78,78,39:04,Sergey Kozhevnikov,RUS,09.05.01,1,Sochi,17.02.2020
79,80,39:05,Nazar Kovalenko,UKR,09.02.87,2,Voronovo,12.09.2015
80,81,39:06,Luis Fernando López,COL,03.06.79,3,Kraków,29.05.2010
81,81,39:06,João Vieira,POR,20.02.76,12,Beijing,18.09.2010
82,81,39:06,Cai Zelin,CHN,11.04.91,13,Beijing,18.09.2010
83,81,39:06,Anatoliy Kukushkin,RUS,12.02.86,2,Buy,19.09.2010
84,81,39:06,Francesco Fortunato,ITA,13.12.94,1,Modena,18.10.2020
85,86,39:07,Matej Tóth,SVK,10.02.83,14,Beijing,18.09.2010
86,86,39:07,Chu Yafei,CHN,05.09.88,2,La Coruña,17.09.2011
87,88,39:07.38,Axel Noack,GER,23.09.61,1,Neubrandenburg,10.07.1988
88,89,39:08,Benjamin Kucinski,POL,01.06.82,2,Zaniemysl,23.04.2005
89,89,39:08,Bertrand Moulinet,FRA,06.01.87,1,Voronovo,30.08.2014
90,89,39:08,Aleksandr Yargunkin,RUS,06.01.81,2,Bui,13.09.2014
91,92,39:09,Artur Meleshkevich,BLR,11.04.75,6,Kraków,08.06.2002
92,92,39:09,Cristian Berdeja,MEX,21.06.81,3,Madrid,01.06.2003
93,92,39:09,Igor Yerokhin,RUS,04.09.85,1,Buy,24.09.2006
94,95,39:10,José Ignacio Díaz,ESP,22.11.79,4,Madrid,04.03.2006
95,95,39:10,João Vieira,POR,20.02.76,3,La Coruña,17.09.2011
96,95,39:10,Tom Bosworth,GBR,17.01.90,1,Coventry,01.03.2020
97,95,39:10,Wen Youngjie,CHN,28.09.99,1,Hangzhou,17.04.2022
98,99,39:12,Francisco Javier Fernández,ESP,05.03.77,1,Punta Umbría,26.01.2008
99,99,39:12,João Vieira,POR,20.02.76,4,Kraków,30.05.2009
100,10,39:13,Igor Yerokhin,RUS,04.09.85,1,Izhevsk,16.09.2006
101,10,39:13,Edikt Khabullin,RUS,29.05.89,1,Adler,24.02.2008
102,10,39:13,Caio Bonfim,BRA,19.03.91,3,Madrid,16.05.2022
103,10,39:14,Grzergorz Sudol,POL,28.08.78,4,Kraków,29.05.2010
104,10,39:14,Eder Sánchez,MEX,21.05.86,4,La Coruña,17.09.2011
105,10,39:15,Aleksey Bartsaykin,RUS,22.03.89,2,Adler,24.02.2008
106,10,39:15,Alex Schwazer,ITA,26.11.84,5,Kraków,30.05.2009
107,10,39:15,Robert Heffernan,IRL,28.02.78,5,La Coruña,17.09.2011
108,10,39:15,Xu Hao,CHN,06.02.99,2,Hangzhou,17.04.2022
109,11,39:16,Denis Strelkov,RUS,26.10.90,3,Adler,24.02.2008
110,11,39:16,Luke Adams,AUS,22.10.76,6,Saransk,19.09.2009
111,11,39:17,Stanislav Yemelyanov,RUS,23.10.90,4,Adler,24.02.2008
112,11,39:17,Erik Tysse,NOR,04.12.80,5,Kraków,29.05.2010
113,11,39:17,Giorgio Rubino,ITA,30.04.73,1,Bressanone,07.07.2012
114,11,39:17,Gabriel Bordier,FRA,08.10.97,1,Albi,13.09.2020
115,11,39:17,Zhang Jiaxu,CHN,04.01.00,3,Hangzhou,17.04.2022
116,11,39:18,Juan Manuel Molina,ESP,15.03.79,2,Almería,13.02.2005
117,11,39:18,Zhang Jun,CHN,20.07.98,4,Madrid,16.05.2022
118,11,39:19,Vladimir Stankin,RUS,02.01.74,2,Klimovsk,09.05.2006
119,11,39:19,Isamu Fujisawa,JPN,12.10.87,6,La Coruña,17.09.2011
120,11,39:19,Massimo Stano,ITA,27.02.92,1,Pescara,07.09.2018
121,12,39:20,Adam Rutter,AUS,24.12.86,15,Beijing,18.09.2010
122,12,39:21,Robert Heffernan,IRL,28.02.78,6,Kraków,29.05.2010
123,12,39:21,Li Yandong,CHN,02.02.98,4,Hangzhou,17.04.2022
124,12,39:21,Francesco Fortunato,ITA,13.12.94,5,Madrid,16.05.2022
125,12,39:22,Erik Tysse,NOR,04.12.80,1,Bergen/Storetv,20.04.2004
126,12,39:22,Ivan Losev,UKR,26.01.86,1,Lutsk,28.06.2015
127,12,39:23,Timothy Seaman,USA,14.05.72,2,Bergen/Storetv,20.04.2004
128,12,39:23,Erik Tysse,NOR,04.12.80,1,Søfteland,25.03.2007
129,12,39:23,Hatem Ghoula,TUN,07.06.73,6,Kraków,30.05.2009
130,12,39:23,Maksim Krasnov,RUS,10.02.96,2,Mis,03.05.2019
131,12,39:23,Gu Qiejia,CHN,01.01.02,1,Huangshan,20.03.2021
132,13,39:24,Francisco Javier Fernández,ESP,05.03.77,1,Guadix,24.08.2002
133,13,39:24,Francisco Javier Fernández,ESP,05.03.77,3,Kraków,17.09.2005
134,13,39:25,Erik Tysse,NOR,04.12.80,3,Hildesheim,14.09.2003
135,13,39:25,Francisco Javier Fernández,ESP,05.03.77,1,Granollers,02.12.2007
136,13,39:25,Juan Manuel Molina,ESP,15.03.79,7,Kraków,29.05.2010
137,13,39:25,Kirill Frolov,RUS,29.09.93,3,Voronovo,12.09.2015
138,13,39:25,Maksim Denisov,RUS,07.05.05,1,Sochi,13.02.2023
139,14,39:26,Denis Nizhegorodov,RUS,26.07.80,3,Saransk,28.05.2000
140,14,39:26,Juan Manuel Molina,ESP,15.03.79,1,Guadix,10.04.2004
141,14,39:26,Chu Yafei,CHN,05.09.88,7,Saransk,19.09.2009
142,14,39:26,Gianluca Picchiottino,ITA,22.08.96,2,Pescara,07.09.2018
143,14,39:27,Grzergorz Sudol,POL,28.08.78,7,Kraków,30.05.2009
144,14,39:27,Wang Zhen,CHN,24.08.91,1,Ordos,14.09.2012
145,14,39:28,Jared Tallent,AUS,17.10.84,8,Saransk,19.09.2009
146,14,39:28,Ivano Brugnetti,ITA,01.09.76,1,Borgo Valsugan,30.05.2010
147,14,39:28,Li Xingfu,CHN,18.07.02,1u,Huangshan,20.03.2021
148,14,39:28.6,Robert Heffernan,IRL,28.02.78,8,Kraków,09.06.2001
149,15,39:29,Giorgio Rubino,ITA,30.04.73,2,Fiumicino,09.09.2007
150,15,39:30,José Marin,ESP,25.01.50,4,La Coruña,03.06.1989
151,15,39:30,Aleksandr Bibayev,RUS,19.02.86,3,Buy,19.09.2010
152,15,39:30,Luís Alberto Amezcua,ESP,01.05.92,1,San Fernando,04.02.2017
