,0,1,2,3,4,5,6,7
0,1,26:54,Eliud Kipchoge,KEN,05.11.84,1,Madrid,31.12.2006
1,1,26:54,Zersenay Tadese,ERI,08.02.82,2,Madrid,31.12.2006
2,3,27:01,Rhonnex Kipruto,KEN,12.10.99,1,Atlanta,04.07.2019
3,4,27:09,Stephenson Nyamu,KEN,20.11.71,1,Pittsburgh,24.09.1995
4,5,27:11,Joseph Kimani,KEN,21.09.72,2,Pittsburgh,24.09.1995
5,6,27:14,Ondoro Osoro,KEN,03.12.67,1,Pittsburgh,28.09.1997
6,7,27:15,Jimmy Muindi,KEN,14.08.73,3,Pittsburgh,24.09.1995
7,8,27:16,Patrick Nthiwa,KEN,30.06.83,1,Salt Lake City,24.07.2003
8,9,27:17,Hezron Otwori,KEN,25.12.76,2,Pittsburgh,28.09.1997
9,10,27:18,John Kariuki,KEN,13.02.69,4,Pittsburgh,24.09.1995
10,11,27:19,Alene Emere,ETH,05.03.82,1,Salt Lake City,29.07.2010
11,12,27:20,Jon Brown,GBR,27.02.71,5,Pittsburgh,24.09.1995
12,13,27:24,Hezron Otwori,KEN,25.12.76,6,Pittsburgh,24.09.1995
13,14,27:25,Risto Ulmala,FIN,07.05.63,7,Pittsburgh,24.09.1995
14,15,27:29,Bravin Kipkoech Kiptoo,KEN,26.02.00,2,Atlanta,04.07.2019
15,16,27:31,Gideon Mutisya,KEN,17.01.67,8,Pittsburgh,24.09.1995
16,16,27:31,James Theury,KEN,30.11.78,1,Pittsburgh,29.09.2002
17,18,27:32,Gilbert Koech,KEN,01.09.80,1,Pittsburgh,30.09.2001
18,18,27:32,Moses Macharia,KEN,76,2,Pittsburgh,29.09.2002
19,20,27:33,John Kariuki,KEN,13.02.69,1,Salt Lake City,24.07.1998
20,21,27:34,Gilbert Okari,KEN,02.07.78,2,Pittsburgh,30.09.2001
21,21,27:34,Eliud Kipchoge,KEN,05.11.84,1,Madrid,31.12.2005
22,21,27:34,Erick Kiptanui,KEN,90,1,Madrid,31.12.2017
23,24,27:35,Gilbert Okari,KEN,02.07.78,3,Pittsburgh,29.09.2002
24,24,27:35,Andrew Ledwith,IRL,25.06.85,2,Salt Lake City,29.07.2010
25,26,27:37,John Kagwe,KEN,09.01.69,9,Pittsburgh,24.09.1995
26,26,27:37,James Bungei,KEN,03.03.68,1,Lima,19.11.1995
27,28,27:38,James Bungei,KEN,03.03.68,1,Phoenix,29.10.1995
28,28,27:38,Dejene Berhanu,ETH,12.12.80,4,Pittsburgh,29.09.2002
29,30,27:39,Craig Mottram,AUS,18.06.80,3,Madrid,31.12.2006
30,31,27:41,Simon Chemoiywo,KEN,20.04.68,2,Salt Lake City,24.07.1998
31,32,27:43,Juan Armando Quintanilla,MEX,19.04.68,1,Pittsburgh,29.09.1991
32,32,27:43,Larbi Zéroual,MAR,10.01.71,3,Pittsburgh,28.09.1997
33,32,27:43,John Gwako,KEN,04.09.78,3,Salt Lake City,24.07.1998
34,35,27:44,Ed Eyestone,USA,15.06.61,1,Salt Lake City,24.07.1993
35,35,27:44,Lazarus Nyakeraka,KEN,22.11.75,3,Pittsburgh,30.09.2001
36,37,27:45,William Koech,KEN,02.12.61,10,Pittsburgh,24.09.1995
37,37,27:45,Paul Donovan,IRL,11.07.63,2,Phoenix,29.10.1995
38,37,27:45,Joseph Kimani,KEN,21.09.72,1,Pittsburgh,29.09.1996
39,40,27:46,Yobes Ondieki,KEN,21.02.61,1,Des Moines,29.04.1989
40,41,27:47,Stephen Koech,KEN,16.12.76,1,Toronto,06.05.2007
