,0,1,2,3,4,5,6,7
0,1,40:27+,Jacob Kiplimo,UGA,14.11.00,1,Lisboa,21.11.2021
1,2,40:43+,Jacob Kiplimo,UGA,14.11.00,1,Ra's Al Khaymah,19.02.2022
2,3,41:05,Joshua Cheptegei,UGA,12.09.96,1,Nijmegen,18.11.2018
3,3,41:05+,Geoffrey Kamworor,KEN,28.11.92,1,København,15.09.2019
4,5,41:09+,Rodgers Chumo,KEN,03.03.98,2,Ra's Al Khaymah,19.02.2022
5,6,41:10+,Rhonex Kipruto,KEN,12.10.99,1=,Valencia,06.12.2020
6,6,41:10+,Kibiwott Kandie,KEN,20.06.96,1=,Valencia,06.12.2020
7,8,41:11+,Philemon Kiplimo,KEN,10.10.98,3=,Valencia,06.12.2020
8,8,41:11+,Alexander Mutiso,KEN,10.09.96,3=,Valencia,06.12.2020
9,8,41:11+,Jacob Kiplimo,UGA,14.11.00,3=,Valencia,06.12.2020
10,11,41:13,Leonard Komon,KEN,10.01.88,1,Nijmegen,21.11.2010
11,12,41:16+,Daniel Mateiko,KEN,04.08.98,1=,Valencia,24.10.2021
12,12,41:16+,Rhonex Kipruto,KEN,12.10.99,1=,Valencia,24.10.2021
13,12,41:16+,Philemon Kiplimo,KEN,10.10.98,1=,Valencia,24.10.2021
14,12,41:16+,Abel Kipchumba,KEN,03.02.94,1=,Valencia,24.10.2021
15,12,41:16+,Kennedy Kimutai,KEN,18.06.90,1=,Valencia,24.10.2021
16,12,41:16+,Kibiwott Kandie,KEN,20.06.96,1,Valencia,23.10.2022
17,18,41:17,Joshua Cheptegei,UGA,12.09.96,1,Nijmegen,18.11.2017
18,18,41:17+,Mathew Kimeli,KEN,01.04.98,6,Valencia,24.10.2021
19,20,41:18+,Muktar Edris,ETH,14.01.94,7,Valencia,24.10.2021
20,21,41:22+,Haile Gebrselassie,ETH,18.04.73,1,Tilburg,04.09.2005
21,21,41:22+,Kelvin Kiptum,KEN,02.12.99,8,Valencia,24.10.2021
22,23,41:26+,Leonard Komon,KEN,10.01.88,1,Amsterdam - Zaandam,18.09.2011
23,23,41:26+,Daniel Kibet,KEN,17.05.96,3,Ra's Al Khaymah,19.02.2022
24,23,41:26+,Yomif Kejelcha,ETH,01.08.97,2=,Valencia,23.10.2022
25,23,41:26+,Kennedy Kimutai,KEN,03.06.99,2=,Valencia,23.10.2022
26,23,41:26+,Daniel Mateiko,KEN,04.08.98,2=,Valencia,23.10.2022
27,28,41:27+,Rodgers Chumo,KEN,03.03.98,9,Valencia,24.10.2021
28,28,41:27+,Alexander Mutiso,KEN,10.09.96,4=,Ra's Al Khaymah,19.02.2022
29,28,41:27+,Seifu Tura,ETH,17.06.97,4=,Ra's Al Khaymah,19.02.2022
30,28,41:27+,Kenneth Renju,KEN,96,4=,Ra's Al Khaymah,19.02.2022
31,28,41:27+,Amdework Walelegn,ETH,11.03.99,4=,Ra's Al Khaymah,19.02.2022
32,33,41:28+,Felix Kipkoech,KEN,01.02.98,10,Valencia,24.10.2021
33,33,41:28+,Benard Kibet,KEN,25.11.99,1=,Ra's Al Khaymah,18.02.2023
34,33,41:28+,Daniel Mateiko,KEN,04.08.98,1=,Ra's Al Khaymah,18.02.2023
35,36,41:29,Felix Limo,KEN,22.08.80,1,Nijmegen,11.11.2001
36,36,41:29+,Samuel Wanjiru,KEN,10.11.86,1,Ra's Al Khaymah,09.02.2007
37,36,41:29+,Deriba Merga Ejigu,ETH,26.10.80,1,Ra's Al Khaymah,20.02.2009
38,39,41:30+,Samuel Wanjiru,KEN,10.11.86,1,Den Haag,17.03.2007
39,39,41:30+,Patrick Makau,KEN,02.03.85,2,Ra's Al Khaymah,20.02.2009
40,39,41:30+,Samuel Tsegay Tesfamriam,ERI,24.02.88,2,Amsterdam - Zaandam,18.09.2011
41,39,41:30+,Bernard Ngeno,KEN,10.08.96,2,København,15.09.2019
42,39,41:30+,Sabastian Sawe,KEN,16.03.95,5,Valencia,23.10.2022
43,44,41:31+,Amos Kurgat,KEN,07.03.92,3=,København,15.09.2019
44,44,41:31+,Edwin Kiptoo,KEN,14.08.93,3=,København,15.09.2019
45,44,41:31+,Kelvin Kiptum,KEN,02.12.99,6,Valencia,06.12.2020
46,47,41:32+,James Mwangi Murigi,KEN,15.07.86,1,København,18.09.2016
47,48,41:33+,Zersenay Tadese,ERI,08.02.82,1,Lisboa,21.03.2010
48,49,41:34+,Zersenay Tadese,ERI,08.02.82,1,Udine,14.10.2007
49,49,41:34+,Deriba Merga Ejigu,ETH,26.10.80,2,Udine,14.10.2007
50,49,41:34+,Patrick Makau,KEN,02.03.85,3,Udine,14.10.2007
51,49,41:34+,Evans Kiprop Cheruiyot,KEN,10.05.82,4,Udine,14.10.2007
52,49,41:34+,Berehanu Tsegu,ETH,30.09.99,5,København,15.09.2019
53,49,41:34+,Rodgers Chumo,KEN,03.03.98,1,Istanbul,27.03.2022
54,49,41:34+,Tadese Worku,ETH,20.01.02,6,Valencia,23.10.2022
55,56,41:35+,Wilson Kipsang Kiprotich,KEN,15.03.82,3,Ra's Al Khaymah,20.02.2009
56,57,41:37+,Abraham Kiptum,KEN,15.09.89,1,Valencia,28.10.2018
57,57,41:37+,Sabastine Kimaru,KEN,16.03.95,1,Roma-Ostia Lido,06.03.2022
58,59,41:38,Haile Gebrselassie,ETH,18.04.73,2,Nijmegen,11.11.2001
59,59,41:38,Sileshi Sihine,ETH,29.01.83,1,Nijmegen,21.11.2004
60,59,41:38a+,Martin Irungu Mathathi,KEN,25.12.85,1,Newcastle-South Shields,18.09.2011
61,59,41:38+,Erick Kiptanui,KEN,19.04.90,1,Berlin,08.04.2018
62,59,41:38+,Abel Kipchumba,KEN,03.02.94,8,Ra's Al Khaymah,19.02.2022
63,64,41:40+,Jemal Yimer,ETH,11.09.96,2=,Valencia,28.10.2018
64,64,41:40+,Abadi Hadis,ETH,06.11.97,2=,Valencia,28.10.2018
65,64,41:40+,Richard Yator,KEN,06.04.98,3,Ra's Al Khaymah,18.02.2023
66,67,41:41+,Bedan Karoki,KEN,21.08.90,1,Cardiff,26.03.2016
67,67,41:41+,Geoffrey Kamworor,KEN,28.11.92,2,Cardiff,26.03.2016
68,69,41:43+,Alex Kibet,KEN,10.11.90,1,Ra's Al Khaymah,08.02.2018
69,70,41:44+,Wilson Chebet,KEN,07.12.85,4,Ra's Al Khaymah,20.02.2009
70,70,41:44+,Deriba Merga Ejigu,ETH,26.10.80,1,Ra's Al Khaymah,18.02.2011
71,70,41:44+,Jemal Yimer,ETH,11.09.96,2=,Ra's Al Khaymah,08.02.2018
72,70,41:44+,Jorum Okombo,KEN,10.12.97,2=,Ra's Al Khaymah,08.02.2018
73,70,41:44+,Bedan Karoki,KEN,21.08.90,2=,Ra's Al Khaymah,08.02.2018
74,70,41:44+,Andamlak Belihu,ETH,20.11.98,4,Valencia,28.10.2018
75,76,41:45+,Haile Gebrselassie,ETH,18.04.73,1,Tempe,15.01.2006
