,0,1,2,3,4,5,6,7
0,1,7:58.61,Daniel Komen,KEN,17.05.76,1,Hechtel,19.07.1997
1,2,7:58.91,Daniel Komen,KEN,17.05.76,1,Sydney,28.02.1998
2,3,8:01.08,Haile Gebrselassie,ETH,18.04.73,1,Hengelo,31.05.1997
3,4,8:01.72,Haile Gebrselassie,ETH,18.04.73,1,London,07.08.1999
4,5,8:01.86,Haile Gebrselassie,ETH,18.04.73,1,Hengelo,30.05.1999
5,6,8:03.50,Craig Mottram,AUS,18.06.80,1,Eugene,10.06.2007
6,7,8:03.54,Daniel Komen,KEN,17.05.76,1,Lappeenranta,14.07.1996
7,8,8:04.83,Tariku Bekele,ETH,21.01.87,2,Eugene,10.06.2007
8,9,8:07.07,Matt Tegenkamp,USA,19.01.82,3,Eugene,10.06.2007
9,10,8:07.46,Haile Gebrselassie,ETH,18.04.73,1,Kerkrade,28.05.1995
10,11,8:07.54,Joshua Cheptegei,UGA,12.09.96,1,Palo Alto,30.06.2019
11,12,8:07.59,Paul Chelimo,USA,27.10.90,2,Palo Alto,30.06.2019
12,13,8:07.68,Eliud Kipchoge,KEN,05.11.84,1,Eugene,04.06.2005
13,14,8:07.85,Mohamed Farah,GBR,23.03.83,1,Birmingham,24.08.2014
14,15,8:08.69,Selemon Barega,ETH,20.01.00,3,Palo Alto,30.06.2019
15,16,8:09.01,Moses Kiptanui,KEN,01.10.70,1,Hechtel,30.07.1994
16,17,8:09.55,Joshua Cheptegei,UGA,12.09.96,1,Eugene,21.08.2021
17,18,8:09.6+,Daniel Komen,KEN,17.05.76,1,Bruxelles,22.08.1997
18,19,8:09.82,Selemon Barega,ETH,20.01.00,2,Eugene,21.08.2021
19,20,8:09.83,Paul Chelimo,USA,27.10.90,3,Eugene,21.08.2021
20,21,8:10.16,Jacob Kiplimo,UGA,14.11.00,4,Eugene,21.08.2021
21,22,8:10.59,Benjamin Limo,KEN,23.08.74,1,Eugene,28.05.2006
22,23,8:10.98,Khalid Boulami,MAR,07.08.69,1,Hechtel,06.07.1996
23,24,8:11.04,Berihu Aregawi,ETH,28.02.01,5,Eugene,21.08.2021
24,25,8:11.09,Grant Fisher,USA,22.04.97,6,Eugene,21.08.2021
25,26,8:11.16,Craig Mottram,AUS,18.06.80,1,London,03.08.2007
26,27,8:11.27,Craig Mottram,AUS,18.06.80,1,Sheffield,21.08.2005
27,28,8:11.48,Alan Webb,USA,13.01.83,2,Eugene,04.06.2005
28,29,8:11.55,Joe Klecker,USA,16.11.96,7,Eugene,21.08.2021
29,30,8:11.59,Bob Kennedy,USA,18.08.70,2,Hechtel,19.07.1997
30,31,8:11.62,Boaz Cheboiywo,KEN,02.08.78,3,Eugene,04.06.2005
31,32,8:11.73,Ismaïl Sghyr,MAR,16.03.72,2,Hechtel,06.07.1996
32,33,8:11.74,Dathan Ritzenhein,USA,30.12.82,4,Eugene,10.06.2007
33,34,8:12.17,Khalid Skah,MAR,29.01.67,1,Hechtel,31.07.1993
34,35,8:12.2+,Daniel Komen,KEN,17.05.76,1,Zürich,14.08.1996
35,36,8:12.29,Eliud Kipchoge,KEN,05.11.84,2,Eugene,28.05.2006
36,37,8:12.4+,Haile Gebrselassie,ETH,18.04.73,1,Helsinki,13.06.1998
37,38,8:12.45,Bernard Lagat,USA,12.12.74,1,Eugene,08.06.2008
38,39,8:12.73,Adam Goucher,USA,18.02.75,3,Eugene,28.05.2006
39,40,8:12.74,Marc Davis,USA,17.12.69,1,Göteborg,24.08.1994
40,41,8:12.86,Boniface Songok,KEN,25.12.80,2,Sheffield,21.08.2005
41,42,8:12.92,Khalid Skah,MAR,29.01.67,2,Göteborg,24.08.1994
42,43,8:13.16,Rashid Ramzi,BRN,17.07.80,2,Eugene,08.06.2008
43,44,8:13.31,Paul Kipsiele Koech,KEN,10.11.81,3,Eugene,08.06.2008
44,45,8:13.40,Moses Kiptanui,KEN,01.10.70,1,Rieti,05.09.1995
45,46,8:13.45,Saïd Aouita,MAR,02.11.59,1,Torino,28.05.1987
46,47,8:13.47,Richard Limo,KEN,18.11.80,2,Hengelo,30.05.1999
