,0,1,2,3,4,5,6,7
0,1,4:44.79,Hicham El Guerrouj,MAR,14.09.74,1,Berlin,07.09.1999
1,2,4:46.88,Ali Saïdi-Sief,ALG,15.03.78,1,Strasbourg,19.06.2001
2,3,4:47.88,Noureddine Morceli,ALG,28.02.70,1,Paris,03.07.1995
3,4,4:48.36,Hicham El Guerrouj,MAR,14.09.74,1,Gateshead,19.07.1998
4,5,4:48.69,Vénuste Niyongabo,BDI,09.12.73,1,Nice,12.07.1995
5,6,4:48.74,John Kibowen,KEN,21.04.69,1,Hechtel,01.08.1998
6,7,4:49.00,Vénuste Niyongabo,BDI,09.12.73,1,Rieti,03.09.1997
7,8,4:49.55,Noureddine Morceli,ALG,28.02.70,1,Nice,10.07.1996
8,9,4:50.01,Jakob Ingebrigtsen,NOR,19.09.00,1,Oslo,11.06.2020
9,10,4:50.08,Noah Ngeny,KEN,02.11.78,1,Stockholm,30.07.1999
10,11,4:50.76,Craig Mottram,AUS,18.06.80,1,Melbourne,09.03.2006
11,12,4:50.81,Saïd Aouita,MAR,02.11.59,1,Paris,16.07.1987
12,13,4:51.17,Hicham El Guerrouj,MAR,14.09.74,1,Berlin,31.08.2001
13,14,4:51.30,Daniel Komen,KEN,17.05.76,1,Milano,05.06.1998
14,15,4:51.39,Steve Cram,GBR,14.10.60,1,Budapest,04.08.1985
15,16,4:51.52,John Walker,NZL,12.01.52,1,Oslo,30.06.1976
16,17,4:51.98,Saïd Aouita,MAR,02.11.59,1,Bruxelles,05.09.1986
17,18,4:52.20,Thomas Wessinghage,FRG,22.02.52,1,Ingelheim,31.08.1982
18,19,4:52.23,Daniel Komen,KEN,17.05.76,1,Bratislava,09.06.1998
19,20,4:52.30,Vénuste Niyongabo,BDI,09.12.73,1,Bratislava,29.05.1996
20,21,4:52.40,José Manuel Abascal,ESP,17.03.58,1,Santander,07.09.1986
21,22,4:52.44,Jim Spivey,USA,07.03.60,1,Lausanne,15.09.1987
22,23,4:52.53,Moses Kiptanui,KEN,01.10.70,1,Berlin,21.08.1992
23,24,4:52.82,Peter Elliott,GBR,09.10.62,2,Lausanne,15.09.1987
24,24,4:52.82,Luke Kipkosgei,KEN,27.11.75,2,Bratislava,09.06.1998
25,26,4:52.88,Ismaïl Sghyr,MAR,16.03.72,2,Nice,12.07.1995
26,27,4:53.06,Jack Buckner,GBR,22.09.61,3,Lausanne,15.09.1987
27,28,4:53.12,Mehdi Baala,FRA,17.08.78,1,Strasbourg,23.06.2005
28,29,4:53.21,Vénuste Niyongabo,BDI,09.12.73,1,Selargius,20.09.1995
29,30,4:53.4+,Daniel Komen,KEN,17.05.76,1,Rieti,01.09.1996
30,31,4:53.44,Luke Kipkosgei,KEN,27.11.75,2,Milano,05.06.1998
31,32,4:53.56+,Hicham El Guerrouj,MAR,14.09.74,1,Bruxelles,03.09.1999
32,33,4:53.69,Gary Staines,GBR,03.07.63,4,Lausanne,15.09.1987
33,34,4:53.7+,John Kosgei,KEN,13.07.72,2,Rieti,01.09.1996
34,35,4:53.72,Henrik Ingebrigtsen,NOR,24.02.91,2,Oslo,11.06.2020
35,36,4:53.84,Martin Keino,KEN,20.06.72,2,Nice,10.07.1996
36,37,4:54.02,Saïd Aouita,MAR,02.11.59,1,Rieti,04.09.1985
37,37,4:54.02,Vénuste Niyongabo,BDI,09.12.73,1,Roma,08.06.1995
