,0,1,2,3,4,5,6,7
0,1,5:13.77,Paul Kipsiele Koech,KEN,10.11.81,1,Gent,13.02.2011
1,2,5:17.04,Paul Kipsiele Koech,KEN,10.11.81,1,Gent,14.02.2010
2,3,5:20.03,Birhan Getahun,ETH,05.09.91,2,Gent,13.02.2011
3,4,5:21.56,Andrey Farnosov,RUS,09.07.80,2,Gent,14.02.2010
4,5,5:22.81,Haron Lagat,KEN,15.08.83,3,Gent,13.02.2011
5,6,5:23.89,Sergey Yepishin,RUS,22.01.58,1,Moskva,11.02.1983
6,7,5:24.49,Nikolay Matyushenko,UKR,04.01.66,1,Moskva,06.02.1986
7,8,5:24.6,Dennis Coates,GBR,11.02.53,1,Cosford,28.01.1978
8,9,5:25.02,Lev Glinskikh,RUS,25.07.62,1,Moskva,01.02.1986
9,10,5:25.18,Hubert Pokrop,POL,02.11.85,4,Gent,13.02.2011
10,11,5:25.22,Collins Kosgei,KEN,04.08.86,3,Gent,14.02.2010
11,12,5:25.33,Aleksandr Pavelyev,RUS,30.07.87,1,Moskva,23.02.2012
12,13,5:25.45,Mati Uusmaa,EST,16.09.59,2,Moskva,06.02.1986
13,14,5:25.8,Aleksandr Velichko,UKR,27.04.52,1,Moskva,15.02.1980
14,15,5:25.92,Andrey Uksusov,RUS,25.10.61,3,Moskva,06.02.1986
15,16,5:26.05,Yuriy Kovalyov,RUS,21.02.83,2,Moskva,23.02.2012
16,17,5:26.10,Sergey Yepishin,RUS,22.01.58,1,Kishinyev,16.02.1985
17,18,5:26.12,Andrey Farnosov,RUS,09.07.80,1,Moskva,30.01.2005
18,19,5:26.13,Simon Ayeko,UGA,10.05.87,4,Gent,14.02.2010
19,20,5:26.29,Dmitriy Balashov,RUS,19.01.89,3,Moskva,23.02.2012
20,21,5:26.4,Valentin Zaitchuk,UKR,01.01.54,2,Moskva,15.02.1980
21,22,5:27.03,Yuriy Kovalyov,RUS,21.02.83,1,Moskva,12.02.2012
22,23,5:27.09,Ilgizar Safiulin,RUS,09.12.92,1,Moskva,24.01.2012
23,24,5:27.18,Lev Glinskikh,RUS,25.07.62,4,Moskva,06.02.1986
24,25,5:27.2,Anatoliy Dimov,UZB,26.02.56,3,Moskva,15.02.1980
25,26,5:27.39,Aleksandr Pavelyev,RUS,30.07.87,2,Moskva,12.02.2012
26,27,5:27.52,Aleksandr Vorobyev,BLR,05.05.57,1,Moskva,13.02.1982
27,27,5:27.52,Vladimir Malozyemlin,RUS,26.01.56,2,Kishinyev,16.02.1985
28,29,5:27.62,Sergey Yepishin,RUS,22.01.58,1,Moskva,09.02.1985
29,29,5:27.62,Aleksandr Pavelyev,RUS,30.07.87,2,Moskva,24.01.2012
30,31,5:27.72,Yuriy Kloptsov,RUS,22.12.89,1r2,Moskva,13.02.2013
31,32,5:27.86,Sergey Sayapin,RUS,09.07.82,2r2,Moskva,13.02.2013
32,33,5:28.0,Vladimir Filonov,RUS,04.08.52,1,Moskva,02.03.1978
33,34,5:28.01,Vasiliy Koromyslov,RUS,15.05.57,2,Moskva,09.02.1985
34,35,5:28.2,Sergey Skripka,GEO,09.01.50,2,Moskva,02.03.1978
35,35,5:28.2,Aleksandr Teryoshkin,RUS,56,1,Moskva,03.03.1984
36,37,5:28.21,Oleg Sergizov,RUS,01.01.58,3,Moskva,11.02.1983
37,38,5:28.49,Maksim Karamyshev,RUS,14.11.87,3,Moskva,24.01.2012
38,39,5:28.56,Andrey Farnosov,RUS,09.07.80,1,Moskva,10.02.2003
39,40,5:28.6,Aleksandr Velichko,UKR,27.04.52,3=,Moskva,02.03.1978
40,40,5:28.6,Vladimir Isakov,RUS,11.03.52,3=,Moskva,02.03.1978
41,40,5:28.6,Vyacheslav Groshev,RUS,17.08.58,1,Tbilisi,27.01.1985
42,43,5:28.67,Gatis Deksnis,LAT,21.07.64,5,Moskva,06.02.1986
43,44,5:28.8,Aleksandr Khudyakov,RUS,08.07.60,2,Gomel,24.01.1982
44,45,5:28.98,Gennadiy Panin,RUS,19.01.67,1,Moskva,28.02.1993
45,46,5:29.06,Denis Danilyin,RUS,06.09.87,3r2,Moskva,13.02.2013
46,47,5:29.2,Anatoliy Skripkin,RUS,04.08.51,5,Moskva,02.03.1978
