,0,1,2,3,4,5,6,7,8,9,10
0,1,22.55,,Laurent Ottoz,ITA,20.04.70,1,Milano,,,31.05.1995
1,2,22.59,+0.2,Darryl Wohlsen,AUS,06.03.73,1,Brisbane,,,14.03.1996
2,3,22.63,-0.3,Colin Jackson,GBR,18.02.67,1,Cardiff,,,01.06.1991
3,4,22.68,,Stefano Cellario,ITA,16.03.72,1,Modena,,,17.09.1997
4,5,22.69,±0.0,Glenn Davis,USA,12.09.34,1,Bern,,,20.08.1960
5,5,22.69,,Colin Jackson,GBR,18.02.67,1,Nantes,,,08.09.1998
6,7,22.72,+1.6,Laurent Ottoz,ITA,20.04.70,1,Milano,,,25.05.1994
7,8,22.73,,Stefano Cellario,ITA,16.03.72,1,Brescia,,,07.09.1997
8,9,22.74,-0.8,Kevin Young,USA,16.09.66,1,Belfast,,,31.08.1992
9,10,22.77,-0.3,Nigel Walker,GBR,15.06.63,2,Cardiff,,,01.06.1991
10,11,22.79,-0.7,Axel Schaumann,FRG,04.07.61,1,Stuttgart,,,29.08.1982
11,11,22.79,-0.3,John Regis,GBR,13.10.66,3,Cardiff,,,01.06.1991
12,13,22.81,-3.1,Colin Jackson,GBR,18.02.67,1,Thurrock,,,12.09.1993
13,14,22.86,+0.9,Darryl Wohlsen,AUS,06.03.73,1r1,Brisbane,,,26.03.2001
14,15,22.92,±0.0,Dick Howard,USA,22.08.35,2,Bern,,,20.08.1960
15,16,22.93,,Nat Page,USA,26.01.57,,Santander,,,16.09.1989
16,16,22.93,,Fausto Frigerio,ITA,13.02.66,,Milano,,,06.06.1990
17,18,22.94,,Stéphane Diagana,FRA,23.07.69,1,St Paul de,la,Réunion,29.10.1994
18,19,22.95,-0.9,Kyle Vander-Kuyp,AUS,30.05.71,1,Sydney,,,21.03.1995
19,20,22.96,+1.9,Carlos Sala,ESP,20.03.60,1,Santander,,,09.09.1987
20,21,22.98,+0.4,Laurent Ottoz,ITA,20.04.70,1,Milano,,,04.05.1996
21,22,22.99,±0.0,Fausto Frigerio,ITA,13.02.66,1r2,Milano,,,07.06.1989
22,23,23.0,-0.9,Rohan Robinson,AUS,15.11.71,2,Sydney,,,21.03.1995
23,24,23.02,,Jonathan Nsenga,BEL,21.04.73,2,St-Paul,,,13.09.1997
24,25,23.03,+1.0,Paolo Della Santa,SUI,11.09.73,1,Langenthal,,,20.05.2000
25,26,23.04,,Laurent Ottoz,ITA,20.04.70,1,Milano,,,21.05.1992
26,27,23.11,,Philippe Gonigam,FRA,21.02.63,,,,,16.06.1990
27,28,23.12,-0.9,Rohan Robinson,AUS,15.11.71,1,Brisbane,,,15.03.1997
28,28,23.12,-1.2,Darryl Wohlsen,AUS,06.03.73,1,Brisbane,,,14.04.2002
