,0,1,2,3,4,5,6,7,8
0,1,21.9,1.4,Don Styron,USA,18.03.40,1,Baton Rouge,02.04.1960
1,2,22.1,,Elias Gilbert,USA,14.01.36,1,Raleigh,17.05.1958
2,2,22.1,-0.9,Don Styron,USA,18.03.40,1,Modesto,28.05.1960
3,2,22.1,,Don Styron,USA,18.03.40,1,Modesto,27.05.1961
4,5,22.2,1.4,David Sime,USA,25.07.36,1,Durham,05.05.1956
5,5,22.2,1.3,Ancel Robinson,USA,12.09.33,1,Austin,15.06.1957
6,5,22.2,,Calvin Cooley,USA,02.04.39,1,Abilene,16.04.1960
7,5,22.2,,Don Styron,USA,18.03.40,1,Natchitoches,12.05.1960
8,5,22.2,,Don Styron,USA,18.03.40,1,Compton,03.06.1960
9,5,22.2,,Don Styron,USA,18.03.40,1,Dayton,03.06.1961
10,11,22.3A,,Harrison Dillard,USA,08.07.23,1,Salt Lake City,21.06.1947
11,11,22.3,,Ancel Robinson,USA,12.09.33,1,Fresno,25.04.1957
12,11,22.3,,Fran Washington,USA,01.02.36,2,Raleigh,17.05.1958
13,11,22.3,,Dick Howard,USA,22.08.35,2,Abilene,16.04.1960
14,11,22.3,,Don Styron,USA,18.03.40,1,Baston Rouge,23.04.1960
15,11,22.3,,Don Styron,USA,18.03.40,1,Lake Charles,21.05.1960
16,11,22.3,,Don Styron,USA,18.03.40,1,Logan,13.05.1961
17,11,22.3,,Irvin Roberson,USA,23.07.35,2,Modesto,27.05.1961
