,0,1,2,3,4,5
0,1.0,1:18.63,Jamaica,1,Nassau,24.05.2014
1,,,Nickel Ashmeade,(20.5),07.04.90,JAM
2,,,Warren Weir,(19.2),31.10.89,JAM
3,,,Jermaine Brown,(19.6),04.07.91,JAM
4,,,Yohan Blake,(19.4),26.12.89,JAM
5,2.0,1:18.68,Santa Monica Track Club,1,Walnut,17.04.1994
6,,,Michael Marsh,(20.0),04.08.67,USA
7,,,Leroy Burrell,(19.6),21.02.67,USA
8,,,Floyd Heard,(19.7),24.03.66,USA
9,,,Carl Lewis,(19.4),01.07.61,USA
10,3.0,1:19.10,World All-Stars,2,Walnut,17.04.1994
11,,,Jon Drummond,(20.4),09.09.68,USA
12,,,Dennis Mitchell,(19.3),20.02.66,USA
13,,,Brian Bridgewater,(20.3),07.09.70,USA
14,,,John Regis,(19.1),13.10.66,GBR
15,4.0,1:19.11,Santa Monica Track Club,1rA,Philadelphia,25.04.1992
16,,,Michael Marsh,(20.4),04.08.67,USA
17,,,Leroy Burrell,(19.7),21.02.67,USA
18,,,Floyd Heard,(19.8),24.03.66,USA
19,,,Carl Lewis,(19.2),01.07.61,USA
20,5.0,1:19.16,United States - Red,1rA,Philadelphia,26.04.2003
21,,,Shawn Crawford,,14.01.78,USA
22,,,Ramon Clay,,29.06.75,USA
23,,,Darvis Patton,,04.12.77,USA
24,,,Justin Gatlin,,10.02.82,USA
25,6.0,1:19.20,Canada,1r1,Gainesville,02.04.2016
26,,,Gavin Smellie,,26.06.86,CAN
27,,,Brendon Rodney,,09.04.92,CAN
28,,,Aaron Brown,,27.05.92,CAN
29,,,Andre De Grasse,,10.11.94,CAN
30,7.0,1:19.38,Santa Monica Track Club,1,Koblenz,23.08.1989
31,,,Danny Everett,,01.11.66,USA
32,,,Leroy Burrell,,21.02.67,USA
33,,,Floyd Heard,,24.03.66,USA
34,,,Carl Lewis,,01.07.61,USA
35,8.0,1:19.39,United States - Blue,1rA,Philadelphia,28.04.2001
36,,,Jon Drummond,,09.09.68,USA
37,,,Shawn Crawford,,14.01.78,USA
38,,,Bernard Williams,,19.01.78,USA
39,,,Maurice Greene,,23.07.74,USA
40,9.0,1:19.42,Canada,1,Nassau,23.04.2017
41,,,Gavin Smellie,,26.06.86,CAN
42,,,Brendon Rodney,,09.04.92,CAN
43,,,Andre De Grasse,,10.11.94,CAN
44,,,Aaron Brown,,27.05.92,CAN
45,10.0,1:19.45,Santa Monica Track Club,1rA,Philadelphia,27.04.1991
46,,,Joe DeLoach,,05.06.67,USA
47,,,Leroy Burrell,,21.02.67,USA
48,,,Carl Lewis,,01.07.61,USA
49,,,Floyd Heard,,24.03.66,USA
50,11.0,1:19.47,Nike International,1rA,Philadelphia,24.04.1999
51,,,Kenny Brokenburr,,29.10.68,USA
52,,,Alvin Harrison,,20.01.74,USA
53,,,Maurice Greene,,23.07.74,USA
54,,,Michael Johnson,(19.2),13.09.67,USA
55,12.0,1:19.62,United States - Red,1,Philadelphia,24.04.2004
56,,,Shawn Crawford,,14.01.78,USA
57,,,Mickey Grimes,,10.10.76,USA
58,,,Darvis Patton,,04.12.77,USA
59,,,Justin Gatlin,,10.02.82,USA
60,13.0,1:19.67,Texas Christian University,1rB,Philadelphia,29.04.2000
61,,,Lindel Frater,,13.11.77,JAM
62,,,Ricardo Williams,,29.09.76,JAM
