,0,1,2,3,4,5,6,7
0,1,6.34A,Christian Coleman,USA,06.03.96,1,Albuquerque,18.02.2018
1,2,6.37,Christian Coleman,USA,06.03.96,1rA,Clemson,19.01.2018
2,2,6.37,Christian Coleman,USA,06.03.96,1,Birmingham,03.03.2018
3,2,6.37A,Christian Coleman,USA,06.03.96,1,Albuquerque,15.02.2020
4,5,6.39,Maurice Greene,USA,23.07.74,1,Madrid,03.02.1998
5,5,6.39,Maurice Greene,USA,23.07.74,1s1,Atlanta,03.03.2001
6,7,6.40,Maurice Greene,USA,23.07.74,1s1,Atlanta,27.02.1999
7,7,6.40A,Ronnie Baker,USA,15.10.93,2,Albuquerque,18.02.2018
8,9,6.41,Andre Cason,USA,20.01.69,1,Madrid,14.02.1992
9,9,6.41,Maurice Greene,USA,23.07.74,1rA,Stuttgart,01.02.1998
10,9,6.41,Lamont Marcell Jacobs,ITA,26.09.94,1,Beograd,19.03.2022
11,9,6.41,Christian Coleman,USA,06.03.96,2,Beograd,19.03.2022
12,13,6.42,Maurice Greene,USA,23.07.74,1,Maebashi,07.03.1999
13,13,6.42,Dwain Chambers,GBR,05.04.78,1s2,Torino,07.03.2009
14,13,6.42A,Christian Coleman,USA,06.03.96,1s2,Albuquerque,18.02.2018
15,13,6.42,Su Bingtian,CHN,29.08.89,2,Birmingham,03.03.2018
16,13,6.42,Trayvon Bromell,USA,10.07.95,1,Clemson,10.02.2023
17,18,6.43,Maurice Greene,USA,23.07.74,1h3,Stuttgart,01.02.1998
18,18,6.43,Tim Harden,USA,27.01.74,2,Maebashi,07.03.1999
19,18,6.43,Su Bingtian,CHN,29.08.89,1,Düsseldorf,06.02.2018
20,21,6.44,Tim Harden,USA,27.01.74,1,Atlanta,27.02.1999
21,21,6.44,Tim Harden,USA,27.01.74,1,Lisboa,11.03.2001
22,21,6.44,Asafa Powell,JAM,23.11.82,1s3,Portland,18.03.2016
23,21,6.44,Asafa Powell,JAM,23.11.82,1h5,Portland,18.03.2016
24,21,6.44,Ronnie Baker,USA,15.10.93,3,Birmingham,03.03.2018
25,21,6.44,Ronnie Baker,USA,15.10.93,1,Liévin,19.02.2020
26,21,6.44,Ronnie Baker,USA,15.10.93,1,Madrid,21.02.2020
27,21,6.44,Marvin Bracy,USA,15.12.93,3,Beograd,19.03.2022
28,29,6.45,Andre Cason,USA,20.01.69,1,Gent,29.01.1992
29,29,6.45,Bruny Surin,CAN,12.07.67,1,Liévin,13.02.1993
30,29,6.45,Maurice Greene,USA,23.07.74,1,Boston,07.02.1999
31,29,6.45A,Leonard Myles-Mills,GHA,05.09.73,1,Air Force Academy,20.02.1999
32,29,6.45,Maurice Greene,USA,23.07.74,1s2,Maebashi,07.03.1999
33,29,6.45,Maurice Greene,USA,23.07.74,1,New York City,04.02.2000
34,29,6.45A,Terrence Trammell,USA,23.11.78,1,Pocatello,17.02.2001
35,29,6.45,Justin Gatlin,USA,10.02.82,1,Boston,01.03.2003
36,29,6.45,Ronald Pognon,FRA,16.11.82,1,Karlsruhe,13.02.2005
37,29,6.45A,Trell Kimmons,USA,13.07.85,1,Albuquerque,26.02.2012
38,29,6.45A,Ronnie Baker,USA,15.10.93,1,Albuquerque,05.03.2017
39,29,6.45,Christian Coleman,USA,06.03.96,1,College Station,11.03.2017
40,29,6.45A,Ronnie Baker,USA,15.10.93,1s1,Albuquerque,18.02.2018
41,29,6.45,Christian Coleman,USA,06.03.96,1s2,Birmingham,03.03.2018
42,29,6.45,Christian Coleman,USA,06.03.96,1,Spokane,27.02.2022
43,44,6.46,Andre Cason,USA,20.01.69,1,Stuttgart,02.02.1992
44,44,6.46,Bruny Surin,CAN,12.07.67,1,Barcelona,10.03.1995
45,44,6.46,Jon Drummond,USA,09.09.68,2rA,Stuttgart,01.02.1998
46,44,6.46,Maurice Greene,USA,23.07.74,1,New York City,13.02.1998
47,44,6.46,Maurice Greene,USA,23.07.74,1,Lawrence,29.01.1999
48,44,6.46A,Marcus Brunson,USA,24.04.78,1,Flagstaff,30.01.1999
49,44,6.46,Jon Drummond,USA,09.09.68,1s2,Atlanta,27.02.1999
50,44,6.46,Jason Gardener,GBR,18.09.75,3,Maebashi,07.03.1999
51,44,6.46A,Jon Drummond,USA,09.09.68,1,Pocatello,19.02.2000
52,44,6.46,Jon Drummond,USA,09.09.68,1,Atlanta,04.03.2000
53,44,6.46,Tim Montgomery,USA,28.01.75,2,Lisboa,11.03.2001
54,44,6.46,Terrence Trammell,USA,23.11.78,1,Fayetteville,15.02.2003
55,44,6.46,Justin Gatlin,USA,10.02.82,1,Birmingham,14.03.2003
56,44,6.46,Jason Gardener,GBR,18.09.75,1,Karlsruhe,15.02.2004
57,44,6.46,Leonard Scott,USA,19.01.80,1,Liévin,26.02.2005
58,44,6.46,Marcus Brunson,USA,24.04.78,1,Karlsruhe,11.02.2007
59,44,6.46,Dwain Chambers,GBR,05.04.78,1,Torino,08.03.2009
60,44,6.46,Justin Gatlin,USA,10.02.82,1,Istanbul,10.03.2012
61,44,6.46,Ronnie Baker,USA,15.10.93,1,Torun,10.02.2017
62,44,6.46,Christian Coleman,USA,06.03.96,1,Boston,10.02.2018
63,44,6.46A,Christian Coleman,USA,06.03.96,1h2,Albuquerque,17.02.2018
64,44,6.46,Marvin Bracy,USA,15.12.93,1h4,Beograd,19.03.2022
65,44,6.46,Trayvon Bromell,USA,10.07.95,1s3,Clemson,10.02.2023
66,44,6.46,Terrence Jones,BAH,08.11.02,1h1,Lubbock,24.02.2023
67,44,6.46A,Terrence Jones,BAH,08.11.02,1,Albuquerque,11.03.2023
68,69,6.47,Linford Christie,GBR,02.04.60,1,Liévin,19.02.1995
69,69,6.47,Jon Drummond,USA,09.09.68,1h2,Stuttgart,01.02.1998
70,69,6.47,Maurice Greene,USA,23.07.74,1h3,Madrid,03.02.1998
71,69,6.47,Maurice Greene,USA,23.07.74,1,Birmingham,15.02.1998
72,69,6.47,Tim Harden,USA,27.01.74,1s1,Maebashi,07.03.1999
73,69,6.47,Maurice Greene,USA,23.07.74,1,Birmingham,20.02.2000
74,69,6.47,Shawn Crawford,USA,14.01.78,1,Boston,28.02.2004
75,69,6.47,Dwight Phillips,USA,01.10.77,1,Madrid,24.02.2005
76,69,6.47,Lerone Clarke,JAM,12.06.81,1,Birmingham,18.02.2012
