,0,1,2,3,4,5,6,7
0,1,6.41,Ben Johnson,CAN,30.12.61,,Indianapolis,07.03.198
1,2,6.44,Ben Johnson,CAN,30.12.61,,Osaka,15.01.198
2,2,6.44,Ben Johnson,CAN,30.12.61,,Edmonton,21.02.198
3,4,6.45,Ben Johnson,CAN,30.12.61,h1,Sindelfingen,05.02.198
4,5,6.46,Tim Harden,USA,27.01.74,,Atlanta,28.02.199
5,6,6.47,Ben Johnson,CAN,30.12.61,,Sherbrooke,24.01.198
6,7,6.49,Ben Johnson,CAN,30.12.61,s1,Indianapolis,06.03.198
7,7,6.49,Ben Johnson,CAN,30.12.61,,Madrid,02.02.198
8,7,6.49A,Ivory Williams,USA,02.05.85,,Albuquerque,28.02.201
9,10,6.50,Ben Johnson,CAN,30.12.61,,Osaka,15.01.198
10,10,6.50,Ben Johnson,CAN,30.12.61,,Edmonton,22.02.198
11,10,6.50,Ben Johnson,CAN,30.12.61,,Sindelfingen,05.02.198
12,10,6.50,Davidson Ezinwa,NGR,22.11.71,,Liévin,18.02.199
13,14,6.53A,Ivory Williams,USA,02.05.85,s1,Albuquerque,28.02.201
14,15,6.54,Ben Johnson,CAN,30.12.61,,Vancouver,16.01.198
15,15,6.54,Justin Gatlin,USA,10.02.82,,Fayetteville,24.02.200
16,17,6.55,Ben Johnson,CAN,30.12.61,,Kobe,13.01.198
17,17,6.55,Ben Johnson,CAN,30.12.61,h,Osaka,15.01.198
18,17,6.55,Osmond Ezinwa,NGR,22.11.71,,Liévin,18.02.199
19,17,6.55,Trell Kimmons,USA,13.07.85,s1,Portland,12.03.201
20,17,6.55,Trell Kimmons,USA,13.07.85,,Portland,12.03.201
21,22,6.56,Ben Johnson,CAN,30.12.61,,Osaka,15.01.198
22,22,6.56,Ben Johnson,CAN,30.12.61,,Tokyo,08.03.198
23,22,6.56,Justin Gatlin,USA,10.02.82,,New York City,09.02.200
24,22,6.56,Ramon Clay,USA,29.06.75,,Liévin,23.02.200
25,26,6.57,Ben Johnson,CAN,30.12.61,,Windsor,19.03.199
26,26,6.57,Justin Gatlin,USA,10.02.82,h2,Fayetteville,08.03.200
27,26,6.57,Ramon Clay,USA,29.06.75,,Birmingham,21.02.200
28,29,6.58,Samuel Francis,QAT,27.03.87,,Tehran,25.02.201
29,30,6.59,Tim Harden,USA,27.01.74,s1,Atlanta,28.02.199
30,30,6.59,John Skeete,GBR,08.09.78,,Birmingham,27.01.200
31,30,6.59,Justin Gatlin,USA,10.02.82,,Fayetteville,09.03.200
32,33,6.60,Ben Johnson,CAN,30.12.61,h1,Indianapolis,06.03.198
33,33,6.60,Ben Johnson,CAN,30.12.61,,Berlin,05.02.199
34,33,6.60,Ben Johnson,CAN,30.12.61,,Gent,10.02.199
35,33,6.60,John Skeete,GBR,08.09.78,s1,Birmingham,27.01.200
36,33,6.60,Ramon Clay,USA,29.06.75,h2,Birmingham,21.02.200
