,0,1,2,3,4,5,6,7,8
0,1,6.29,+0.9,Su Bingtian,CHN,29.08.89,1s3,Tokyo,01.08.2021
1,2,6.31,+0.9,Usain Bolt,JAM,21.08.86,1,Berlin,16.08.2009
2,3,6.32,±0.0,Usain Bolt,JAM,21.08.86,1,Beijing,16.08.2008
3,4,6.35,+1.7,Olusoji Adekotunbo Fasuba,NGR,09.07.84,1,Ad-Dawhah,12.05.2006
4,5,6.37,+0.9,Ronnie Baker,USA,15.10.93,2s3,Tokyo,01.08.2021
5,6,6.38,+0.2,Bruny Surin,CAN,12.07.67,1,Sevilla,22.08.1999
6,6,6.38,-0.2,Jon Drummond,USA,09.09.68,1rA,Berlin,01.09.2000
7,6,6.38,+1.6,Asafa Powell,JAM,23.11.82,1h1,Oslo,02.06.2006
8,6,6.38,-0.8,Christian Coleman,USA,06.03.96,1,London,05.08.2017
9,10,6.39,+0.2,Maurice Greene,USA,23.07.74,2,Sevilla,22.08.1999
10,10,6.39,-0.2,Maurice Greene,USA,23.07.74,2rA,Berlin,01.09.2000
11,10,6.39,+0.9,Tyson Gay,USA,09.08.82,2,Berlin,16.08.2009
12,10,6.39,+0.1,Fred Kerley,USA,07.05.95,1,Tokyo,01.08.2021
13,14,6.4,+0.7,Donovan Bailey,CAN,16.12.67,1,Atlanta,27.07.1996
14,14,6.4,+0.2,Maurice Greene,USA,23.07.74,1,Athínai,03.08.1997
15,14,6.4,+0.9,Lamont Marcell Jacobs,ITA,26.09.94,3s3,Tokyo,01.08.2021
16,17,6.41,+1.2,Raymond Stewart,JAM,18.03.65,1=,Tokyo,25.08.1991
17,17,6.41,+1.2,Leroy Burrell,USA,21.02.67,1=,Tokyo,25.08.1991
18,17,6.41,+0.2,Dwain Chambers,GBR,05.04.78,3,Sevilla,22.08.1999
19,17,6.41,-0.3,Asafa Powell,JAM,23.11.82,1,Stuttgart,22.09.2007
20,17,6.41,+0.2,Usain Bolt,JAM,21.08.86,1s1,Berlin,16.08.2009
