,0,1,2,3,4,5,6,7
0,1,7.29,Grant Holloway,USA,19.11.97,1,Madrid,24.02.2021
1,1,7.29,Grant Holloway,USA,19.11.97,1s2,Beograd,20.03.2022
2,3,7.30,Colin Jackson,GBR,18.02.67,1,Sindelfingen,06.03.1994
3,4,7.32,Grant Holloway,USA,19.11.97,1,Liévin,09.02.2021
4,4,7.32,Grant Holloway,USA,19.11.97,1h1,Madrid,24.02.2021
5,6,7.33,Dayron Robles,CUB,19.11.86,1,Düsseldorf,08.02.2008
6,7,7.34,Dayron Robles,CUB,19.11.86,1,Ad-Dawhah,14.03.2010
7,8,7.35,Grant Holloway,USA,19.11.97,1,Birmingham AL,09.03.2019
8,8,7.35,Grant Holloway,USA,19.11.97,1,Fayetteville,24.01.2021
9,8,7.35,Grant Holloway,USA,19.11.97,1,Liévin,17.02.2022
10,8,7.35,Grant Holloway,USA,19.11.97,1,Birmingham,25.02.2023
11,12,7.36,Colin Jackson,GBR,18.02.67,1,Glasgow,12.02.1994
12,12,7.36,Allen Johnson,USA,01.03.71,1,Budapest,06.03.2004
13,12,7.36,Dayron Robles,CUB,19.11.86,1,Stuttgart,02.02.2008
14,12,7.36,Terrence Trammell,USA,23.11.78,2,Ad-Dawhah,14.03.2010
15,16,7.37,Roger Kingdom,USA,26.08.62,1,Piræus,08.03.1989
16,16,7.37,Anier García,CUB,09.03.76,1,Piræus,09.02.2000
17,16,7.37,Tony Dees,USA,06.08.63,1,Chemnitz,18.02.2000
18,16,7.37,Terrence Trammell,USA,23.11.78,1,Boston,01.03.2009
19,16,7.37,David Oliver,USA,24.04.82,1,Stuttgart,05.02.2011
20,16,7.37,Grant Holloway,USA,19.11.97,1,New York City,06.02.2022
21,16,7.37,Grant Holloway,USA,19.11.97,1,Spokane,27.02.2022
22,23,7.38,Colin Jackson,GBR,18.02.67,1,Gent,09.02.1994
23,23,7.38,Colin Jackson,GBR,18.02.67,1h2,Birmingham,26.02.1994
24,23,7.38,Colin Jackson,GBR,18.02.67,1,Birmingham,26.02.1994
25,23,7.38,Allen Johnson,USA,01.03.71,1,Karlsruhe,12.02.1995
26,23,7.38,Mark Crear,USA,02.10.68,1,Sindelfingen,08.03.1998
27,23,7.38,Reginald Torian,USA,22.04.75,1,Atlanta,27.02.1999
28,23,7.38,Colin Jackson,GBR,18.02.67,1,Maebashi,05.03.1999
29,23,7.38,Dayron Robles,CUB,19.11.86,1,Stuttgart,03.02.2007
30,23,7.38,Grant Holloway,USA,19.11.97,1h1,Fayetteville,24.01.2021
31,23,7.38,Grant Holloway,USA,19.11.97,1h2,Liévin,09.02.2021
32,23,7.38,Grant Holloway,USA,19.11.97,1,Torun,17.02.2021
33,23,7.38,Trey Cunningham,USA,26.08.98,1,Birmingham AL,12.03.2022
34,23,7.38,Grant Holloway,USA,19.11.97,1,Boston,04.02.2023
35,36,7.39,Colin Jackson,GBR,18.02.67,1s2,Paris,12.03.1994
36,36,7.39,Colin Jackson,GBR,18.02.67,1,Glasgow,11.02.1995
37,36,7.39,Colin Jackson,GBR,18.02.67,1h2,Karlsruhe,12.02.1995
38,36,7.39,Allen Johnson,USA,01.03.71,1,Barcelona,12.03.1995
39,36,7.39,Allen Johnson,USA,01.03.71,1,Boston,01.03.2003
40,36,7.39,Dayron Robles,CUB,19.11.86,1,Aubière,26.02.2008
41,36,7.39,Grant Holloway,USA,19.11.97,1,Beograd,20.03.2022
42,36,7.39,Grant Holloway,USA,19.11.97,1h1,Boston,04.02.2023
43,36,7.39,Grant Holloway,USA,19.11.97,1,Liévin,15.02.2023
44,36,7.39,Daniel Roberts,USA,13.11.98,1,Madrid,22.02.2023
45,46,7.40,Allen Johnson,USA,01.03.71,1,Liévin,19.02.1995
46,46,7.40,Reginald Torian,USA,22.04.75,2,Maebashi,05.03.1999
47,46,7.40,Tony Dees,USA,06.08.63,1,Madrid,16.02.2000
