,0,1,2,3,4,5,6,7
0,1,3:43.13,Hicham El Guerrouj,MAR,14.09.74,1,Roma,07.07.1999
1,2,3:43.40,Noah Ngeny,KEN,02.11.78,2,Roma,07.07.1999
2,3,3:44.39,Noureddine Morceli,ALG,28.02.70,1,Rieti,05.09.1993
3,4,3:44.60,Hicham El Guerrouj,MAR,14.09.74,1,Nice,16.07.1998
4,5,3:44.90,Hicham El Guerrouj,MAR,14.09.74,1,Oslo,04.07.1997
5,6,3:44.95,Hicham El Guerrouj,MAR,14.09.74,1,Roma,29.06.2001
6,7,3:45.19,Noureddine Morceli,ALG,28.02.70,1,Zürich,16.08.1995
7,8,3:45.64,Hicham El Guerrouj,MAR,14.09.74,1,Berlin,26.08.1997
8,9,3:45.96,Hicham El Guerrouj,MAR,14.09.74,1,London,05.08.2000
9,10,3:46.24,Hicham El Guerrouj,MAR,14.09.74,1,Oslo,28.07.2000
10,11,3:46.32,Steve Cram,GBR,14.10.60,1,Oslo,27.07.1985
11,12,3:46.38,Daniel Komen,KEN,17.05.76,2,Berlin,26.08.1997
12,13,3:46.46,Jakob Ingebrigtsen,NOR,19.09.00,1,Oslo,16.06.2022
13,14,3:46.70,Vénuste Niyongabo,BDI,09.12.73,3,Berlin,26.08.1997
14,15,3:46.76,Saïd Aouita,MAR,02.11.59,1,Helsinki,02.07.1987
15,16,3:46.78,Noureddine Morceli,ALG,28.02.70,1,Berlin,27.08.1993
16,17,3:46.91,Alan Webb,USA,13.01.83,1,Brasschaat,21.07.2007
17,18,3:46.92,Saïd Aouita,MAR,02.11.59,1,Zürich,21.08.1985
18,19,3:47.10,Hicham El Guerrouj,MAR,14.09.74,1,London,07.08.1999
19,20,3:47.24,Jakob Ingebrigtsen,NOR,19.09.00,1,Eugene,21.08.2021
20,21,3:47.28,Bernard Lagat,KEN,12.12.74,2,Roma,29.06.2001
21,22,3:47.30,Noureddine Morceli,ALG,28.02.70,1,Bruxelles,03.09.1993
22,23,3:47.32,Ayanleh Souleiman,DJI,03.12.92,1rA,Eugene,31.05.2014
23,24,3:47.33,Sebastian Coe,GBR,29.09.56,1,Bruxelles,28.08.1981
24,25,3:47.48,Oliver Hoare,AUS,29.01.97,2,Oslo,16.06.2022
