,0,1,2,3,4,5,6,7,8
0,1,9.88A,+0.2,Sydney Siame,ZAM,07.10.97,1r5,Lusaka,08.04.2017
1,2,9.89,-0.1,Ilias Garcia,USA,04.01.98,1,San Diego,01.04.2022
2,3,9.98,,Marquis Davis,USA,14.08.80,1,Jonesboro,06.05.2000
3,4,10.00A,+1.6,Robson Caetano da Silva,BRA,04.09.64,1,Ciudad de México,22.07.1988
4,4,10.00,+0.4,Chris Johnson,USA,28.04.82,1,Mesquite,14.06.2008
5,6,10.01,-1.3,Samson Colebrooke,BAH,10.05.97,1,Atlanta,09.04.2022
6,7,10.02,+0.9,Vladislav Dologodin,UKR,23.02.72,1,Kyiv,17.05.1996
7,7,10.02,-0.4,Mickey Grimes,USA,10.10.76,1,Atlanta,02.06.2007
8,9,10.03,+0.9,Konstantin Rurak,UKR,09.04.74,2,Kyiv,17.05.1996
9,10,10.04,+0.9,Sergey Osovich,UKR,16.12.73,3,Kyiv,17.05.1996
10,10,10.04,,Innocent Asonze,NGR,30.12.72,1,Enugu,26.04.1997
11,10,10.04,-1.3,Ameer Webb,USA,19.03.91,2,Atlanta,09.04.2022
12,13,10.05A,+0.9,Ngonidzashe Makusha,ZIM,11.03.87,1,Bulawayo,28.05.2022
13,14,10.06,,Seun Ogunkoya,NGR,28.12.77,1,Benin City,22.03.1997
14,14,10.06,,Sunday Emmanuel,NGR,08.10.78,2,Enugu,26.04.1997
15,16,10.07,+1.8,Ed Preston,USA,12.12.55,1,Austin,03.04.1976
16,16,10.07,-1.3,Ojie Edoburun,GBR,02.06.96,3,Atlanta,09.04.2022
17,18,10.08,,Innocent Asonze,NGR,30.12.72,2,Benin City,22.03.1997
18,19,10.09A,±0.0,Le Roux van Tonder,RSA,04.04.88,1rB,Bloemfontein,08.03.2017
