,0,1,2,3,4,5,6,7,8
0,1,9.75,+1.1,Tyson Gay,USA,09.08.82,,Des Moines,21.06.2013
1,2,9.77,+1.7,Justin Gatlin,USA,10.02.82,,Ad-Dawhah,12.05.2006
2,3,9.78,+2.0,Tim Montgomery,USA,28.01.75,,Paris,14.09.2002
3,4,9.79,+1.1,Ben Johnson,CAN,30.12.61,,Seoul,24.09.1988
4,4,9.79,+2.0,Tyson Gay,USA,09.08.82,rA,Lausanne,04.07.2013
5,6,9.80,+1.5,Tyson Gay,USA,09.08.82,,London,05.08.2012
6,7,9.83,+1.0,Ben Johnson,CAN,30.12.61,,Roma,30.08.1987
7,7,9.83,-0.1,Tyson Gay,USA,09.08.82,,Lausanne,23.08.2012
8,9,9.84,+2.0,Tim Montgomery,USA,28.01.75,,Oslo,13.07.2001
9,10,9.85,-0.2,Tim Montgomery,USA,28.01.75,,Edmonton,05.08.2001
10,11,9.86,+1.1,Justin Gatlin,USA,10.02.82,h1,Ad-Dawhah,12.05.2006
11,11,9.86,+0.2,Tyson Gay,USA,09.08.82,r1,Kingston,04.05.2013
12,13,9.87,+2.0,Dwain Chambers,GBR,05.04.78,,Paris,14.09.2002
13,13,9.87,-0.1,Justin Gatlin,USA,10.02.82,,New York City,03.06.2006
14,15,9.88,+1.0,Justin Gatlin,USA,10.02.82,r1,Eugene,28.05.2006
15,15,9.88,+2.0,Asafa Powell,JAM,23.11.82,rA,Lausanne,04.07.2013
16,17,9.90,+0.2,Tim Montgomery,USA,28.01.75,,Zürich,17.08.2001
17,17,9.90,+1.7,Tyson Gay,USA,09.08.82,s3,London,05.08.2012
18,19,9.91,+0.3,Tim Montgomery,USA,28.01.75,,Bruxelles,30.08.2002
19,20,9.93,+1.6,Tim Montgomery,USA,28.01.75,h2,Zürich,16.08.2002
20,20,9.93,-1.2,Justin Gatlin,USA,10.02.82,,Indianapolis,23.06.2006
21,20,9.93,-0.2,Yohan Blake,JAM,26.12.89,,Saint-Denis,17.07.2009
22,20,9.93,+1.4,Steve Mullings,JAM,29.11.82,,Arzana,30.07.2011
23,24,9.94A,+0.6,Tim Montgomery,USA,28.01.75,rA,Pretoria,12.04.2002
24,24,9.94,+0.9,Tim Montgomery,USA,28.01.75,rA,Roma,12.07.2002
25,24,9.94,+1.6,Dwain Chambers,GBR,05.04.78,h2,Zürich,16.08.2002
26,27,9.95,+0.8,Ben Johnson,CAN,30.12.61,r1,Moskva,09.07.1986
27,27,9.95,±0.0,Ben Johnson,CAN,30.12.61,,Köln,16.08.1987
28,27,9.95,+1.8,Tim Montgomery,USA,28.01.75,,Osaka,11.05.2002
29,27,9.95,-0.1,Justin Gatlin,USA,10.02.82,,Osaka,06.05.2006
30,31,9.96,±0.0,Tim Montgomery,USA,28.01.75,,Bruxelles,24.08.2001
31,31,9.96,-0.3,Dwain Chambers,GBR,05.04.78,,München,07.08.2002
32,31,9.96,+0.4,Yohan Blake,JAM,26.12.89,,Roma,10.07.2009
33,31,9.96,+0.6,Steve Mullings,JAM,29.11.82,s1,Kingston,24.06.2011
34,31,9.96,+1.0,Mike Rodgers,USA,24.04.85,,Monaco,22.07.2011
35,36,9.97,-1.2,Ben Johnson,CAN,30.12.61,,Zürich,19.08.1987
36,37,9.98,+1.6,Ben Johnson,CAN,30.12.61,,Ottawa,01.08.1987
37,37,9.98A,+1.7,Ben Johnson,CAN,30.12.61,,Sestriere,11.08.1988
38,37,9.98,-1.3,Tim Montgomery,USA,28.01.75,,Zürich,16.08.2002
39,37,9.98,+0.5,Dwain Chambers,GBR,05.04.78,,London,23.08.2002
40,37,9.98,+0.6,Steve Mullings,JAM,29.11.82,r4,Lignano Sabbiadoro,19.07.2011
41,42,9.99,-1.2,Justin Gatlin,USA,10.02.82,s1,Indianapolis,23.06.2006
42,43,10.00,-0.4,Ben Johnson,CAN,30.12.61,,Canberra,04.10.1985
43,43,10.00,-0.2,Ben Johnson,CAN,30.12.61,,Koblenz,13.08.1987
44,43,10.00,+1.1,Ben Johnson,CAN,30.12.61,r2,Zürich,17.08.1988
45,46,10.01A,+0.9,Ben Johnson,CAN,30.12.61,,San José,31.05.1986
46,46,10.01,+1.1,Tim Montgomery,USA,28.01.75,rA,Lausanne,04.07.2001
47,48,10.02,+1.1,Ben Johnson,CAN,30.12.61,,Roma,10.09.1986
48,48,10.02,+1.6,Ben Johnson,CAN,30.12.61,,Calgary,05.06.1987
49,48,10.02,+1.9,Horace Dove-Edwin,SLE,10.02.67,,Victoria,23.08.1994
50,48,10.02,+0.6,Dennis Mitchell,USA,20.02.66,s1,New Orleans,19.06.1998
51,48,10.02,+0.2,Dennis Mitchell,USA,20.02.66,r1,Linz,26.07.1999
52,48,10.02,+0.3,Dwain Chambers,GBR,05.04.78,,Berlin,06.09.2002
53,48,10.02,+0.4,Justin Gatlin,USA,10.02.82,h3,Indianapolis,23.06.2006
54,48,10.02,-0.8,Tyson Gay,USA,09.08.82,,New York City,25.05.2013
55,48,10.02,+1.0,Asafa Powell,JAM,23.11.82,h4,Kingston,20.06.2013
56,57,10.03,-0.7,Ben Johnson,CAN,30.12.61,,Zürich,13.08.1986
57,57,10.03,-1.2,Ben Johnson,CAN,30.12.61,s2,Seoul,24.09.1988
58,57,10.03,+0.8,Dennis Mitchell,USA,20.02.66,,Roma,07.07.1999
59,57,10.03A,+1.5,Tim Montgomery,USA,28.01.75,,Cape Town,19.04.2002
60,57,10.03,+0.3,Dwain Chambers,GBR,05.04.78,,Manchester,15.06.2002
61,57,10.03,±0.0,Dwain Chambers,GBR,05.04.78,,Tríkala,24.06.2003
62,57,10.03,+0.6,Dwain Chambers,GBR,05.04.78,q4,Saint-Denis,24.08.2003
63,64,10.04,+1.4,Ben Johnson,CAN,30.12.61,,San Juan,20.09.1985
64,64,10.04,+0.1,Dennis Mitchell,USA,20.02.66,r3,Athínai,16.06.1999
65,64,10.04,-0.4,Tim Montgomery,USA,28.01.75,,Saint-Denis,06.07.2001
66,64,10.04,+0.2,Dwain Chambers,GBR,05.04.78,,Annecy,22.06.2002
67,64,10.04,-0.1,Tim Montgomery,USA,28.01.75,h1,Stockholm,16.07.2002
68,64,10.04A,±0.0,Tim Montgomery,USA,28.01.75,,Ciudad de México,03.05.2003
69,64,10.04,-0.3,Tim Montgomery,USA,28.01.75,,Osaka,10.05.2003
70,64,10.04,+1.0,Tim Montgomery,USA,28.01.75,h4,Palo Alto,19.06.2003
71,64,10.04,+0.6,Tim Montgomery,USA,28.01.75,q1,Saint-Denis,24.08.2003
72,64,10.04,+1.8,Mickey Grimes,USA,10.10.76,,Eugene,19.06.2004
73,64,10.04,-0.1,Steve Mullings,JAM,29.11.82,,Kingston,26.06.2004
74,64,10.04,-1.6,Mike Rodgers,USA,24.04.85,,London,05.08.2011
75,76,10.05,+1.8,Ben Johnson,CAN,30.12.61,,Malmö,10.08.1987
76,76,10.05,+1.9,Dennis Mitchell,USA,20.02.66,h1,New Orleans,19.06.1998
77,76,10.05,+1.3,Dennis Mitchell,USA,20.02.66,,Villeneuve d'Ascq,13.06.1999
78,76,10.05,+0.8,Dennis Mitchell,USA,20.02.66,s1,Eugene,25.06.1999
79,76,10.05,+0.6,Dennis Mitchell,USA,20.02.66,,Stockholm,30.07.1999
80,76,10.05,+1.1,Justin Gatlin,USA,10.02.82,,Knoxville,06.04.2002
81,76,10.05,+0.5,Justin Gatlin,USA,10.02.82,s1,Baton Rouge,31.05.2002
82,76,10.05,-0.1,Dwain Chambers,GBR,05.04.78,rA,Oslo,28.06.2002
83,76,10.05,-1.3,Dwain Chambers,GBR,05.04.78,,Zürich,16.08.2002
84,76,10.05,+0.5,Tim Montgomery,USA,28.01.75,,London,23.08.2002
