,0,1,2,3,4,5,6,7
0,1,27:24.85,Aïssa Dghoughi,MAR,10.12.81,,Bruxelles,25.08.2006
1,2,27:29.53,Alene Emere,ETH,05.03.82,,Tokyo,09.06.2001
2,3,27:33.53,Cathal Lombard,IRL,12.02.76,rA,Palo Alto,30.04.2004
3,4,27:41.75,Martti Vainio,FIN,30.12.50,,Firenze,13.06.1984
4,5,27:45.74,Giuliano Battocletti,ITA,01.08.75,,Bologna,24.06.1999
5,6,27:51.10,Martti Vainio,FIN,30.12.50,,Los Angeles,06.08.1984
6,7,28:06.85,Martti Vainio,FIN,30.12.50,,Kajaani,09.07.1984
7,8,28:07.24,Alene Emere,ETH,05.03.82,,Kumamoto,08.04.2001
8,9,28:13.63,Alene Emere,ETH,05.03.82,rA,Kobe,22.04.2001
9,10,28:14.81A,Kenneth Renju,KEN,96,,Nairobi,27.04.2022
10,11,28:19.25,Martti Vainio,FIN,30.12.50,h3,Los Angeles,03.08.1984
