,0,1,2,3,4,5,6,7,8
0,1,12.7,,Sergey Shubenkov,RUS,04.10.90,1,Barnaul,02.07.2016
1,2,12.8,+1.0,Renaldo Nehemiah,USA,24.03.59,1,Kingston,11.05.1979
2,3,12.9,±0.0,Yordan O'Farrill,CUB,09.02.93,1,La Habana,23.05.2014
3,4,13.0y,+2.0,Rodney Milburn,USA,18.03.50,1s1,Eugene,25.06.1971
4,4,13.0,+0.6,Rodney Milburn,USA,18.03.50,1s1,Eugene,25.06.1972
5,4,13.0y,+1.0,Rodney Milburn,USA,18.03.50,1,Eugene,20.06.1973
6,4,13.0yA,+0.9,Rodney Milburn,USA,18.03.50,1,El Paso,10.05.1975
7,4,13.0,+1.8,Guy Drut,FRA,06.12.50,1,Berlin,22.08.1975
8,4,13.0,+1.0,Greg Foster,USA,04.08.58,2,Kingston,11.05.1979
9,4,13.0,+0.8,Mark McKoy,CAN,10.12.61,1,Nice,16.07.1985
10,4,13.0,,Stéphane Caristan,FRA,31.03.64,1,Creteil,03.05.1986
11,4,13.0,,Anthony Campbell,USA,14.06.60,1,Los Angeles,16.07.1986
12,4,13.0,+0.4,Tomasz Scigaczewski,POL,18.11.78,1,Wroclaw,28.06.1998
13,4,13.0,,Sergey Shubenkov,RUS,04.10.90,1,Barnaul,20.05.2016
14,15,13.1y,±0.0,Rodney Milburn,USA,18.03.50,1,Baton Rouge,08.06.1973
15,15,13.1,+1.5,Rodney Milburn,USA,18.03.50,1,Siena,22.07.1973
16,15,13.1yA,+0.9,Lance Babb,USA,08.11.50,2,El Paso,10.05.1975
17,15,13.1,+1.2,Guy Drut,FRA,06.12.50,1,Saint-Maur,23.07.1975
18,15,13.1,+1.4,Guy Drut,FRA,06.12.50,1,Lille,05.06.1976
19,15,13.1,,Rodney Milburn,USA,18.03.50,1,Baton Rouge,17.04.1982
20,15,13.1,,Anthony Campbell,USA,14.06.60,1,Nassau,07.05.1983
21,15,13.1,-0.9,Roger Kingdom,USA,26.08.62,1r1,Tillsonburg,07.07.1984
22,15,13.1,+1.8,Anthony Campbell,USA,14.06.60,1,Berkeley,14.07.1984
23,15,13.1,-0.2,Greg Foster,USA,04.08.58,1,Westwood,16.05.1987
24,15,13.1,+1.9,Philippe Tourret,FRA,08.07.67,1,Pau,10.06.1989
25,15,13.1,+1.2,Tony Dees,USA,06.08.63,1,Lappeenranta,09.07.1990
26,15,13.1,+0.1,Anthony Jarrett,GBR,13.08.68,1,Austin,07.05.1994
27,15,13.1,+0.4,Andrea Giaconi,ITA,11.04.74,1rA,Nuoro,10.07.2002
28,29,13.2,,Lee Calhoun,USA,23.02.33,1,Bern,21.08.1960
29,29,13.2y,,Willie Davenport,USA,08.06.43,1,Knoxville,31.08.1968
30,29,13.2y,-0.6,Ervin Hall,USA,05.03.47,1h1,Knoxville,19.06.1969
31,29,13.2,+0.9,Willie Davenport,USA,08.06.43,1,Zürich,04.07.1969
32,29,13.2y,+1.7,Thomas Hill,USA,17.10.49,1,Wichita,13.06.1970
33,29,13.2y,,Rodney Milburn,USA,18.03.50,1s1,Crawfordsville,01.06.1973
34,29,13.2,+2.0,Guy Drut,FRA,06.12.50,1,Paris,03.06.1974
35,29,13.2,+1.9,Guy Drut,FRA,06.12.50,1,Fontainebleau,08.06.1974
36,29,13.2,+1.2,Alejandro Casañas,CUB,29.01.54,1,Warszawa,20.06.1975
37,29,13.2,,Alejandro Casañas,CUB,29.01.54,1,Bydgoszcz,21.06.1975
38,29,13.2,+1.8,Charles Foster,USA,02.07.53,2,Berlin,22.08.1975
39,29,13.2,+1.7,Karl-Werner Dönges,FRG,24.09.58,1,Albstadt,14.06.1981
40,29,13.2,-0.2,Anthony Campbell,USA,14.06.60,2,Westwood,16.05.1987
41,29,13.2,,Anthony Campbell,USA,14.06.60,1,Santa Monica,01.07.1988
42,29,13.2,+1.2,Arthur Blake,USA,19.08.66,2,Lappeenranta,09.07.1990
43,29,13.2,,Anthony Campbell,USA,14.06.60,1,Los Angeles,11.07.1990
44,29,13.2,,Mark Crear,USA,02.10.68,1,Long Beach,23.07.1992
45,29,13.2,,Kyle Vander-Kuyp,AUS,30.05.71,1,Melbourne,03.02.1994
46,29,13.2,+0.1,Kevin White,USA,16.08.74,2,Austin,07.05.1994
47,29,13.2,+0.1,Jerry Roney,USA,05.01.70,3,Austin,07.05.1994
48,29,13.2,+1.4,Jeff Jackson,USA,14.03.74,1,College Station,09.05.1996
49,29,13.2,+1.7,Courtney Hawkins,USA,11.07.67,1,Pietersburg,11.03.1998
50,29,13.2,+1.7,Shaun Bownes,RSA,24.10.70,2,Pietersburg,11.03.1998
51,29,13.2,+1.8,Dominique Arnold,USA,14.09.73,1,Honolulu,13.07.1999
52,29,13.2,+1.3,Anier García,CUB,09.03.76,1,Blida,20.06.2002
53,29,13.2,,Carlos Patterson,CUB,20.02.78,1h1,La Habana,02.07.2002
54,29,13.2,+1.1,Greg Richardson,USA,27.12.76,1rA,Argentan,09.06.2003
55,29,13.2,+1.6,Felipe Vivancos,ESP,16.06.80,1,Vitoria,18.07.2004
56,29,13.2,+1.4,Dayron Robles,CUB,19.11.86,1,Camagüey,16.03.2007
57,29,13.2,,Yuniel Hernández,CUB,28.03.81,1,La Habana,04.03.2010
58,29,13.2,+1.6,Dayron Capetillo,CUB,11.09.87,1h2,La Habana,22.03.2012
59,29,13.2,,Matheus Rocha,BRA,19.12.94,1,Manaus,08.07.2015
60,29,13.2,±0.0,Jason Joseph,SUI,11.10.98,1,Langenthal,10.08.2022
