,0,1,2,3,4,5,6,7,8
0,1,13.13,+1.7,Larry Wade,USA,22.11.74,r3,Modesto,08.05.2004
1,2,13.14,+1.3,Larry Wade,USA,22.11.74,,Eugene,19.06.2004
2,3,13.17,+0.5,Duane Ross,USA,05.12.72,,Zagreb,07.07.2003
3,4,13.20,+1.0,Duane Ross,USA,05.12.72,,Zagreb,08.07.2002
4,5,13.21,+1.4,Duane Ross,USA,05.12.72,s1,Palo Alto,21.06.2003
5,5,13.21,±0.0,Duane Ross,USA,05.12.72,rA,Saint-Denis,04.07.2003
6,5,13.21,-1.1,Duane Ross,USA,05.12.72,,Sacramento,18.07.2004
7,8,13.22,-0.5,Duane Ross,USA,05.12.72,,Zürich,15.08.2003
8,9,13.24,-0.4,Duane Ross,USA,05.12.72,,Roma,11.07.2003
9,10,13.25,-0.6,Duane Ross,USA,05.12.72,,Dortmund,15.06.2003
10,10,13.25,+0.6,Duane Ross,USA,05.12.72,s1,Sacramento,18.07.2004
11,12,13.28,+0.5,Tony Dees,USA,06.08.63,h3,New Orleans,20.06.1998
12,13,13.30,-1.2,Duane Ross,USA,05.12.72,q1,Sacramento,17.07.2004
13,13,13.30,-0.2,Duane Ross,USA,05.12.72,,Heusden-Zolder,31.07.2004
14,13,13.30,±0.0,Duane Ross,USA,05.12.72,,Linz,02.08.2004
15,13,13.30,-0.1,Duane Ross,USA,05.12.72,s1,Athínai,26.08.2004
16,17,13.31,+1.0,Tony Dees,USA,06.08.63,,New Orleans,21.09.1998
17,18,13.32,+0.2,Duane Ross,USA,05.12.72,rA,Cuxhaven,26.06.2004
18,19,13.33,-0.1,Duane Ross,USA,05.12.72,,Zürich,06.08.2004
19,20,13.36,+0.1,Duane Ross,USA,05.12.72,h4,Palo Alto,20.06.2003
20,21,13.37,-0.8,Duane Ross,USA,05.12.72,,Stockholm,05.08.2003
21,21,13.37,+2.4,Larry Wade,USA,22.11.74,,Hengelo,31.05.2004
22,21,13.37,+0.3,Duane Ross,USA,05.12.72,,Iráklio,04.07.2004
23,24,13.39,-1.1,Tony Dees,USA,06.08.63,,Bellinzona,01.07.1998
24,24,13.39,+0.1,Duane Ross,USA,05.12.72,,Malles Venosta,13.07.2002
25,24,13.39,+0.8,Duane Ross,USA,05.12.72,h5,Athínai,24.08.2004
26,27,13.40,+1.8,Duane Ross,USA,05.12.72,h1,Erfurt,13.06.2004
27,28,13.41,+0.1,Justin Gatlin,USA,10.02.82,,Starkville,12.05.2002
28,28,13.41,+1.1,Duane Ross,USA,05.12.72,,Ulm,12.06.2005
29,30,13.43A,±0.0,Duane Ross,USA,05.12.72,,Ciudad de México,03.05.2003
30,30,13.43,-0.8,Duane Ross,USA,05.12.72,,Ostrava,12.06.2003
31,30,13.43,+0.4,Duane Ross,USA,05.12.72,,Linz,31.07.2003
32,30,13.43,-0.5,Duane Ross,USA,05.12.72,,Stockholm,27.07.2004
33,30,13.43,+0.1,Duane Ross,USA,05.12.72,,Athínai,14.06.2005
34,35,13.44,+0.2,Duane Ross,USA,05.12.72,,Naimette-Xhovémont,27.08.2002
35,36,13.45,-1.8,Tony Dees,USA,06.08.63,s1,New Orleans,21.06.1998
36,36,13.45,-1.6,Duane Ross,USA,05.12.72,,London,23.08.2002
37,38,13.46,+1.7,Duane Ross,USA,05.12.72,,Cottbus,01.06.2002
38,38,13.46,-1.5,Duane Ross,USA,05.12.72,h2,Dortmund,15.06.2003
39,38,13.46,-1.5,Duane Ross,USA,05.12.72,,Monaco,13.09.2003
40,41,13.48,-0.1,Duane Ross,USA,05.12.72,,Palo Alto,23.06.2002
41,42,13.50,+0.4,Duane Ross,USA,05.12.72,q1,Athínai,25.08.2004
