,0,1,2,3,4,5,6,7
0,1,3:30.60,Jakob Ingebrigtsen,NOR,19.09.00,1,Liévin,17.02.2022
1,2,3:31.04,Samuel Tefera,ETH,23.10.99,1,Birmingham,16.02.2019
2,3,3:31.18,Hicham El Guerrouj,MAR,14.09.74,1rA,Stuttgart,02.02.1997
3,4,3:31.51+,Yomif Kejelcha,ETH,01.08.97,1,Boston,03.03.2019
4,5,3:31.58,Yomif Kejelcha,ETH,01.08.97,2,Birmingham,16.02.2019
5,6,3:31.76,Haile Gebrselassie,ETH,18.04.73,1r2,Stuttgart,01.02.1998
6,7,3:31.80,Jakob Ingebrigtsen,NOR,19.09.00,1,Liévin,09.02.2021
7,8,3:32.01,Hicham El Guerrouj,MAR,14.09.74,1,Liévin,22.02.1998
8,9,3:32.11,Laban Rotich,KEN,20.01.69,2r2,Stuttgart,01.02.1998
9,10,3:32.35,Oliver Hoare,AUS,29.01.97,1,New York City,13.02.2021
10,11,3:32.38,Jakob Ingebrigtsen,NOR,19.09.00,1,Liévin,15.02.2023
11,12,3:32.39,Haile Gebrselassie,ETH,18.04.73,2rA,Stuttgart,02.02.1997
12,13,3:32.48,Neil Gourley,GBR,07.02.95,1,Birmingham,25.02.2023
13,14,3:32.77,Samuel Tefera,ETH,23.10.99,1,Beograd,20.03.2022
14,15,3:32.86,Josh Kerr,GBR,08.10.97,1r1,Boston,27.02.2022
15,16,3:32.97,Selemon Barega,ETH,20.01.00,1,Torun,17.02.2021
16,17,3:33.01+,Hicham El Guerrouj,MAR,14.09.74,1,Gent,12.02.1997
17,18,3:33.02,Jakob Ingebrigtsen,NOR,19.09.00,2,Beograd,20.03.2022
18,19,3:33.08,Daniel Kipchirchir Komen,KEN,27.11.84,1,Karlsruhe,13.02.2005
19,20,3:33.10,Deresse Mekonnen,ETH,20.10.87,1,Birmingham,20.02.2010
20,21,3:33.17,Vénuste Niyongabo,BDI,09.12.73,2,Liévin,22.02.1998
21,21,3:33.17,Yomif Kejelcha,ETH,01.08.97,1,New York City,09.02.2019
22,23,3:33.23,Augustine Choge,KEN,21.01.87,1,Birmingham,19.02.2011
23,24,3:33.27,Haile Gebrselassie,ETH,18.04.73,1r2,Gent,08.02.1998
24,25,3:33.28,Adel Mechaal,ESP,05.12.90,2,Birmingham,25.02.2023
25,26,3:33.32,Andrés Manuel Díaz,ESP,12.07.69,1,Piræus,24.02.1999
26,27,3:33.34+,Bernard Lagat,USA,12.12.74,1,Fayetteville,11.02.2005
27,28,3:33.36,Abel Kipsang,KEN,22.11.96,3,Beograd,20.03.2022
28,29,3:33.39,Laban Rotich,KEN,20.01.69,1,Stockholm,25.02.1999
29,30,3:33.49,Andrew Coscoran,IRL,18.06.96,3,Birmingham,25.02.2023
30,31,3:33.59,Lemi Tadese,ETH,20.01.99,4,Beograd,20.03.2022
31,32,3:33.69,Daniel Kipchirchir Komen,KEN,27.11.84,1rA,Valencia,10.02.2007
32,32,3:33.69,Yared Nuguse,USA,01.06.99,1,Madrid,22.02.2023
33,34,3:33.70,Samuel Tefera,ETH,23.10.99,2,Liévin,17.02.2022
34,35,3:33.74,Augustine Choge,KEN,21.01.87,2,Birmingham,20.02.2010
35,36,3:33.76+,Edward Cheserek,KEN,02.02.94,1,Boston,09.02.2018
36,37,3:33.77,Haile Gebrselassie,ETH,18.04.73,1,Maebashi,07.03.1999
37,38,3:33.79,Augustine Choge,KEN,21.01.87,1r2,Stockholm,20.02.2007
38,39,3:33.95,Jakob Ingebrigtsen,NOR,19.09.00,1,Istanbul,03.03.2023
39,40,3:33.96,Haron Keitany,KEN,17.12.83,1,Gent,08.02.2009
40,41,3:33.97,Laban Rotich,KEN,20.01.69,1r1,Gent,08.02.1998
41,41,3:33.97,Deresse Mekonnen,ETH,20.10.87,2,Birmingham,19.02.2011
42,43,3:33.98,Laban Rotich,KEN,20.01.69,2,Maebashi,07.03.1999
43,44,3:33.99,Laban Rotich,KEN,20.01.69,1,Stockholm,19.02.1998
44,44,3:33.99,Ivan Heshko,UKR,19.08.79,2,Karlsruhe,13.02.2005
45,46,3:34.05,Vénuste Niyongabo,BDI,09.12.73,2,Stockholm,19.02.1998
46,47,3:34.10,Abdelati Iguider,MAR,25.03.87,1,Liévin,14.02.2012
47,48,3:34.13,Ismael Kombich,KEN,16.10.85,1,Gent,13.02.2011
48,48,3:34.13,Homiyu Tesfaye,GER,23.06.93,1,Stockholm,19.02.2015
49,50,3:34.16,Noureddine Morceli,ALG,28.02.70,1,Sevilla,28.02.1991
50,51,3:34.17,Deresse Mekonnen,ETH,20.10.87,1,Stuttgart,06.02.2010
51,52,3:34.20,Peter Elliott,GBR,09.10.62,1,Sevilla,27.02.1990
52,52,3:34.20,Daniel Kipchirchir Komen,KEN,27.11.84,1,Stuttgart,04.02.2006
53,54,3:34.23,Neil Gourley,GBR,07.02.95,2,Istanbul,03.03.2023
54,55,3:34.26,Daniel Kipchirchir Komen,KEN,27.11.84,1,Birmingham,18.02.2006
55,56,3:34.28,Haile Gebrselassie,ETH,18.04.73,1rA,Stuttgart,07.02.1999
56,57,3:34.29,Noureddine Morceli,ALG,28.02.70,1,Grenoble,29.01.1995
57,58,3:34.32,Mohamed Katir,ESP,17.02.98,2,Madrid,22.02.2023
58,59,3:34.36,Oliver Hoare,AUS,29.01.97,5,Beograd,20.03.2022
59,60,3:34.46,Andrés Manuel Díaz,ESP,12.07.69,3,Maebashi,07.03.1999
60,61,3:34.48,Jake Wightman,GBR,11.07.94,2,New York City,13.02.2021
61,62,3:34.57,Abel Kipsang,KEN,22.11.96,1,Birmingham,19.02.2022
62,63,3:34.58,Neil Gourley,GBR,07.02.95,1rA,New York City,11.02.2023
63,64,3:34.59,Daniel Kipchirchir Komen,KEN,27.11.84,1,Madrid,24.02.2005
64,65,3:34.62,Bethwell Birgen,KEN,06.08.88,2,Stockholm,19.02.2015
65,65,3:34.62,Selemon Barega,ETH,20.01.00,1,Metz,06.02.2021
66,67,3:34.63,Nixon Chepseba,KEN,12.12.90,1rA,Düsseldorf,11.02.2011
67,68,3:34.65,Bethwell Birgen,KEN,06.08.88,1,Karlsruhe,12.02.2012
68,69,3:34.66,Roberto Parra,ESP,06.04.76,1,Sevilla,22.02.2003
69,69,3:34.66,Augustine Choge,KEN,21.01.87,2rA,Düsseldorf,11.02.2011
70,71,3:34.67,Bethwell Birgen,KEN,06.08.88,2,Metz,06.02.2021
71,72,3:34.68,Abdelati Iguider,MAR,25.03.87,1,Leipzig,13.02.2010
72,73,3:34.69,Daniel Kipchirchir Komen,KEN,27.11.84,2r2,Stockholm,20.02.2007
