,0,1,2,3,4,5,6,7
0,1,1:16:36,Yusuke Suzuki,JPN,02.01.88,1,Nomi,15.03.2015
1,2,1:16:43,Sergey Morozov,RUS,21.03.88,1,Saransk,08.06.2008
2,3,1:16:54,Wang Kaihua,CHN,16.02.94,1cA,Huangshan,20.03.2021
3,4,1:17:02,Yohann Diniz,FRA,01.01.78,1,Arles,08.03.2015
4,5,1:17:15,Toshikazu Yamanishi,JPN,15.02.96,1,Nomi,17.03.2019
5,6,1:17:16,Vladimir Kanaykin,RUS,21.03.85,1,Saransk,29.09.2007
6,7,1:17:20,Toshikazu Yamanishi,JPN,15.02.96,1,Kobe,21.02.2021
7,8,1:17:21,Jefferson Pérez,ECU,01.07.74,1,Saint-Denis,23.08.2003
8,9,1:17:22,Francisco Javier Fernández,ESP,05.03.77,1,Turku,28.04.2002
9,10,1:17:23,Vladimir Stankin,RUS,02.01.74,1,Adler,08.02.2004
10,11,1:17:24,Yohann Diniz,FRA,01.01.78,1,Lugano,15.03.2015
11,11,1:17:24,Masatora Kawano,JPN,23.10.98,2,Nomi,17.03.2019
12,13,1:17:25,Sergey Shirobokov,RUS,10.02.99,1,Cheboksary,09.06.2018
13,13,1:17:25,Koki Ikeda,JPN,03.05.98,3,Nomi,17.03.2019
14,15,1:17:30,Alex Schwazer,ITA,26.11.84,1,Lugano,18.03.2012
15,16,1:17:33,Nathan Deakes,AUS,17.08.77,1,Cixi,23.04.2005
16,17,1:17:36,Vladimir Kanaykin,RUS,21.03.85,1,Cheboksary,17.06.2007
17,17,1:17:36,Wang Zhen,CHN,24.08.91,1,Taicang,30.03.2012
18,17,1:17:36,Toshikazu Yamanishi,JPN,15.02.96,1,Kobe,16.02.2020
19,20,1:17:38,Valeriy Borchin,RUS,03.07.86,1,Adler,28.02.2009
20,21,1:17:39,Cai Zelin,CHN,11.04.91,2cA,Huangshan,20.03.2021
21,21,1:17:39,Zhang Jun,CHN,20.07.98,3cA,Huangshan,20.03.2021
22,23,1:17:40,Chen Ding,CHN,05.08.92,2,Taicang,30.03.2012
23,24,1:17:41,Zhu Hongjun,CHN,18.08.83,2,Cixi,23.04.2005
24,24,1:17:41,Toshikazu Yamanishi,JPN,15.02.96,1,La Coruña,08.06.2019
25,26,1:17:43,Yohann Diniz,FRA,01.01.78,2,Lugano,18.03.2012
26,27,1:17:45,Massimo Stano,ITA,27.02.92,2,La Coruña,08.06.2019
27,28,1:17:46,Julio Martínez,GUA,27.09.73,1,Eisenhüttenstadt,08.05.1999
28,28,1:17:46,Roman Rasskazov,RUS,28.04.79,1,Moskva,19.05.2000
29,30,1:17:47,Yusuke Suzuki,JPN,02.01.88,4,Nomi,17.03.2019
30,31,1:17:52,Francisco Javier Fernández,ESP,05.03.77,1,La Coruña,04.06.2005
31,31,1:17:52,Isamu Fujisawa,JPN,12.10.87,5,Nomi,17.03.2019
32,31,1:17:52,Cui Lihong,CHN,13.05.99,4cA,Huangshan,20.03.2021
33,34,1:17:53,Cui Zhide,CHN,11.01.83,3,Cixi,23.04.2005
34,35,1:17:54,Wang Kaihua,CHN,16.02.94,1,Huangshan,04.03.2017
35,35,1:17:54,Yusuke Suzuki,JPN,02.01.88,3,La Coruña,08.06.2019
36,37,1:17:55,Valeriy Borchin,RUS,03.07.86,1,Adler,23.02.2008
37,38,1:17:56,Alejandro López,MEX,09.02.75,2,Eisenhüttenstadt,08.05.1999
38,39,1:18:00,Francisco Javier Fernández,ESP,05.03.77,2,Saint-Denis,23.08.2003
39,39,1:18:00,Wang Zhen,CHN,24.08.91,1,La Coruña,06.06.2015
40,39,1:18:00,Eiki Takahashi,JPN,19.11.92,1,Kobe,17.02.2019
41,42,1:18:01,Koki Ikeda,JPN,03.05.98,2,Kobe,17.02.2019
42,43,1:18:03,Eiki Takahashi,JPN,19.11.92,1,Kobe,15.02.2015
43,44,1:18:04,Bo Lingtang,CHN,12.08.70,1,Beijing,07.04.1994
44,44,1:18:04,Eiki Takahashi,JPN,19.11.92,2,Kobe,21.02.2021
45,44,1:18:04,Sun Shuai,CHN,15.09.99,5cA,Huangshan,20.03.2021
46,47,1:18:05,Dmitriy Yesipchuk,RUS,17.11.74,1,Adler,04.03.2001
47,48,1:18:06,Viktor Burayev,RUS,23.02.82,2,Adler,04.03.2001
48,48,1:18:06,Vladimir Parvatkin,RUS,10.10.84,1,Adler,12.03.2005
49,50,1:18:07,Roman Rasskazov,RUS,28.04.79,1,Adler,20.02.2000
50,50,1:18:07,Roman Rasskazov,RUS,28.04.79,3,Saint-Denis,23.08.2003
51,50,1:18:07,Li Gaobo,CHN,04.05.89,4,Cixi,23.04.2005
52,50,1:18:07,Perseus Karlström,SWE,02.05.90,4,La Coruña,08.06.2019
53,54,1:18:10,Toshikazu Yamanishi,JPN,15.02.96,3,Kobe,17.02.2019
54,55,1:18:12,Artur Meleshkevich,BLR,11.04.75,1,Brest,10.03.2001
55,56,1:18:13,Pavol Blazek,SVK,09.07.58,1,Hildesheim,16.09.1990
56,56,1:18:13,Wang Hao,CHN,16.08.89,1,Jinan,22.10.2009
57,56,1:18:13,Yusuke Suzuki,JPN,02.01.88,2,Kobe,15.02.2015
58,59,1:18:14,Mikhail Khmelnitskiy,BLR,24.07.69,1,Soligorsk,13.05.2000
59,59,1:18:14,Nathan Deakes,AUS,17.08.77,1,Dublin,16.06.2001
60,59,1:18:14,Noé Hernández,MEX,15.03.78,4,Saint-Denis,23.08.2003
61,62,1:18:15,Francisco Javier Fernández,ESP,05.03.77,1,Cheboksary,10.05.2008
62,63,1:18:16,Vladimir Andreyev,RUS,07.09.66,2,Moskva,19.05.2000
63,64,1:18:17,Vladimir Parvatkin,RUS,10.10.84,2,Adler,08.02.2004
64,64,1:18:17,Ilya Markov,RUS,19.06.72,2,Adler,12.03.2005
65,64,1:18:17,Li Gaobo,CHN,04.05.89,1,Yangzhou,22.04.2006
66,64,1:18:17,Yusuke Suzuki,JPN,02.01.88,1,Kobe,16.02.2014
67,68,1:18:18,Yevgeniy Misyulya,BLR,13.03.64,1,Eisenhüttenstadt,11.05.1996
68,68,1:18:18,Ilya Markov,RUS,19.06.72,2,Yangzhou,22.04.2006
69,68,1:18:18,Sergey Bakulin,RUS,13.11.86,2,Adler,23.02.2008
70,68,1:18:18,Eiki Takahashi,JPN,19.11.92,1,Kobe,19.02.2017
71,72,1:18:20,Andrey Perlov,RUS,12.12.61,1,Moskva,26.05.1990
72,72,1:18:20,Denis Nizhegorodov,RUS,26.07.80,3,Adler,04.03.2001
73,74,1:18:21,Valeriy Borchin,RUS,03.07.86,2,Cheboksary,10.05.2008
74,75,1:18:22,Robert Korzeniowski,POL,30.07.68,1,Hildesheim,09.07.2000
75,75,1:18:22,Vladimir Stankin,RUS,02.01.74,3,Adler,12.03.2005
76,75,1:18:22,Li Gaobo,CHN,04.05.89,1,Nanjing,19.10.2005
77,75,1:18:22,Koki Ikeda,JPN,03.05.98,1,Nomi,15.03.2020
78,79,1:18:23,Andrey Makarov,BLR,02.01.71,2,Soligorsk,13.05.2000
79,79,1:18:23,Isamu Fujisawa,JPN,12.10.87,2,Kobe,19.02.2017
80,79,1:18:23,Samuel Gathimba,KEN,26.10.87,1,Nairobi,18.06.2021
81,82,1:18:24,Jefferson Pérez,ECU,01.07.74,1,Podébrady,19.04.1997
82,83,1:18:25,Erick Barrondo,GUA,14.06.91,3,Lugano,18.03.2012
83,83,1:18:25,Sergey Shirobokov,RUS,10.02.99,1,Sochi,18.02.2017
84,85,1:18:26,Eiki Takahashi,JPN,19.11.92,1,Kobe,21.02.2016
85,86,1:18:27,Daniel García,MEX,28.10.71,2,Podébrady,19.04.1997
86,86,1:18:27,Xing Shucai,CHN,04.08.84,5,Cixi,23.04.2005
87,88,1:18:28,Vladimir Parvatkin,RUS,10.10.84,1,Cheboksary,12.06.2004
88,89,1:18:29,Robert Korzeniowski,POL,30.07.68,1,Eisenhüttenstadt,17.06.2000
89,89,1:18:29,Eiki Takahashi,JPN,19.11.92,2,Nomi,15.03.2020
90,91,1:18:30,Ilya Markov,RUS,19.06.72,3,Podébrady,19.04.1997
91,91,1:18:30,Yu Chaohong,CHN,12.12.76,6,Cixi,23.04.2005
92,91,1:18:30,Wang Zhen,CHN,24.08.91,1,Taicang,22.04.2011
93,94,1:18:31,Han Yucheng,CHN,16.12.78,7,Cixi,23.04.2005
94,94,1:18:31,Francisco Javier Fernández,ESP,05.03.77,1,La Coruña,13.05.2006
95,96,1:18:32,Vladimir Andreyev,RUS,07.09.66,1,Adler,11.02.1995
96,96,1:18:32,Li Zewen,CHN,05.12.73,4,Podébrady,19.04.1997
97,96,1:18:32,Vasiliy Mizinov,RUS,29.12.97,1,Sochi,18.02.2019
98,99,1:18:33,Liu Yunfeng,CHN,03.08.79,8,Cixi,23.04.2005
99,99,1:18:33,Francisco Javier Fernández,ESP,05.03.77,3,Yangzhou,22.04.2006
100,10,1:18:34,Eder Sánchez,MEX,21.05.86,3,Cheboksary,10.05.2008
101,10,1:18:34,Yusuke Suzuki,JPN,02.01.88,1,Nomi,10.03.2013
102,10,1:18:35,Roman Rasskazov,RUS,28.04.79,3,Adler,08.02.2004
103,10,1:18:35,Jefferson Pérez,ECU,01.07.74,1,Helsinki,06.08.2005
104,10,1:18:35,Han Yucheng,CHN,16.12.78,4,Yangzhou,22.04.2006
105,10,1:18:36,Mikhail Shchennikov,RUS,24.12.67,1,Sochi,20.04.1996
106,10,1:18:36,Yusuke Suzuki,JPN,02.01.88,3,Nomi,15.03.2020
107,10,1:18:36,Koki Ikeda,JPN,03.05.98,1,Kobe,19.02.2023
108,10,1:18:37,Aleksandr Pershin,RUS,29.01.67,2,Moskva,26.05.1990
109,10,1:18:37,Ruslan Shafikov,RUS,27.06.75,1,Adler,11.02.1995
110,10,1:18:37,Mikhail Shchennikov,RUS,24.12.67,1,Eisenhüttenstadt,14.05.1995
111,10,1:18:37,Mikhail Shchennikov,RUS,24.12.67,2,Eisenhüttenstadt,11.05.1996
112,10,1:18:37,Francisco Javier Fernández,ESP,05.03.77,1,München,06.08.2002
113,10,1:18:37,Zhu Hongjun,CHN,18.08.83,1,Dudince,26.03.2005
114,10,1:18:37,Wang Zhen,CHN,24.08.91,1,Lugano,20.03.2011
115,11,1:18:38,Chu Yafei,CHN,05.09.88,2,Lugano,20.03.2011
116,11,1:18:39,Lu Ronghua,CHN,21.02.83,9,Cixi,23.04.2005
117,11,1:18:40,Vladimir Andreyev,RUS,07.09.66,1,Cheboksary,30.08.1998
118,11,1:18:40,Robert Korzeniowski,POL,30.07.68,1,Turku,22.05.1999
119,12,1:18:41,Igor Kollár,SVK,25.06.65,3,Eisenhüttenstadt,11.05.1996
120,12,1:18:41,Eiki Takahashi,JPN,19.11.92,2,Kobe,16.02.2014
121,12,1:18:41,Vasiliy Mizinov,RUS,29.12.97,5,La Coruña,08.06.2019
122,12,1:18:42,Andreas Erm,GER,12.03.76,2,Eisenhüttenstadt,17.06.2000
123,12,1:18:42,Jefferson Pérez,ECU,01.07.74,1,Naumburg,02.05.2004
124,12,1:18:42,Sergey Shirobokov,RUS,10.02.99,2,Sochi,18.02.2019
125,12,1:18:42,Christopher Linke,GER,24.10.88,6,La Coruña,08.06.2019
126,12,1:18:42,Yuta Koga,JPN,15.07.99,4,Nomi,15.03.2020
127,12,1:18:42,Salih Korkmaz,TUR,14.04.97,1,Antalaya,06.03.2021
128,12,1:18:43,Zhu Hongjun,CHN,18.08.83,1,Yangzhou,12.04.2003
129,13,1:18:44,Vladimir Andreyev,RUS,07.09.66,2,Cheboksary,12.06.2004
130,13,1:18:44,Chu Yafei,CHN,05.09.88,5,Yangzhou,22.04.2006
131,13,1:18:44,Chen Ding,CHN,05.08.92,2,La Coruña,06.06.2015
132,13,1:18:44,Xu Hao,CHN,06.02.99,6cA,Huangshan,20.03.2021
133,13,1:18:45,Mikhail Shchennikov,RUS,24.12.67,1,Helsinki,08.08.1994
134,13,1:18:45,Stepan Yudin,RUS,03.04.80,4,Adler,12.03.2005
135,13,1:18:45,Dong Jimin,CHN,10.10.85,6,Yangzhou,22.04.2006
136,13,1:18:45,Chu Yafei,CHN,05.09.88,2,Taicang,22.04.2011
137,13,1:18:45,Isamu Fujisawa,JPN,12.10.87,2,Kobe,21.02.2016
138,13,1:18:45,Vasiliy Mizinov,RUS,29.12.97,1,Sochi,19.02.2021
139,13,1:18:45,Koki Ikeda,JPN,03.05.98,3,Kobe,21.02.2021
