,0,1,2,3,4,5,6,7,8,9,10
0,1,19.8y,,Carl Lawson,,,JAM,27.10.47,1,Moscow,19.05.1973
1,1,19.8y,3.4,James Gilkes,,,GUY,21.09.52,1,Austin,08.06.1974
2,1,19.8,4.4,Desmond Ross,,,USA,30.12.61,1,Manhattan,11.05.1985
3,4,19.9Ay,6.1,Tommie Smith,,,USA,12.06.44,1,San José,20.04.1968
4,4,19.9y,,Gerald Tinker,,,USA,19.01.51,1,Kent,05.05.1973
5,4,19.9y,3.4,Reggie Jones,,,USA,30.12.53,2,Austin,08.06.1974
6,4,19.9,,Silvio Leonard,,,CUB,20.09.55,1,La Habana,22.05.1977
7,4,19.9,4.4,Chidi Imoh,,,NGR,27.08.63,2,Manhattan,11.05.1985
8,4,19.9,2.7,Michael Johnson,,,USA,13.09.67,1,Des Moines,25.04.1992
9,10,20.0Ay,3.4,Seraphino Antao,,,KEN,30.10.37,1,Nairobi,22.09.1962
10,10,20.0y,5.2,Donald Quarrie,,,JAM,25.02.51,1,Eugene,08.06.1974
11,10,20.0y,3.4,Wardell Gilbreath,,,USA,29.08.54,3,Austin,08.06.1974
12,10,20.0,6.5,Perry Williams,,,USA,12.05.61,1,Raleigh,09.04.1982
13,10,20.0,4.4,Leroy Dixson,,,USA,22.05.63,3,Manhattan,11.05.1985
14,10,20.0,4.4,Anthony Small,,,CAN,19.04.64,4,Manhattan,11.05.1985
15,10,20.0,2.8,Daron Council,,,USA,26.12.64,1,Dallas,11.04.1987
16,10,20.0,2.8,Roy Martin,,,USA,25.12.66,2,Dallas,11.04.1987
17,10,20.0,3.5,Davidson Ezinwa,,,NGR,22.11.71,1,Walnut,28.04.1990
18,10,20.0,3.7,Claudinei Quirino,da,Silva,BRA,19.11.70,1h1,Americana,27.04.1996
19,10,20.0,2.4,Noah Akwu,,,NGR,23.09.90,1,Kaduna,30.10.2014
20,21,20.1y,,Tommie Smith,,,USA,12.06.44,1h,Bloomington,16.06.1966
21,21,20.1y,2.6,Tommie Smith,,,USA,12.06.44,1,Modesto,27.05.1967
22,21,20.1Ay,2.3,Tommie Smith,,,USA,12.06.44,1,San José,02.03.1968
23,21,20.1A,4.8,John Carlos,,,USA,05.06.45,1q2,Echo Summit,11.09.1968
24,21,20.1y,2.5,Donald Quarrie,,,JAM,25.02.51,1,Eugene,26.06.1971
25,21,20.1,4.1,Donald Quarrie,,,JAM,25.02.51,1,Maracaibo,28.07.1973
26,21,20.1,8.0,Charles Joseph,,,TTO,25.03.52,1,Arima,15.06.1974
27,21,20.1Ay,3.0,Steve Williams,,,USA,13.11.53,1,San José,03.05.1975
28,21,20.1Ay,2.1,Larry Brown,,,USA,23.03.51,1,Salt Lake City,10.05.1975
29,21,20.1,2.4,Steve Riddick,,,USA,18.09.51,1,Fort-de-France,02.05.1976
30,21,20.1,7.7,Calvin Smith,,,USA,08.01.61,1,Knoxville,02.04.1983
31,21,20.1,4.4,Allen Johnson,,,USA,01.03.71,5,Manhattan,11.05.1985
32,21,20.1,4.4,Dennis Wallace,,,JAM,10.07.62,6,Manhattan,11.05.1985
33,21,20.1A,,Gabriel Okon,,,NGR,15.03.66,1,Flagstaff,03.05.1986
34,21,20.1,2.8,Tony Allen,,,USA,21.06.67,3,Dallas,11.04.1987
