,0,1,2,3,4,5,6,7
0,1,7:20.67,Daniel Komen,KEN,17.05.76,1,Rieti,01.09.1996
1,2,7:23.09,Hicham El Guerrouj,MAR,14.09.74,1,Bruxelles,03.09.1999
2,3,7:25.02,Ali Saïdi-Sief,ALG,15.03.78,1,Monaco,18.08.2000
3,4,7:25.09,Haile Gebrselassie,ETH,18.04.73,1,Bruxelles,28.08.1998
4,5,7:25.11,Noureddine Morceli,ALG,28.02.70,1,Monaco,02.08.1994
5,6,7:25.16,Daniel Komen,KEN,17.05.76,1,Monaco,10.08.1996
6,7,7:25.54,Haile Gebrselassie,ETH,18.04.73,1,Monaco,08.08.1998
7,8,7:25.79,Kenenisa Bekele,ETH,13.06.82,1,Stockholm,07.08.2007
8,9,7:25.87,Daniel Komen,KEN,17.05.76,1,Bruxelles,23.08.1996
9,10,7:25.93,Thierry Ndikumwenayo,BDI,26.03.97,1,Monaco,10.08.2022
10,11,7:26.02,Haile Gebrselassie,ETH,18.04.73,1,Bruxelles,22.08.1997
11,12,7:26.03,Haile Gebrselassie,ETH,18.04.73,1,Helsinki,10.06.1999
12,13,7:26.18,Lamecha Girma,ETH,26.11.00,1,Ad-Dawhah,05.05.2023
13,14,7:26.25,Yomif Kejelcha,ETH,01.08.97,1,Oslo,01.07.2021
14,15,7:26.62,Mohammed Mourhit,BEL,10.10.70,2,Monaco,18.08.2000
15,16,7:26.64,Jacob Kiplimo,UGA,14.11.00,1,Roma,17.09.2020
16,17,7:26.69,Kenenisa Bekele,ETH,13.06.82,1,Sheffield,15.07.2007
17,18,7:26.81,Berihu Aregawi,ETH,28.02.01,2,Monaco,10.08.2022
18,19,7:27.0+,Daniel Komen,KEN,17.05.76,1,Sydney,28.02.1998
19,20,7:27.05,Jakob Ingebrigtsen,NOR,19.09.00,2,Roma,17.09.2020
20,21,7:27.16,Selemon Barega,ETH,20.01.00,2,Ad-Dawhah,05.05.2023
21,22,7:27.18,Moses Kiptanui,KEN,01.10.70,1,Monaco,25.07.1995
22,23,7:27.26,Yenew Alamirew,ETH,27.05.90,1,Ad-Dawhah,06.05.2011
23,24,7:27.3+,Daniel Komen,KEN,17.05.76,1,Hechtel,19.07.1997
24,25,7:27.42,Haile Gebrselassie,ETH,18.04.73,1,Oslo,09.07.1998
25,26,7:27.50,Noureddine Morceli,ALG,28.02.70,1,Bruxelles,25.08.1995
26,27,7:27.55,Edwin Cheruiyot Soi,KEN,03.03.86,2,Ad-Dawhah,06.05.2011
27,28,7:27.59,Luke Kipkosgei,KEN,27.11.75,2,Monaco,08.08.1998
28,29,7:27.61,Berihu Aregawi,ETH,28.02.01,3,Ad-Dawhah,05.05.2023
29,30,7:27.64,Mohamed Katir,ESP,17.02.98,1,Gateshead,13.07.2021
30,31,7:27.66,Eliud Kipchoge,KEN,05.11.84,3,Ad-Dawhah,06.05.2011
31,32,7:27.67,Ali Saïdi-Sief,ALG,15.03.78,1,Saint-Denis,23.06.2000
32,33,7:27.72,Eliud Kipchoge,KEN,05.11.84,1,Bruxelles,03.09.2004
33,34,7:27.75,Thomas Nyariki,KEN,27.09.71,2,Monaco,10.08.1996
34,35,7:28.00,Yomif Kejelcha,ETH,01.08.97,1rA,Göteborg,18.08.2018
35,36,7:28.02,Stewart McSweyn,AUS,01.06.95,3,Roma,17.09.2020
36,37,7:28.04,Moses Kiptanui,KEN,01.10.70,1,Köln,18.08.1995
37,38,7:28.19,Yomif Kejelcha,ETH,01.08.97,1,Saint-Denis,27.08.2016
38,39,7:28.28,Luke Kipkosgei,KEN,27.11.75,2,Oslo,09.07.1998
39,39,7:28.28,James Kwalia,KEN,12.06.84,2,Bruxelles,03.09.2004
40,41,7:28.37,Eliud Kipchoge,KEN,05.11.84,1,Ad-Dawhah,08.05.2009
41,42,7:28.41,Paul Bitok,KEN,26.06.70,3,Monaco,10.08.1996
