,0,1,2,3,4,5,6,7,8
0,1,8:08.47,Bouabdellah Tahri,,FRA,20.12.78,1,Saint-Denis,06.07.2007
1,2,8:12.73,Paul Kipsiele Koech,,KEN,10.11.81,2,Saint-Denis,06.07.2007
2,3,8:12.88,Brimin Kipruto,,KEN,31.07.85,3,Saint-Denis,06.07.2007
3,4,8:12.98,Richard Mateelong,,KEN,14.10.83,4,Saint-Denis,06.07.2007
4,5,8:16.09,Reuben Kosgei,,KEN,02.08.79,5,Saint-Denis,06.07.2007
5,6,8:18.68,Michael Kipyego,,KEN,02.10.83,6,Saint-Denis,06.07.2007
6,7,8:24.55,Tareq Mubarak Salem,Taher,BRN,01.12.86,7,Saint-Denis,06.07.2007
7,8,8:26.6,Tapio Kantanen,,FIN,31.05.49,1,Kantaa,27.05.1976
8,9,8:27.49,Elijah Kibwalei,,KEN,84,8,Saint-Denis,06.07.2007
9,10,8:27.8,Paul Copu,,ROU,07.08.53,2,Kantaa,27.05.1976
10,11,8:28.2,Kazimierz Maranda,,POL,23.02.47,3,Kantaa,27.05.1976
