,0,1,2,3,4,5
0,1.0,3:00.77,University of Southern California,1r4,College Station,10.03.2018
1,,,Zachary Shinnick,(46.24),08.02.98,USA
2,,,Rai Benjamin,(44.35),27.07.97,ANT
3,,,Ricky Morgon,(45.67),07.01.96,USA
4,,,Michael Norman,(44.52),03.12.97,USA
5,2.0,3:01.09A,University of Arkansas,1r1,Albuquerque,04.02.2023
6,,,Connor Washington,(46.61),18.01.03,USA
7,,,James Benson,(44.82),10.08.00,USA
8,,,Ayden Owens-Delerme,(45.34),28.05.00,PUR
9,,,Chris Bailey,(44.32),29.05.00,USA
10,3.0,3:01.39,Texas A&M University,2r4,College Station,10.03.2018
11,,,Ilolo Izu,(46.57),28.05.97,USA
12,,,Robert Grant,(44.84),31.01.96,USA
13,,,Devin Dixon,(45.48),22.09.97,USA
14,,,My'Lik Kerley,(44.52),06.06.96,USA
15,4.0,3:01.43,University of Florida,3r4,College Station,10.03.2018
16,,,Kunle Fasasi,(46.42),23.06.96,NGR
17,,,Grant Holloway,(44.91),19.11.97,USA
18,,,Chantz Sawyers,(45.36),06.06.99,JAM
19,,,Benjamin Lobo Vedel,(44.75),23.09.97,DEN
20,5.0,3:01.51,University of Houston,1r1,Clemson,09.02.2019
21,,,Amere Lattin,(46.33),17.02.97,USA
22,,,Obi Igbokwe,(44.93),28.01.97,USA
23,,,Jermaine Holt,(45.80),,USA
24,,,Kahmari Montgomery,(44.45),16.08.97,USA
25,6.0,3:01.56,Texas A&M University,2r1,Clemson,09.02.2019
26,,,Ilolo Izu,(46.50),28.05.97,USA
27,,,Bryce Deadmon,(45.15),26.03.97,USA
28,,,Kyree Johnson,(45.67),09.05.99,USA
29,,,Devin Dixon,(44.24),22.09.97,USA
30,7.0,3:01.77,Poland,1,Birmingham,04.03.2018
31,,,Karol Zalewski,(45.73),07.08.93,POL
32,,,Rafal Omelko,(45.17),16.01.89,POL
33,,,Lukasz Krawczuk,(45.87),15.06.89,POL
34,,,Jakub Krzewina,(45.00),10.10.89,POL
35,8.0,3:01.78,University of Alabama,1r2,Fayetteville,25.02.2023
36,,,Chris Robinson,(45.65),19.02.01,USA
37,,,Demetrius Jackson,(46.22),17.06.00,USA
38,,,Tarsis Orogot,(44.64),24.11.02,UGA
39,,,Khaleb McRae,(45.29),09.09.00,USA
40,9.0,3:01.96,United States,1,Fayetteville,11.02.2006
41,,,Kerron Clement,(46.10),31.10.85,USA
42,,,Wallace Spearmon,(45.94),24.12.84,USA
43,,,Darold Williamson,(45.18),19.02.83,USA
44,,,Jeremy Wariner,(44.74),31.01.84,USA
45,10.0,3:01.97,United States,2,Birmingham,04.03.2018
46,,,Fred Kerley,(44.85),07.05.95,USA
47,,,Michael Cherry,(45.34),23.03.95,USA
48,,,Aldrich Bailey,(46.11),06.02.94,USA
49,,,Vernon Norwood,(45.67),10.04.92,USA
50,11.0,3:01.98,University of Southern California,1r1,Clemson,10.02.2018
51,,,Zachary Shinnick,(46.28),08.02.98,USA
52,,,Rai Benjamin,(44.63),27.07.97,ANT
53,,,Ricky Morgon,(45.72),07.01.96,USA
54,,,Michael Norman,(45.35),03.12.97,USA
55,12.0,3:02.09,University of Florida - A,1r4,Fayetteville,12.02.2022
56,,,Jacory Patterson,(45.65),02.02.00,USA
57,,,Ryan Willie,(45.10),24.06.02,USA
58,,,Jacob Miley,(45.68),01.01.01,USA
59,,,Champion Allison,(45.67),05.11.98,USA
60,12.0,3:02.09A,University of Arkansas,1r3,Albuquerque,11.03.2023
61,,,Connor Washington,(46.48),18.01.03,USA
62,,,James Benson,(44.91),10.08.00,USA
63,,,Ayden Owens-Delerme,(46.56),28.05.00,PUR
64,,,Chris Bailey,(44.15),29.05.00,USA
65,14.0,3:02.13,United States,1,Sopot,09.03.2014
66,,,Kyle Clemons,(46.10),27.12.90,USA
67,,,David Verburg,(45.46),14.05.91,USA
68,,,Kind Butler,(45.43),08.04.88,USA
69,,,Calvin Smith,(45.14),10.12.87,USA
70,15.0,3:02.18,University of Florida,1r6,Fayetteville,11.02.2023
71,,,Jacory Patterson,(45.47),02.02.00,USA
72,,,Emmanuel Bamidele,(46.93),06.07.99,NGR
73,,,Jevaughn Powell,(46.11),19.11.00,JAM
