,0,1,2,3,4,5
0,1.0,2:58.84,Trinidad & Tobago,h1,Rio de Janeiro,19.08.2016
1,,,Jarrin Solomon,(45.0),11.01.86,TTO
2,,,Lalonde Gordon,(44.4),25.11.88,TTO
3,,,Deon Lendore,(44.78),28.10.92,TTO
4,,,Machel Cedenio,(44.57),12.09.95,TTO
5,2.0,2:58.88,Great Britain & N.I.,h2,Rio de Janeiro,19.08.2016
6,,,Nigel Levine,(45.7),30.04.89,GBR
7,,,Delano Williams,(44.0),23.12.93,GBR
8,,,Matthew Hudson-Smith,(45.32),26.10.94,GBR
9,,,Martyn Rooney,(43.75),03.04.87,GBR
10,3.0,2:59.24,Bahamas,h1,Beijing,29.08.2015
11,,,Steven Gardiner,(45.7),12.09.95,BAH
12,,,Michael Mathieu,(43.9),24.06.84,BAH
13,,,Alonzo Russell,(45.53),08.02.92,BAH
14,,,Ramon Miller,(46.88),17.02.87,BAH
15,4.0,3:00.73,Africa,,Canberra,06.10.1985
16,,,Sunday Uti,(46.1),23.10.62,NGR
17,,,David Kitur,(45.0),12.10.62,KEN
18,,,Gabriel Tiacoh,(44.9),10.09.63,CIV
19,,,Innocent Egbunike,(44.8),30.11.61,NGR
20,5.0,3:00.84,United States,rA,Yokohama,12.05.2019
21,,,Nathan Strother,(45.7),06.09.95,USA
22,,,Fred Kerley,(44.4),07.05.95,USA
23,,,Michael Cherry,(45.1),23.03.95,USA
24,,,Paul Dedewo,(45.6),05.06.91,USA
25,6.0,3:01.07,Southern Methodist University,,Austin,05.04.1986
26,,,Kevin Robinzine,,12.04.66,USA
27,,,Gary Satterwhite,(45.1),07.05.67,USA
28,,,Rod Jones,(45.4),31.03.64,USA
29,,,Roy Martin,(43.8),25.12.66,USA
30,7.0,3:01.16,Nigeria,h2,Sevilla,28.08.1999
31,,,Udeme Ekpeyong,(45.7),28.03.73,NGR
32,,,Jude Monye,(44.9),16.11.73,NGR
33,,,Fidelis Gadzama,(45.36),20.10.79,NGR
34,,,Sunday Bada,(45.16),22.06.69,NGR
35,8.0,3:01.2,Jamaica,h3,Barcelona,07.08.1992
36,,,Dennis Blake,,06.09.70,JAM
37,,,Devon Morris,(44.7),22.01.61,JAM
38,,,Howard Davis,,27.04.67,JAM
39,,,Patrick O'Connor,,17.09.66,JAM
40,9.0,3:01.6,Jamaica,,Manchester,31.07.2002
41,,,Sanjay Ayre,(46.1),19.06.80,JAM
42,,,Brandon Simpson,(44.9),06.09.81,JAM
43,,,Danny McFarlane,(44.8),14.02.72,JAM
44,,,Michael Blackwood,(45.8),29.08.76,JAM
45,10.0,3:01.60,Trinidad & Tobago,,Helsinki,14.08.2005
46,,,Ato Stephens,(45.7e),19.06.79,TTO
47,,,Julian Raeburn,(45.5e),18.09.78,TTO
48,,,Renny Quow,(45.07),25.08.87,TTO
49,,,Damion Barry,(45.38),03.03.82,TTO
50,11.0,3:01.63,Botswana,h1,Ad-Dawhah,05.10.2019
51,,,Zibani Ngozi,,31.10.92,BOT
52,,,Ditiro Nzamani,,29.01.00,BOT
53,,,Onkabetse Nkobolo,,22.07.93,BOT
54,,,Leungo Scotch,,28.02.96,BOT
55,12.0,3:01.69,Georgia Tech,,Atlanta,23.05.1998
56,,,Desmond Johnson,,06.03.77,USA
57,,,Tyrone Ross,,02.08.79,USA
58,,,Jonas Motiejunas,,07.12.74,USA
59,,,Angelo Taylor,,29.12.78,USA
60,12.0,3:01.70,Kenya,s1,Sydney,29.09.2000
61,,,Ezra Sambu,(46.47),04.09.78,KEN
62,,,Samson Yego Kipchirchi,(45.74),01.09.71,KEN
63,,,Joseph Mutua Mwengi,(44.89),10.12.78,KEN
64,,,Julius Chepkwony,(44.60),06.06.69,KEN
65,13.0,3:01.75,Nigeria,,Atlanta,02.08.1996
66,,,Udeme Ekpeyong,(45.73),28.03.73,NGR
67,,,Clement Chukwu,(45.31),07.07.73,NGR
68,,,Ayuba Machem,(46.33),14.02.72,NGR
69,,,Sunday Bada,(44.38),22.06.69,NGR
70,14.0,3:01.79,Republic of South Africa,,London,15.07.2018
71,,,Thapelo Phora,(45.2),21.11.91,RSA
72,,,Pieter Conradie,(46.0),20.10.94,RSA
73,,,Zakhitine Nene,(45.49),02.04.98,RSA
74,,,Derrick Mokaleng,(44.96),18.06.97,RSA
75,15.0,3:01.86,Poland,,München,11.08.2002
76,,,Marcin Marciniszyn,(46.5e),07.09.82,POL
77,,,Marek Plawgo,(45.5e),25.02.81,POL
78,,,Piotr Rysiukiewicz,(44.79),14.07.74,POL
79,,,Robert Mackowiak,(45.04),13.05.70,POL
80,16.0,3:01.93,Southern Methodist University,,Philadelphia,26.04.1986
81,,,Rod Jones,(46.0),31.03.64,USA
82,,,Roy Martin,(45.6),25.12.66,USA
83,,,Harold Spells,(45.88),18.07.65,USA
84,,,Kevin Robinzine,(44.47),12.04.66,USA
85,17.0,3:02.04,Westerm Kentucky University,h2,Austin,05.06.2019
86,,,Abdur Kelly,,,USA
87,,,Kymari Gates,,02.05.97,USA
88,,,Oliver Alexandre,(45.51),,USA
89,,,Martin Owusu-Antwi,(45.37),15.04.95,GHA
90,18.0,3:02.24,India,h2,Rio de Janeiro,19.08.2016
91,,,Puthanpurakkal Kunhu Muhammed,(45.9),05.03.87,IND
92,,,Yahiya Muhammed Anas,(45.1),17.09.94,IND
93,,,Ayyasamy Dharun,(46.55),31.12.96,IND
94,,,Arokia Rajiv,(44.66),22.05.91,IND
95,19.0,3:02.35,Dominican Republic,h2,London,09.08.2012
96,,,Gustavo Cuesta,(46.4e),14.11.88,DOM
97,,,Felix Sánchez,(44.8e),30.08.77,DOM
98,,,Joel Mejía,(46.88),18.08.90,DOM
99,,,Luguelin Santos,(44.19),12.11.93,DOM
100,20.0,3:02.38,France,,Budapest,23.08.1998
101,,,Pierre-Marie Hilaire,,19.11.65,FRA
102,,,Marc Foucan,,14.10.71,FRA
103,,,Fred Mango,,26.06.73,FRA
104,,,Stéphane Diagana,,23.07.69,FRA
105,21.0,3:02.47,Bahamas,h2,Berlin,22.08.2009
106,,,Ramon Miller,(45.5),17.02.87,BAH
107,,,Avard Moncur,(46.0),02.11.78,BAH
108,,,LaToy Williams,(45.04),28.05.88,BAH
109,,,Nathaniel McKinney,(45.98),19.01.82,BAH
110,22.0,3:02.73,Jamaica,h1,Athínai,27.08.2004
111,,,Michael Campbell,(45.5),11.09.78,JAM
112,,,Michael Blackwood,(46.6),29.08.76,JAM
113,,,Jermaine Gonzáles,(44.67),26.11.84,JAM
114,,,Davian Clarke,(45.95),30.04.76,JAM
115,23.0,3:03.20,France,,London,15.07.2018
116,,,Mame-Ibra Anne,(46.7),07.11.89,FRA
117,,,Mamoudou Kasse Hanne,(45.8),06.03.88,FRA
118,,,Patrice Maurice,(45.95),16.05.89,FRA
119,,,Thomas Jordier,(44.73),12.08.94,FRA
