,0,1,2,3,4,5
0,1.0,2:54.20,United States,,Uniondale,22.07.1998
1,,,Jerome Young,(44.3),14.08.76,USA
2,,,Antonio Pettigrew,(43.2),03.11.67,USA
3,,,Tyree Washington,(43.5),28.08.76,USA
4,,,Michael Johnson,(43.2),13.09.67,USA
5,2.0,2:56.35,United States,,Sydney,30.09.2000
6,,,Alvin Harrison,(44.36),20.01.74,USA
7,,,Antonio Pettigrew,(44.17),03.11.67,USA
8,,,Calvin Harrison,(43.53),20.01.74,USA
9,,,Michael Johnson,(44.29),13.09.67,USA
10,3.0,2:56.45,United States,,Sevilla,29.08.1999
11,,,Jerome Davis,(45.2),22.08.77,USA
12,,,Antonio Pettigrew,(43.9),03.11.67,USA
13,,,Angelo Taylor,(43.92),29.12.78,USA
14,,,Michael Johnson,(43.49),13.09.67,USA
15,4.0,2:56.47,United States,,Athínai,10.08.1997
16,,,Jerome Young,(44.6),14.08.76,USA
17,,,Antonio Pettigrew,(43.1),03.11.67,USA
18,,,Chris Jones,(44.80),08.10.73,USA
19,,,Tyree Washington,(44.00),28.08.76,USA
20,5.0,2:56.60,United States - Red,,Philadelphia,29.04.2000
21,,,Angelo Taylor,(45.0),29.12.78,USA
22,,,Antonio Pettigrew,(44.2),03.11.67,USA
23,,,Tyree Washington,(43.7),28.08.76,USA
24,,,Michael Johnson,(43.7),13.09.67,USA
25,6.0,2:57.54,United States,,Edmonton,12.08.2001
26,,,Leonard Byrd,(45.9),17.03.75,USA
27,,,Antonio Pettigrew,(43.9),03.11.67,USA
28,,,Derrick Brew,(44.03),28.12.77,USA
29,,,Angelo Taylor,(43.71),29.12.78,USA
30,7.0,2:58.06,Russia,,Beijing,23.08.2008
31,,,Maksim Dyldin,(45.52e),15.05.87,RUS
32,,,Vladislav Frolov,(44.64e),24.07.80,RUS
33,,,Anton Kokorin,(44.34),05.04.87,RUS
34,,,Denis Alekseyev,(43.56),26.12.87,RUS
35,8.0,2:58.40,United States - Blue,,Philadelphia,26.04.2003
36,,,Derrick Brew,(45.4),28.12.77,USA
37,,,Jerome Young,(43.6),14.08.76,USA
38,,,Corey Nelson,(44.7),09.10.77,USA
39,,,James Davis,(44.7),19.03.76,USA
40,9.0,2:58.52,Adidas,,Philadelphia,24.04.1999
41,,,Michael McDonald,(45.5),17.03.75,JAM
42,,,Antonio Pettigrew,(44.4),03.11.67,USA
