,0,1,2,3,4,5,6,7
0,1,3:35:27.20,Yohann Diniz,FRA,01.01.78,1,Reims,12.03.2011
1,2,3:40:57.9,Thierry Toutain,FRA,14.02.62,1,Héricourt,29.09.1996
2,3,3:41:28.2,René Piller,FRA,23.04.65,1,Fana,07.05.1994
3,4,3:41:38.4,Raul González,MEX,29.11.52,1,Fana,25.05.1979
4,5,3:43:42.4,Raul González,MEX,29.11.52,1,Fana,02.05.1980
5,6,3:43:50.0,Simon Baker,AUS,06.02.58,1,Melbourne,09.09.1990
6,7,3:45:24.2,Thierry Toutain,FRA,14.02.62,1,Franconville,03.04.1994
7,8,3:45:38.0,Raul González,MEX,29.11.52,1,Fana,14.05.1982
8,9,3:46:11.0,Nikolay Udovenko,UKR,06.10.56,1,Uzhgorod,03.10.1980
9,10,3:48:05.9,Carlos Mercenário,MEX,03.05.67,1,Fana,15.05.1992
10,11,3:48:13.7,Zhao Yongsheng,CHN,16.04.70,2,Fana,07.05.1994
11,12,3:48:59.0,Vladimir Rezayev,RUS,04.01.50,2,Fana,02.05.1980
12,13,3:49:19.1,Sylvain Caudron,FRA,10.09.69,2,Héricourt,29.09.1996
13,14,3:49:23.4,Martial Fesselier,FRA,09.10.61,1,Héricourt,05.04.1992
14,15,3:49:29.7,Alain Lemercier,FRA,11.01.57,2,Franconville,03.04.1994
15,16,3:49:47.1,Denis Langlois,FRA,10.10.68,1,Villemomble,26.09.2004
