,0,1,2,3,4,5,6,7
0,1,3:33:22,Valeriy Spitsyn,RUS,05.12.65,1,Moskva,23.04.1992
1,2,3:36:12,Vitaliy Popovich,UKR,22.10.62,2,Moskva,23.04.1992
2,3,3:37:05,Andrey Plotnikov,RUS,12.08.67,3,Moskva,23.04.1992
3,4,3:37:36,Yevgeniy Ivchenko,BLR,27.06.38,1,Moskva,23.05.1980
4,4,3:37:36,Boris Yakovlyev,UKR,16.07.45,2,Moskva,23.05.1980
5,6,3:37:40,Vyachelsav Fursov,RUS,19.07.54,3,Moskva,23.05.1980
6,7,3:37:59,Valeriy Suntsov,RUS,10.07.55,4,Moskva,23.05.1980
7,8,3:40:10,Sergey Katurayev,RUS,29.09.67,4,Moskva,23.04.1992
8,9,3:40:43,Nikolay Udovenko,UKR,06.10.56,5,Moskva,23.05.1980
9,10,3:40:46,Viktor Ginko,BLR,07.12.65,5,Moskva,23.04.1992
10,11,3:41:02,Viktor Dorovskikh,RUS,19.10.50,6,Moskva,23.05.1980
11,12,3:42:53,Vladimir Nefyodov,BLR,03.11.55,7,Moskva,23.05.1980
12,13,3:43:24,Aleksey Volgin,RUS,21.01.68,6,Moskva,23.04.1992
13,14,3:43:56,Pyotr Melnik,UKR,13.12.51,8,Moskva,23.05.1980
14,15,3:44:14,Francois Lapointe,CAN,23.08.61,1,St. John's,16.06.1985
15,16,3:44:27,Raffaello Ducceschi,ITA,25.02.62,1,Barletta,17.04.1988
16,17,3:45:19,Aleksandr Tsymbalyuk,UKR,02.03.58,9,Moskva,23.05.1980
17,18,3:45:20,Algis Sakalis,LTU,01.11.42,10,Moskva,23.05.1980
18,19,3:45:21,Vladimir Khomenko,RUS,24.05.48,11,Moskva,23.05.1980
19,20,3:46:23,Vladimir Gerus,TJK,10.02.49,12,Moskva,23.05.1980
20,20,3:46:23,Pyotr Gaus,RUS,16.11.52,13,Moskva,23.05.1980
21,22,3:46:48,Sergey Jung,RUS,10.08.55,14,Moskva,23.05.1980
22,23,3:46:57,Valeriy Yarets,RUS,27.03.56,15,Moskva,23.05.1980
23,24,3:47:09.2,Christoph Höhne,GDR,12.02.41,1,Berlin,02.05.1971
24,25,3:47:27,Giovanni Perricelli,ITA,25.08.67,2,Barletta,17.04.1988
25,26,3:47:42,Sergey Tributen,RUS,25.08.52,16,Moskva,23.05.1980
26,27,3:48:08,Alessandro Bellucci,ITA,02.09.55,3,Barletta,17.04.1988
27,28,3:48:17,Viktor Grodovchuk,UKR,30.05.52,17,Moskva,23.05.1980
28,29,3:48:56,Leonid Turmanov,RUS,24.11.54,18,Moskva,23.05.1980
29,30,3:49:24,Bengt Bengtsson,SWE,04.09.61,1,Yverdon,06.08.2000
