,0,1,2,3,4,5,6,7
0,1,12:35.36,Joshua Cheptegei,UGA,12.09.96,1.0,Monaco,14.08.2020
1,2,12:37.35,Kenenisa Bekele,ETH,13.06.82,1.0,Hengelo,31.05.2004
2,3,12:39.36,Haile Gebrselassie,ETH,18.04.73,1.0,Helsinki,13.06.1998
3,4,12:39.74,Daniel Komen,KEN,17.05.76,1.0,Bruxelles,22.08.1997
4,5,12:40.18,Kenenisa Bekele,ETH,13.06.82,1.0,Saint-Denis,01.07.2005
5,6,12:41.86,Haile Gebrselassie,ETH,18.04.73,1.0,Zürich,13.08.1997
6,7,12:43.02,Selemon Barega,ETH,20.01.00,1.0,Bruxelles,31.08.2018
7,8,12:44.39,Haile Gebrselassie,ETH,18.04.73,1.0,Zürich,16.08.1995
8,9,12:44.90,Daniel Komen,KEN,17.05.76,2.0,Zürich,13.08.1997
9,10,12:45.09,Daniel Komen,KEN,17.05.76,1.0,Zürich,14.08.1996
10,11,12:45.71,Jacob Krop,KEN,04.06.01,1.0,Bruxelles,02.09.2022
11,12,12:45.82,Hagos Gebrhiwet,ETH,11.05.94,2.0,Bruxelles,31.08.2018
12,13,12:46.33,Nicholas Kimeli,KEN,29.09.98,1.0,Roma,09.06.2022
13,14,12:46.53,Eliud Kipchoge,KEN,05.11.84,1.0,Roma,02.07.2004
14,15,12:46.79,Yomif Kejelcha,ETH,01.08.97,3.0,Bruxelles,31.08.2018
15,15,12:46.79,Jacob Krop,KEN,04.06.01,2.0,Roma,09.06.2022
16,17,12:46.81,Dejen Gebremeskel,ETH,24.11.89,1.0,Saint-Denis,06.07.2012
17,18,12:46.96,Grant Fisher,USA,22.04.97,2.0,Bruxelles,02.09.2022
18,19,12:47.04,Sileshi Sihine,ETH,29.01.83,2.0,Roma,02.07.2004
19,20,12:47.20,Mohammed Ahmed,CAN,05.01.91,1.0,Portland,10.07.2020
20,21,12:47.53,Hagos Gebrhiwet,ETH,11.05.94,2.0,Saint-Denis,06.07.2012
21,22,12:48.09,Kenenisa Bekele,ETH,13.06.82,1.0,Bruxelles,25.08.2006
22,23,12:48.25,Kenenisa Bekele,ETH,13.06.82,1.0,Zürich,18.08.2006
23,24,12:48.45,Jakob Ingebrigtsen,NOR,19.09.00,1.0,Firenze,10.06.2021
24,25,12:48.63,Jacob Kiplimo,UGA,14.11.00,1.0,Ostrava,08.09.2020
25,26,12:48.64,Isiah Koech,KEN,19.12.93,3.0,Saint-Denis,06.07.2012
26,27,12:48.66,Issac Songok,KEN,25.04.84,2.0,Zürich,18.08.2006
27,28,12:48.77,Yenew Alamirew,ETH,27.05.90,4.0,Saint-Denis,06.07.2012
28,29,12:48.81,Stephen Cherono,KEN,15.10.82,1.0,Ostrava,12.06.2003
29,30,12:48.98,Daniel Komen,KEN,17.05.76,1.0,Roma,05.06.1997
30,31,12:49.02,Hagos Gebrhiwet,ETH,11.05.94,2.0,Firenze,10.06.2021
31,32,12:49.04,Thomas Longosiwa,KEN,14.01.82,5.0,Saint-Denis,06.07.2012
32,33,12:49.08,Selemon Barega,ETH,20.01.00,2.0,Ostrava,08.09.2020
33,34,12:49.28,Brahim Lahlafi,MAR,15.04.68,1.0,Bruxelles,25.08.2000
34,35,12:49.50,John Kipkoech,KEN,29.12.91,6.0,Saint-Denis,06.07.2012
35,36,12:49.53,Kenenisa Bekele,ETH,13.06.82,1.0,Zaragoza,28.07.2007
36,37,12:49.64,Haile Gebrselassie,ETH,18.04.73,1.0,Zürich,11.08.1999
37,38,12:49.71,Mohammed Mourhit,BEL,10.10.70,2.0,Bruxelles,25.08.2000
38,39,12:49.87,Paul Tergat,KEN,17.06.69,3.0,Zürich,13.08.1997
39,40,12:50.05,Berihu Aregawi,ETH,28.02.01,1.0,Eugene,28.05.2022
40,41,12:50.12,Mohammed Ahmed,CAN,05.01.91,3.0,Firenze,10.06.2021
41,42,12:50.16,Sileshi Sihine,ETH,29.01.83,1.0,Bruxelles,14.09.2007
42,43,12:50.18,Kenenisa Bekele,ETH,13.06.82,1.0,Zürich,29.08.2008
43,44,12:50.22,Eliud Kipchoge,KEN,05.11.84,1.0,Bruxelles,26.08.2005
44,45,12:50.24,Hicham El Guerrouj,MAR,14.09.74,2.0,Ostrava,12.06.2003
45,46,12:50.25,Abderrahim Goumri,MAR,21.05.76,2.0,Bruxelles,26.08.2005
46,47,12:50.38,Eliud Kipchoge,KEN,05.11.84,2.0,Bruxelles,14.09.2007
47,48,12:50.55,Moses Masai,KEN,01.06.86,1.0,Berlin,01.06.2008
48,49,12:50.72,Moses Kipsiro,UGA,02.09.86,3.0,Bruxelles,14.09.2007
49,50,12:50.79,Mohamed Katir,ESP,17.02.98,4.0,Firenze,10.06.2021
50,51,12:50.80,Salah Hissou,MAR,16.01.72,1.0,Roma,05.06.1996
51,52,12:50.86,Ali Saïdi-Sief,ALG,15.03.78,1.0,Roma,30.06.2000
52,53,12:50.97,Nicholas Kimeli,KEN,29.09.98,3.0,Bruxelles,02.09.2022
53,54,12:51.00,Joseph Ebuya,KEN,20.06.87,4.0,Bruxelles,14.09.2007
54,55,12:51.21,Eliud Kipchoge,KEN,05.11.84,1.0,Ad-Dawhah,14.05.2010
55,56,12:51.32,Kenenisa Bekele,ETH,13.06.82,1.0,Saint-Denis,08.07.2006
56,57,12:51.34,Edwin Cheruiyot Soi,KEN,03.03.86,1.0,Monaco,19.07.2013
57,58,12:51.44,Kenenisa Bekele,ETH,13.06.82,1.0,Roma,14.07.2006
58,59,12:51.45,Vincent Chepkok,KEN,05.07.88,2.0,Ad-Dawhah,14.05.2010
59,60,12:51.60,Daniel Komen,KEN,17.05.76,1.0,Stockholm,08.07.1996
60,61,12:51.78,Nicholas Kimeli,KEN,29.09.98,2.0,Monaco,14.08.2020
61,62,12:51.93,Justyn Knight,CAN,19.07.96,5.0,Firenze,10.06.2021
62,63,12:51.95,Thomas Longosiwa,KEN,14.01.82,5.0,Bruxelles,14.09.2007
63,64,12:51.96,Albert Rop,BRN,17.07.92,2.0,Monaco,19.07.2013
64,65,12:51.98,Saif Saeed Shaheen,QAT,15.10.82,2.0,Roma,14.07.2006
65,66,12:52.09,Mohamed Katir,ESP,17.02.98,1.0,Firenze,02.06.2023
66,67,12:52.10,Yomif Kejelcha,ETH,01.08.97,3.0,Roma,09.06.2022
67,68,12:52.12,Yomif Kejelcha,ETH,01.08.97,2.0,Firenze,02.06.2023
68,69,12:52.15,Dominic Lokinyomo Lobalu,SSD,16.08.98,4.0,Bruxelles,02.09.2022
69,70,12:52.26,Kenenisa Bekele,ETH,13.06.82,1.0,Oslo,27.06.2003
70,71,12:52.29,Issac Songok,KEN,25.04.84,1.0,Roma,08.07.2005
71,72,12:52.32,Kenenisa Bekele,ETH,13.06.82,1.0,Zürich,28.08.2009
72,73,12:52.33,Sammy Kipketer,KEN,29.09.81,2.0,Oslo,27.06.2003
73,74,12:52.38,Daniel Komen,KEN,17.05.76,1.0,Milano,07.09.1996
74,75,12:52.39,Salah Hissou,MAR,16.01.72,2.0,Roma,05.06.1997
75,75,12:52.39,Issac Songok,KEN,25.04.84,3.0,Roma,14.07.2006
76,77,12:52.40,Edwin Cheruiyot Soi,KEN,03.03.86,2.0,Saint-Denis,08.07.2006
77,78,12:52.45,Tariku Bekele,ETH,21.01.87,2.0,Berlin,01.06.2008
78,79,12:52.53,Salah Hissou,MAR,16.01.72,1.0,Milano,09.06.1999
