,0,1,2,3,4,5,6,7
0,1,74.08,Jürgen Schult,GER,11.05.60,1,Neubrandenburg,06.06.1986
1,2,73.88,Virgilijus Alekna,LTU,13.02.72,1,Kaunas,03.08.2000
2,3,73.38,Gerd Kanter,EST,06.05.79,1,Helsingborg,04.09.2006
3,4,72.02,Gerd Kanter,EST,06.05.79,1cA,Salinas,03.05.2007
4,5,71.88,Gerd Kanter,EST,06.05.79,1c1,Salinas,08.05.2008
5,6,71.86,Yuriy Dumchev,RUS,05.08.58,1,Moskva,29.05.1983
6,6,71.86,Daniel Ståhl,SWE,27.08.92,1cA,Bottnaryd,29.06.2019
7,8,71.84,Piotr Malachowski,POL,07.06.83,1,Hengelo,08.06.2013
8,9,71.7,Róbert Fazekas,HUN,18.08.75,1,Szombathely,14.07.2002
9,10,71.64,Gerd Kanter,EST,06.05.79,1,Kohila,25.06.2009
10,11,71.56,Virgilijus Alekna,LTU,13.02.72,1,Kaunas,25.07.2007
11,12,71.5,Lars Riedel,GER,28.06.67,1,Wiesbaden,03.05.1997
12,13,71.47,Daniel Ståhl,SWE,27.08.92,1,Uppsala,21.06.2022
13,14,71.45,Gerd Kanter,EST,06.05.79,1cA,Chula Vista,29.04.2010
14,15,71.4,Daniel Ståhl,SWE,27.08.92,1,Bottnaryd,10.07.2021
15,16,71.37,Daniel Ståhl,SWE,27.08.92,1,Sollentuna,10.08.2020
16,17,71.32,Ben Plucknett,USA,13.04.54,1,Eugene,04.06.1983
17,18,71.29,Daniel Ståhl,SWE,27.08.92,1,Sollentuna,29.06.2017
18,19,71.27,Kristjan Ceh,SLO,17.02.99,1,Birmingham,21.05.2022
19,20,71.26,John Powell,USA,25.06.47,1,San José,09.06.1984
20,20,71.26,Richard Bruch,SWE,02.07.46,1,Malmö,15.11.1984
21,20,71.26,Imrich Bugár,CZE,14.04.55,1,San José,25.05.1985
22,23,71.25,Róbert Fazekas,HUN,18.08.75,1,Madrid,21.09.2002
23,23,71.25,Virgilijus Alekna,LTU,13.02.72,1,Turnov,20.05.2008
24,25,71.18,Arthur Burns,USA,19.07.54,1,San José,19.07.1983
25,26,71.16,Wolfgang Schmidt,GER,16.01.54,1,Berlin,09.08.1978
26,27,71.14,Ben Plucknett,USA,13.04.54,1,Berkeley,12.06.1983
27,27,71.14,Anthony Washington,USA,16.01.66,1,Salinas,22.05.1996
28,29,71.13,Kristjan Ceh,SLO,17.02.99,1,Eugene,19.07.2022
29,30,71.12,Virgilijus Alekna,LTU,13.02.72,1,Zürich,11.08.2000
30,31,71.08,Virgilijus Alekna,LTU,13.02.72,1,Réthymno,21.07.2006
31,32,71.06,Luis Mariano Delís,CUB,06.12.57,1,La Habana,21.05.1983
32,32,71.06,Lars Riedel,GER,28.06.67,1,Zürich,14.08.1996
33,34,71.0,Richard Bruch,SWE,02.07.46,1,Malmö,14.10.1984
34,34,71.0,Mykolas Alekna,LTU,18.09.02,1,Berkeley,29.04.2023
35,36,70.99,Virgilijus Alekna,LTU,13.02.72,1,Stellenbosch,30.03.2001
36,37,70.98,Mac Wilkins,USA,15.11.50,1,Helsinki,09.07.1980
37,37,70.98,Arthur Burns,USA,19.07.54,1,Eugene,21.07.1984
38,39,70.97,Virgilijus Alekna,LTU,13.02.72,1,Réthymno,23.06.2004
39,40,70.93,Gerd Kanter,EST,06.05.79,1,Helsingborg,28.06.2007
40,41,70.92,Wolfgang Schmidt,GER,16.01.54,1,Norden,09.09.1989
41,41,70.92,Gerd Kanter,EST,06.05.79,2,Kaunas,25.07.2007
42,43,70.89,Daniel Ståhl,SWE,27.08.92,1,Varberg,15.07.2019
43,43,70.89,Kristjan Ceh,SLO,17.02.99,1,Ad-Dawhah,05.05.2023
44,45,70.86,Mac Wilkins,USA,15.11.50,1,San José,01.05.1976
45,45,70.86,Virgilijus Alekna,LTU,13.02.72,1,Réthymno,14.07.2008
46,47,70.84,Gerd Kanter,EST,06.05.79,1,Chula Vista,28.04.2009
47,48,70.83,Róbert Fazekas,HUN,18.08.75,2,Réthymno,23.06.2004
48,49,70.82,Ben Plucknett,USA,13.04.54,1,Salinas,01.06.1983
49,49,70.82,Aleksander Tammert,EST,02.02.73,1,Denton,15.04.2006
50,51,70.78,Róbert Fazekas,HUN,18.08.75,1,Budapest,10.05.2003
51,51,70.78,Fedrick Dacres,JAM,28.02.94,1,Rabat,16.06.2019
52,53,70.72,Imrich Bugár,CZE,14.04.55,1,Schwechat,18.06.1983
53,53,70.72,Kristjan Ceh,SLO,17.02.99,1,Roma,09.06.2022
54,55,70.68,Lukas Weißhaidinger,AUT,20.02.92,1,Schwechat,19.05.2023
55,56,70.67,Virgilijus Alekna,LTU,13.02.72,1,Madrid,16.07.2005
56,57,70.66,Mac Wilkins,USA,15.11.50,1,Walnut,16.06.1979
57,57,70.66,Robert Harting,GER,18.10.84,1,Turnov,22.05.2012
58,59,70.62,Daniel Ståhl,SWE,27.08.92,1,Turku,14.06.2022
59,60,70.61,Virgilijus Alekna,LTU,13.02.72,1,Tallinn,16.09.2005
60,61,70.6,Lars Riedel,GER,28.06.67,1,Berlin,30.08.1996
61,62,70.58,Luis Mariano Delís,CUB,06.12.57,1,Salinas,19.05.1982
62,62,70.58,Virgilijus Alekna,LTU,13.02.72,1,Réthymno,10.07.2005
63,64,70.56,Daniel Ståhl,SWE,27.08.92,1,Ad-Dawhah,03.05.2019
64,65,70.55,Daniel Ståhl,SWE,27.08.92,1,Kuortane,26.06.2021
65,66,70.54,Dmitriy Shevchenko,RUS,13.05.68,1,Krasnodar,07.05.2002
66,67,70.53,Virgilijus Alekna,LTU,13.02.72,1,Lausanne,05.07.2005
67,68,70.51,Virgilijus Alekna,LTU,13.02.72,1,Oslo,15.06.2007
68,69,70.48,Mac Wilkins,USA,15.11.50,1,San José,29.04.1978
69,69,70.48,Mac Wilkins,USA,15.11.50,1,Eugene,31.05.1978
70,69,70.48,Richard Bruch,SWE,02.07.46,1,Malmö,12.09.1984
71,72,70.46,Jürgen Schult,GER,11.05.60,1,Berlin,13.09.1988
72,73,70.44,Mac Wilkins,USA,15.11.50,2,San José,09.06.1984
73,74,70.43,Virgilijus Alekna,LTU,13.02.72,1,Athínai,02.07.2007
74,75,70.42,Simon Pettersson,SWE,03.01.94,1,Norrköping,06.08.2022
75,75,70.42,Alex Rose,SAM,17.11.91,1,Ramona,16.04.2023
76,77,70.4,Mykolas Alekna,LTU,18.09.02,1,Walnut,14.05.2023
77,78,70.39,Virgilijus Alekna,LTU,13.02.72,1,Tartu,11.06.2000
78,79,70.38,Jay Silvester,USA,27.08.37,1,Lancester,16.05.1971
79,79,70.38,Gerd Kanter,EST,06.05.79,1,Chula Vista,02.05.2008
80,81,70.36,Mac Wilkins,USA,15.11.50,1,Modesto,14.05.1983
81,81,70.36,Gerd Kanter,EST,06.05.79,1,Kópavogur,08.07.2007
82,83,70.35,Kristjan Ceh,SLO,17.02.99,2,Kuortane,26.06.2021
83,84,70.32,Frantz Kruger,RSA,22.05.75,1,Salôn-de-Provence,26.05.2002
84,84,70.32,Gerd Kanter,EST,06.05.79,1,Helsingborg,06.09.2008
85,84,70.32,Kristjan Ceh,SLO,17.02.99,1,Rabat,28.05.2023
86,87,70.31,Robert Harting,GER,18.10.84,1cA,Halle,19.05.2012
87,88,70.3,Yuriy Dumchev,RUS,05.08.58,1,Bryansk,31.07.1988
88,89,70.29,Mauricio Ortega,COL,04.08.94,1,Lovelhe,22.07.2020
89,89,70.29,Daniel Ståhl,SWE,27.08.92,2,Norrköping,06.08.2022
90,91,70.28,Virgilijus Alekna,LTU,13.02.72,1,Klaipeda,23.06.2012
91,92,70.26,Imrich Bugár,CZE,14.04.55,1,Cagliari,08.09.1984
92,93,70.25,Daniel Ståhl,SWE,27.08.92,1,Helsingborg,21.06.2020
93,94,70.24,Wolfgang Schmidt,GER,16.01.54,1,Potsdam,18.08.1978
94,94,70.24,Imrich Bugár,CZE,14.04.55,1,Nitra,26.08.1984
95,96,70.21,Virgilijus Alekna,LTU,13.02.72,1,Saint-Denis,23.07.2004
96,97,70.2,Luis Mariano Delís,CUB,06.12.57,1,La Habana,08.08.1982
97,98,70.17,Virgilijus Alekna,LTU,13.02.72,1,Helsinki,07.08.2005
98,99,70.16,Gerd Kanter,EST,06.05.79,1,Helsingborg,11.08.2007
99,10,70.12,Gerd Kanter,EST,06.05.79,1,Valga,05.06.2007
100,10,70.1,Mac Wilkins,USA,15.11.50,1,Westwood,11.06.1976
101,10,70.1,Gerd Kanter,EST,06.05.79,1c2,Chula Vista,28.04.2005
102,10,70.1,Virgilijus Alekna,LTU,13.02.72,1,Tallinn,22.09.2006
103,10,70.06,Imrich Bugár,CZE,14.04.55,1,Zaragoza,22.05.1983
104,10,70.06,Romas Ubartas,LTU,26.05.60,1,Smalininkai,08.05.1988
105,10,70.04,Jay Silvester,USA,27.08.37,1,Ystad,10.06.1971
106,10,70.02,Mac Wilkins,USA,15.11.50,1,Reykjavík,17.08.1978
107,10,70.02,Kristjan Ceh,SLO,17.02.99,1,Stockholm,30.06.2022
108,10,70.01,Virgilijus Alekna,LTU,13.02.72,1,Vilnius,18.04.2007
109,11,70.0,Mac Wilkins,USA,15.11.50,1,Nice,16.08.1976
110,11,70.0,Juan Martinez Brito,CUB,17.05.58,2,La Habana,21.05.1983
111,11,70.0,Luis Mariano Delís,CUB,06.12.57,1,La Habana,31.03.1985
