,0,1,2,3,4,5,6
0,1,72.35,Virgilijus Alekna,LTU,13.02.72,Kaunas,03.08.2000
1,2,72.3,Gerd Kanter,EST,06.05.79,Helsingborg,04.09.2006
2,3,71.08,Ben Plucknett,USA,13.04.54,Eugene,04.06.1983
3,4,70.92,Gerd Kanter,EST,06.05.79,Kohila,25.06.2009
4,5,70.84,Lars Riedel,GER,28.06.67,Wiesbaden,03.05.1997
5,6,70.78,Daniel Ståhl,SWE,27.08.92,Varberg,15.07.2019
6,7,70.76,Virgilijus Alekna,LTU,13.02.72,Réthymno,14.07.2008
7,8,70.73,Gerd Kanter,EST,06.05.79,Helsingborg,28.06.2007
8,9,70.7,Kristjan Ceh,SLO,17.02.99,Ad-Dawhah,05.05.2023
9,10,70.6,Virgilijus Alekna,LTU,13.02.72,Zürich,11.08.2000
10,11,70.59,Virgilijus Alekna,LTU,13.02.72,Stellenbosch,30.03.2001
11,12,70.55,Virgilijus Alekna,LTU,13.02.72,Réthymno,14.07.2008
12,13,70.52,Gerd Kanter,EST,06.05.79,Salinas,03.05.2007
13,14,70.51,Gerd Kanter,EST,06.05.79,Helsingborg,04.09.2006
14,14,70.51,Kristjan Ceh,SLO,17.02.99,Eugene,19.07.2022
15,16,70.49,Daniel Ståhl,SWE,27.08.92,Ad-Dawhah,03.05.2019
16,17,70.43,Gerd Kanter,EST,06.05.79,Helsingborg,04.09.2006
17,18,70.42,Mac Wilkins,USA,15.11.50,Eugene,31.05.1978
18,18,70.42,Virgilijus Alekna,LTU,13.02.72,Zürich,11.08.2000
19,20,70.38,Lars Riedel,GER,28.06.67,Zürich,14.08.1996
20,20,70.38,Lars Riedel,GER,28.06.67,Berlin,30.08.1996
21,22,70.37,Daniel Ståhl,SWE,27.08.92,Varberg,15.07.2019
22,23,70.36,Daniel Ståhl,SWE,27.08.92,Varberg,15.07.2019
23,24,70.32,Daniel Ståhl,SWE,27.08.92,Ad-Dawhah,03.05.2019
24,25,70.27,Daniel Ståhl,SWE,27.08.92,Bottnaryd,10.07.2021
25,26,70.26,Virgilijus Alekna,LTU,13.02.72,Zürich,11.08.2000
26,27,70.24,Mac Wilkins,USA,15.11.50,San José,01.05.1976
27,28,70.23,Gerd Kanter,EST,06.05.79,Helsingborg,06.09.2008
28,29,70.22,Virgilijus Alekna,LTU,13.02.72,Kaunas,03.08.2000
29,29,70.22,Kristjan Ceh,SLO,17.02.99,Kuortane,26.06.2021
30,31,70.21,Daniel Ståhl,SWE,27.08.92,Kuortane,26.06.2021
31,32,70.2,Mac Wilkins,USA,15.11.50,Helsinki,09.07.1980
32,33,70.18,Richard Bruch,SWE,02.07.46,Malmö,14.10.1984
33,34,70.14,Gerd Kanter,EST,06.05.79,Helsingborg,28.06.2007
34,35,70.12,Virgilijus Alekna,LTU,13.02.72,Réthymno,21.07.2006
35,36,70.1,Mac Wilkins,USA,15.11.50,San José,29.04.1978
36,37,70.07,Kristjan Ceh,SLO,17.02.99,Rabat,28.05.2023
37,38,70.06,Virgilijus Alekna,LTU,13.02.72,Tartu,11.06.2000
38,39,70.02,Virgilijus Alekna,LTU,13.02.72,Réthymno,23.06.2004
39,40,70.0,Luis Mariano Delís,CUB,06.12.57,Salinas,19.05.1982
40,41,69.99,Daniel Ståhl,SWE,27.08.92,Kuortane,26.06.2021
41,42,69.97,Virgilijus Alekna,LTU,13.02.72,Madrid,16.07.2005
42,43,69.96,Róbert Fazekas,HUN,18.08.75,Szombathely,14.07.2002
43,43,69.96,Gerd Kanter,EST,06.05.79,Kópavogur,08.07.2007
44,45,69.93,Gerd Kanter,EST,06.05.79,Kohila,25.06.2009
45,46,69.92,Gerd Kanter,EST,06.05.79,Kaunas,25.07.2007
46,47,69.9,Imrich Bugár,CZE,14.04.55,Brno,22.08.1983
47,48,69.87,Róbert Fazekas,HUN,18.08.75,Réthymno,23.06.2004
48,49,69.86,Jürgen Schult,GER,11.05.60,Berlin,13.09.1988
49,49,69.86,Virgilijus Alekna,LTU,13.02.72,Réthymno,10.07.2005
50,51,69.84,Simon Pettersson,SWE,03.01.94,Norrköping,06.08.2022
51,52,69.82,John Powell,USA,25.06.47,San José,09.06.1984
52,52,69.82,Richard Bruch,SWE,02.07.46,Malmö,14.10.1984
53,52,69.82,Lars Riedel,GER,28.06.67,Bellinzona,12.07.1996
54,55,69.8,Mac Wilkins,USA,15.11.50,San José,01.05.1976
55,56,69.78,Richard Bruch,SWE,02.07.46,Ystad,27.10.1984
56,57,69.77,Róbert Fazekas,HUN,18.08.75,Madrid,21.09.2002
57,58,69.76,Jürgen Schult,GER,11.05.60,Berlin,13.09.1988
58,59,69.73,Gerd Kanter,EST,06.05.79,Chula Vista,06.05.2010
59,60,69.71,Daniel Ståhl,SWE,27.08.92,Bottnaryd,29.06.2019
60,61,69.7,Mac Wilkins,USA,15.11.50,Westwood,11.06.1976
61,61,69.7,Virgilijus Alekna,LTU,13.02.72,Tallinn,22.09.2006
62,63,69.68,Richard Bruch,SWE,02.07.46,Malmö,14.10.1984
63,64,69.67,Frantz Kruger,RSA,22.05.75,Stellenbosch,30.03.2001
64,65,69.66,Imrich Bugár,CZE,14.04.55,Nitra,26.08.1984
65,66,69.63,Daniel Ståhl,SWE,27.08.92,Ad-Dawhah,03.05.2019
66,67,69.6,Virgilijus Alekna,LTU,13.02.72,Vilnius,18.04.2007
67,68,69.57,Virgilijus Alekna,LTU,13.02.72,Tallinn,22.09.2006
68,69,69.56,Luis Mariano Delís,CUB,06.12.57,La Habana,19.05.1984
69,70,69.55,Virgilijus Alekna,LTU,13.02.72,Tallinn,22.09.2006
70,70,69.55,Gerd Kanter,EST,06.05.79,Chula Vista,06.05.2010
71,72,69.54,Juan Martinez Brito,CUB,17.05.58,La Habana,21.05.1983
72,72,69.54,Virgilijus Alekna,LTU,13.02.72,Hengelo,29.05.2005
73,72,69.54,Gerd Kanter,EST,06.05.79,Chula Vista,02.05.2008
74,72,69.54,Daniel Ståhl,SWE,27.08.92,Ad-Dawhah,03.05.2019
75,76,69.52,Luis Mariano Delís,CUB,06.12.57,La Habana,21.05.1983
76,77,69.51,Daniel Ståhl,SWE,27.08.92,Uppsala,21.06.2022
77,78,69.5,Mac Wilkins,USA,15.11.50,Westwood,11.06.1976
78,78,69.5,Ben Plucknett,USA,13.04.54,Eugene,04.06.1983
79,78,69.5,Lars Riedel,GER,28.06.67,Edmonton,08.08.2001
80,78,69.5,Daniel Ståhl,SWE,27.08.92,Ad-Dawhah,03.05.2019
81,78,69.5,Fedrick Dacres,JAM,28.02.94,Rabat,16.06.2019
82,83,69.49,Virgilijus Alekna,LTU,13.02.72,Athínai,23.08.2004
83,83,69.49,Virgilijus Alekna,LTU,13.02.72,Vilnius,18.04.2007
84,85,69.48,Imrich Bugár,CZE,14.04.55,Bruxelles,24.08.1984
85,85,69.48,Knut Hjeltnes,NOR,08.12.51,San José,25.05.1985
86,87,69.46,Ben Plucknett,USA,13.04.54,Salinas,01.06.1983
87,87,69.46,Gerd Kanter,EST,06.05.79,Helsingborg,04.09.2006
88,89,69.44,Yuriy Dumchev,RUS,05.08.58,Moskva,29.05.1983
89,89,69.44,Ben Plucknett,USA,13.04.54,Salinas,01.06.1983
90,91,69.42,Virgilijus Alekna,LTU,13.02.72,Berlin,01.09.2000
91,91,69.42,Kristjan Ceh,SLO,17.02.99,Rabat,05.06.2022
92,93,69.4,Mac Wilkins,USA,15.11.50,Eugene,31.05.1978
93,93,69.4,Kristjan Ceh,SLO,17.02.99,Stockholm,30.06.2022
94,95,69.39,Daniel Ståhl,SWE,27.08.92,Stockholm,25.08.2019
95,96,69.38,Mac Wilkins,USA,15.11.50,Modesto,14.05.1983
96,96,69.38,Kristjan Ceh,SLO,17.02.99,Rabat,28.05.2023
97,98,69.36,Robert Harting,GER,18.10.84,Hengelo,08.06.2013
98,99,69.35,Gerd Kanter,EST,06.05.79,La Jolla,12.05.2009
99,10,69.34,Róbert Fazekas,HUN,18.08.75,Budapest,10.05.2003
100,10,69.33,Daniel Ståhl,SWE,27.08.92,Stockholm,30.05.2019
101,10,69.33,Kristjan Ceh,SLO,17.02.99,Birmingham,21.05.2022
102,10,69.32,Ben Plucknett,USA,13.04.54,Berkeley,12.06.1983
103,10,69.32,Lars Riedel,GER,28.06.67,Zürich,14.08.1996
104,10,69.32,Virgilijus Alekna,LTU,13.02.72,Turnov,20.05.2008
105,10,69.31,Róbert Fazekas,HUN,18.08.75,Sevilla,07.06.2003
106,10,69.3,Imrich Bugár,CZE,14.04.55,Schwechat,18.06.1983
107,10,69.3,Jürgen Schult,GER,11.05.60,Berlin,25.08.1987
108,10,69.28,Lars Riedel,GER,28.06.67,Bellinzona,12.07.1996
109,10,69.28,Gerd Kanter,EST,06.05.79,Valga,15.06.2008
110,10,69.28,Gerd Kanter,EST,06.05.79,Chula Vista,06.05.2010
111,11,69.26,Lars Riedel,GER,28.06.67,Zürich,14.08.1996
112,11,69.26,Virgilijus Alekna,LTU,13.02.72,Kaunas,03.08.2000
113,11,69.24,Lars Riedel,GER,28.06.67,Atlanta,31.07.1996
