,0,1,2,3,4,5,6
0,1,72.34,Ben Plucknett,USA,13.04.54,Stockholm,07.07.1981
1,2,71.2,Ben Plucknett,USA,13.04.54,Modesto,16.05.1981
2,3,70.93,Róbert Fazekas,HUN,18.08.75,Athínai,23.08.2004
3,4,70.84,Kamy Keshmiri,USA,23.01.69,Salinas,27.05.1992
4,5,69.06,Ben Plucknett,USA,13.04.54,Nyköping,29.06.1981
5,6,69.02,Ben Plucknett,USA,13.04.54,Sacramento,20.06.1981
6,7,68.94,Ben Plucknett,USA,13.04.54,Oslo,11.07.1981
7,8,68.86,Ben Plucknett,USA,13.04.54,Oslo,26.06.1981
8,9,68.04,Dmitriy Shevchenko,RUS,13.05.68,Köln,18.08.1995
9,10,67.94,Dmitriy Shevchenko,RUS,13.05.68,Monaco,09.09.1995
10,11,67.62,Victor Hogan,RSA,25.07.89,Stellenbosch,15.04.2016
11,12,67.06,Dmitriy Kovtsun,UKR,29.09.55,Kyiv,03.05.1988
12,12,67.06,Kamy Keshmiri,USA,23.01.69,Austin,05.06.1992
