,0,1,2,3,4,5,6
0,1,69.35,Róbert Fazekas,HUN,18.08.75,Athínai,23.08.2004
1,2,68.92,Róbert Fazekas,HUN,18.08.75,Athínai,23.08.2004
2,3,68.74,Ben Plucknett,USA,13.04.54,Stockholm,07.07.1981
3,4,68.48,Kamy Keshmiri,USA,23.01.69,Salinas,27.05.1992
4,5,68.2,Ben Plucknett,USA,13.04.54,Sacramento,20.06.1981
5,6,67.94,Kamy Keshmiri,USA,23.01.69,Salinas,27.05.1992
6,7,67.86,Ben Plucknett,USA,13.04.54,Oslo,11.07.1981
7,8,67.82,Ben Plucknett,USA,13.04.54,Modesto,16.05.1981
8,9,67.76,Ben Plucknett,USA,13.04.54,Oslo,11.07.1981
9,10,67.64,Róbert Fazekas,HUN,18.08.75,Athínai,23.08.2004
10,11,67.54,Kamy Keshmiri,USA,23.01.69,Salinas,27.05.1992
11,12,67.3,Ben Plucknett,USA,13.04.54,Oslo,26.06.1981
12,13,67.2,Ben Plucknett,USA,13.04.54,Sacramento,20.06.1981
13,14,67.16,Dmitriy Shevchenko,RUS,13.05.68,Köln,18.08.1995
