,0,1,2,3,4,5,6,7
0,1,2.45,Javier Sotomayor,CUB,13.10.67,1,Salamanca,27.07.1993
1,2,2.44,Javier Sotomayor,CUB,13.10.67,1,San Juan,29.07.1989
2,3,2.43,Javier Sotomayor,CUB,13.10.67,1,Salamanca,08.09.1988
3,3,2.43,Mutaz Essa Barshim,QAT,24.06.91,1,Bruxelles,05.09.2014
4,5,2.42,Patrik Sjöberg,SWE,05.01.65,1,Stockholm,30.06.1987
5,5,2.42,Javier Sotomayor,CUB,13.10.67,1,Sevilla,05.06.1994
6,5,2.42,Bogdan Bondarenko,UKR,30.08.89,1,New York City,14.06.2014
7,5,2.42,Mutaz Essa Barshim,QAT,24.06.91,2,New York City,14.06.2014
8,9,2.41,Igor Paklin,KGZ,15.06.63,1,Kobe,04.09.1985
9,9,2.41,Javier Sotomayor,CUB,13.10.67,1,La Habana,25.06.1994
10,9,2.41,Javier Sotomayor,CUB,13.10.67,1,London,15.07.1994
11,9,2.41,Bogdan Bondarenko,UKR,30.08.89,1,Lausanne,04.07.2013
12,9,2.41,Bogdan Bondarenko,UKR,30.08.89,1,Moskva,15.08.2013
13,9,2.41,Mutaz Essa Barshim,QAT,24.06.91,1,Roma,05.06.2014
14,9,2.41,Mutaz Essa Barshim,QAT,24.06.91,1,Eberstadt,22.08.2014
15,9,2.41,Mutaz Essa Barshim,QAT,24.06.91,1,Eugene,30.05.2015
16,17,2.40,Rudolf Povarnitsyn,UKR,13.06.62,1,Donetsk,11.08.1985
17,17,2.40,Javier Sotomayor,CUB,13.10.67,1,La Habana,12.03.1989
18,17,2.40,Patrik Sjöberg,SWE,05.01.65,1,Bruxelles,05.08.1989
19,17,2.40A,Javier Sotomayor,CUB,13.10.67,1,Bogotá,13.08.1989
20,17,2.40,Sorin Matei,ROU,06.07.63,1,Bratislava,20.06.1990
21,17,2.40,Javier Sotomayor,CUB,13.10.67,1,Saint-Denis,19.07.1991
22,17,2.40,Charles Austin,USA,19.12.67,1,Zürich,07.08.1991
23,17,2.40,Javier Sotomayor,CUB,13.10.67,1,La Habana,22.05.1993
24,17,2.40,Javier Sotomayor,CUB,13.10.67,1,London,23.07.1993
25,17,2.40,Javier Sotomayor,CUB,13.10.67,1,Stuttgart,22.08.1993
26,17,2.40,Javier Sotomayor,CUB,13.10.67,1,Eberstadt,10.07.1994
27,17,2.40,Javier Sotomayor,CUB,13.10.67,1,Nice,18.07.1994
28,17,2.40,Javier Sotomayor,CUB,13.10.67,1,Sankt Peterburg,29.07.1994
29,17,2.40,Javier Sotomayor,CUB,13.10.67,1,London,11.09.1994
