,0,1,2,3,4,5,6,7
0,1,8.84,+1.7,Carl Lewis,USA,01.07.61,Tokyo,30.08.1991
1,2,8.71,+0.6,Carl Lewis,USA,01.07.61,Indianapolis,19.06.1983
2,3,8.68,+0.3,Carl Lewis,USA,01.07.61,Indianapolis,18.07.1988
3,3,8.68,±0.0,Carl Lewis,USA,01.07.61,Tokyo,30.08.1991
4,5,8.67,-0.2,Carl Lewis,USA,01.07.61,Roma,05.09.1987
5,6,8.66,,Carl Lewis,USA,01.07.61,Walnut,26.04.1987
6,7,8.65A,,Robert Emmiyan,ARM,16.02.65,Tsakhkadzor,22.05.1987
7,7,8.65,+0.6,Carl Lewis,USA,01.07.61,Roma,05.09.1987
8,9,8.64,-0.1,Dwight Phillips,USA,01.10.77,Eugene,07.06.2009
9,10,8.63,-0.5,Carl Lewis,USA,01.07.61,Walnut,26.04.1987
10,11,8.61,+0.6,Carl Lewis,USA,01.07.61,Westwood,16.05.1982
11,12,8.60,+0.2,Carl Lewis,USA,01.07.61,Roma,05.09.1987
12,12,8.60,,Carl Lewis,USA,01.07.61,New York City,15.06.1991
13,12,8.60,+0.3,Luvo Manyonga,RSA,18.11.91,Hengelo,11.06.2017
14,15,8.59,+0.3,Carl Lewis,USA,01.07.61,Bruxelles,24.08.1984
15,15,8.59,,Carl Lewis,USA,01.07.61,New York City,15.06.1991
16,17,8.58,,Mike Powell,USA,10.11.63,New York City,15.06.1991
17,18,8.57,,Iván Pedroso,CUB,17.12.72,Tokyo,15.09.1995
18,19,8.55,,Carl Lewis,USA,01.07.61,Indianapolis,24.07.1982
19,19,8.55,+1.6,Larry Myricks,USA,10.03.56,Indianapolis,18.07.1988
20,19,8.55,,Larry Myricks,USA,10.03.56,Indianapolis,18.07.1988
21,19,8.55A,,Larry Myricks,USA,10.03.56,Sestriere,11.08.1988
22,23,8.54,,Carl Lewis,USA,01.07.61,New York City,15.06.1991
23,23,8.54,,Mike Powell,USA,10.11.63,Tokyo,30.08.1991
24,23,8.54,+1.4,Iván Pedroso,CUB,17.12.72,Padova,08.06.1997
25,23,8.54,+0.3,Juan Miguel Echevarría,CUB,11.08.98,Ostrava,13.06.2018
26,23,8.54,-1.6,Juan Miguel Echevarría,CUB,11.08.98,Ostrava,13.06.2018
27,28,8.53A,,Robert Emmiyan,ARM,16.02.65,Tsakhkadzor,22.05.1987
28,28,8.53,,Carl Lewis,USA,01.07.61,Indianapolis,16.08.1987
29,28,8.53,+0.2,Mike Powell,USA,10.11.63,Barcelona,06.08.1992
30,28,8.53,+0.4,Luvo Manyonga,RSA,18.11.91,London,22.07.2018
31,32,8.52A,,Larry Myricks,USA,10.03.56,Sestriere,11.08.1988
32,32,8.52,+0.3,Carl Lewis,USA,01.07.61,Seoul,26.09.1988
33,32,8.52,+1.5,Carl Lewis,USA,01.07.61,Seoul,26.09.1988
34,32,8.52,,Mike Powell,USA,10.11.63,New York City,15.06.1991
35,32,8.52,±0.0,Iván Pedroso,CUB,17.12.72,Padova,08.06.1997
36,32,8.52,+0.5,James Beckford,JAM,09.01.75,Bad Langensalza,06.06.1998
37,32,8.52,+0.2,Aleksandr Menkov,RUS,07.12.90,Moskva,16.08.2013
38,39,8.51,+0.3,Carl Lewis,USA,01.07.61,Westwood,15.05.1983
39,39,8.51A,,Larry Myricks,USA,10.03.56,San José,26.06.1987
40,39,8.51,,Carl Lewis,USA,01.07.61,Barcelona,16.07.1990
41,39,8.51,-0.4,Iván Pedroso,CUB,17.12.72,Praha,10.06.1997
42,39,8.51,+0.5,Luvo Manyonga,RSA,18.11.91,London,22.07.2018
43,44,8.50,,Carl Lewis,USA,01.07.61,New York City,22.07.1989
44,44,8.50,-1.6,Mike Powell,USA,10.11.63,New Orleans,24.06.1992
45,44,8.50,-0.3,Carl Lewis,USA,01.07.61,Barcelona,06.08.1992
46,44,8.50,,Carl Lewis,USA,01.07.61,Barcelona,06.08.1992
47,44,8.50,+1.9,Iván Pedroso,CUB,17.12.72,Padova,16.07.1995
48,44,8.50,+0.3,Luvo Manyonga,RSA,18.11.91,London,15.07.2018
49,44,8.50,+0.5,Luvo Manyonga,RSA,18.11.91,London,15.07.2018
50,51,8.49,,Carl Lewis,USA,01.07.61,Houston,04.05.1985
51,51,8.49,,Larry Myricks,USA,10.03.56,Budapest,12.08.1988
52,51,8.49,,Larry Myricks,USA,10.03.56,Modesto,06.05.1989
53,51,8.49,,Carl Lewis,USA,01.07.61,Barcelona,16.07.1990
54,51,8.49,-0.6,Luvo Manyonga,RSA,18.11.91,Shanghai,13.05.2017
55,56,8.48,+1.8,Lutz Dombrowski,GDR,25.06.59,Dresden,27.07.1984
56,56,8.48,,Carl Lewis,USA,01.07.61,Barcelona,16.07.1990
57,56,8.48,,Mike Powell,USA,10.11.63,New York City,15.06.1991
58,56,8.48,,Mike Powell,USA,10.11.63,Indianapolis,25.06.1993
59,56,8.48,+1.5,Iván Pedroso,CUB,17.12.72,Salamanca,18.07.1995
60,56,8.48,+0.2,Luvo Manyonga,RSA,18.11.91,Shanghai,13.05.2017
61,56,8.48,-0.2,Luvo Manyonga,RSA,18.11.91,London,15.07.2018
62,63,8.47,+0.3,Kareem Streete-Thompson,USA,30.03.73,Linz,04.07.1994
63,63,8.47,,Kareem Streete-Thompson,USA,30.03.73,Linz,04.07.1994
64,63,8.47,,Iván Pedroso,CUB,17.12.72,Monaco,09.09.1995
65,63,8.47,-0.9,Luvo Manyonga,RSA,18.11.91,Birmingham,18.08.2018
66,67,8.46,,Carl Lewis,USA,01.07.61,Westwood,07.08.1982
67,67,8.46,,Larry Myricks,USA,10.03.56,Houston,17.06.1989
68,67,8.46,,Carl Lewis,USA,01.07.61,New York City,15.06.1991
69,67,8.46,,Erick Walder,USA,05.11.71,Austin,05.06.1992
70,67,8.46,,Mike Powell,USA,10.11.63,Lausanne,07.07.1993
71,67,8.46,+0.3,Mike Powell,USA,10.11.63,Salamanca,27.07.1993
72,67,8.46,+0.4,Mike Powell,USA,10.11.63,Salamanca,27.07.1993
73,67,8.46,-0.3,Iván Pedroso,CUB,17.12.72,Monaco,25.07.1995
74,67,8.46,+1.2,Yago Lamela,ESP,24.07.77,Guadalajara,19.06.1999
75,67,8.46,±0.0,Irving Saladino,PAN,23.01.83,Osaka,30.08.2007
76,67,8.46,+1.0,Godfrey Khotso Mokoena,RSA,06.03.85,Madrid,04.07.2009
77,67,8.46,+1.2,Godfrey Khotso Mokoena,RSA,06.03.85,Madrid,04.07.2009
78,67,8.46,+0.6,Luvo Manyonga,RSA,18.11.91,Hengelo,11.06.2017
79,67,8.46,-0.3,Tajay Gayle,JAM,02.08.96,Ad-Dawhah,28.09.2019
80,81,8.45,,Carl Lewis,USA,01.07.61,Westwood,16.05.1982
81,81,8.45,,Larry Myricks,USA,10.03.56,Rhede,05.09.1984
82,81,8.45A,,Carl Lewis,USA,01.07.61,San José,26.06.1987
83,81,8.45,+0.5,Mike Powell,USA,10.11.63,Salamanca,27.07.1993
84,81,8.45,+0.5,Iván Pedroso,CUB,17.12.72,Villeneuve d'Ascq,11.07.1998
85,81,8.45,+1.0,Dwight Phillips,USA,01.10.77,Hengelo,01.06.2009
86,81,8.45,+2.0,Godfrey Khotso Mokoena,RSA,06.03.85,Madrid,04.07.2009
87,81,8.45,+0.2,Luvo Manyonga,RSA,18.11.91,Zagreb,04.09.2018
88,89,8.44,+0.7,Carl Lewis,USA,01.07.61,Bruxelles,24.08.1984
89,89,8.44,+0.4,Carl Lewis,USA,01.07.61,Bruxelles,24.08.1984
90,89,8.44,+0.3,Larry Myricks,USA,10.03.56,Bruxelles,24.08.1984
91,89,8.44,,Carl Lewis,USA,01.07.61,Houston,21.05.1988
92,89,8.44,,Carl Lewis,USA,01.07.61,New York City,22.07.1989
93,89,8.44,+0.5,James Beckford,JAM,09.01.75,Bad Langensalza,06.06.1998
94,89,8.44,+1.3,Dwight Phillips,USA,01.10.77,Madrid,16.07.2005
95,89,8.44,+0.6,Marquise Goodwin,USA,19.11.90,Baie-Mahault,14.05.2016
96,89,8.44,+1.0,Ruswahl Samaai,RSA,25.09.91,Asaba,02.08.2018
97,98,8.43,-0.4,Larry Myricks,USA,10.03.56,Bruxelles,24.08.1984
98,98,8.43,,Carl Lewis,USA,01.07.61,Roma,05.09.1987
99,98,8.43,,Larry Myricks,USA,10.03.56,Indianapolis,18.07.1988
100,98,8.43,-0.1,Mike Powell,USA,10.11.63,Stuttgart,20.08.1993
101,98,8.43,,James Beckford,JAM,09.01.75,Roma,05.06.1997
102,98,8.43,+1.2,Erick Walder,USA,05.11.71,Villeneuve d'Ascq,11.07.1998
103,98,8.43,+1.1,Yago Lamela,ESP,24.07.77,Torino,24.06.1999
104,98,8.43,+0.6,Iván Pedroso,CUB,17.12.72,Winnipeg,25.07.1999
105,98,8.43,-0.7,Dwight Phillips,USA,01.10.77,Eugene,07.06.2009
106,98,8.43,+0.5,Aleksandr Menkov,RUS,07.12.90,Moskva,16.08.2013
107,98,8.43,+0.6,Marquise Goodwin,USA,19.11.90,Baie-Mahault,14.05.2016
108,98,8.43,+0.2,Jarrion Lawson,USA,06.05.94,London,05.08.2017
109,98,8.43,+0.2,Luvo Manyonga,RSA,18.11.91,Shanghai,12.05.2018
110,98,8.43,-0.6,Juan Miguel Echevarría,CUB,11.08.98,Roma,31.05.2018
111,98,8.43,+0.6,Luvo Manyonga,RSA,18.11.91,London,22.07.2018
112,98,8.43,-0.5,Luvo Manyonga,RSA,18.11.91,London,22.07.2018
113,11,8.42,+1.1,Carl Lewis,USA,01.07.61,Helsinki,10.08.1983
114,11,8.42,+1.8,Lutz Dombrowski,GDR,25.06.59,Dresden,27.07.1984
115,11,8.42,,Larry Myricks,USA,10.03.56,Köln,26.08.1984
116,11,8.42,,Jaime Jefferson,CUB,17.01.62,Bratislava,12.06.1987
117,11,8.42,,Carl Lewis,USA,01.07.61,Barcelona,16.07.1990
118,11,8.42,,Larry Myricks,USA,10.03.56,Monaco,03.08.1991
119,11,8.42,,Mike Powell,USA,10.11.63,Berlin,21.08.1992
120,11,8.42,,Mike Powell,USA,10.11.63,Villeneuve d'Ascq,02.07.1993
121,11,8.42,,Mike Powell,USA,10.11.63,Lausanne,07.07.1993
122,11,8.42,+1.9,James Beckford,JAM,09.01.75,Orlando,05.04.1997
123,11,8.42,+0.7,Luvo Manyonga,RSA,18.11.91,Bad Langensalza,30.06.2018
124,11,8.42,+1.3,Luvo Manyonga,RSA,18.11.91,Asaba,02.08.2018
125,11,8.42,+0.6,Luvo Manyonga,RSA,18.11.91,Birmingham,18.08.2018
126,12,8.41,,Larry Myricks,USA,10.03.56,Budapest,06.07.1987
127,12,8.41,,Larry Myricks,USA,10.03.56,Monaco,02.08.1988
