,0,1,2,3,4,5,6,7
0,1,8.79,Carl Lewis,USA,01.07.61,1,New York City,27.01.1984
1,2,8.71,Sebastian Bayer,GER,11.06.86,1,Torino,08.03.2009
2,3,8.62,Iván Pedroso,CUB,17.12.72,1,Maebashi,07.03.1999
3,4,8.60,Iván Pedroso,CUB,17.12.72,1,Liévin,16.02.1997
4,5,8.59,Miguel Pate,USA,13.06.79,1,New York City,01.03.2002
5,6,8.56,Carl Lewis,USA,01.07.61,1,East Rutherford,16.01.1982
6,6,8.56,Yago Lamela,ESP,24.07.77,2,Maebashi,07.03.1999
7,8,8.55,Carl Lewis,USA,01.07.61,1,New York City,26.02.1982
8,8,8.55,Carl Lewis,USA,01.07.61,1,East Rutherford,11.02.1984
9,8,8.55,Miltiádis Tentóglou,GRE,18.03.98,1,Beograd,18.03.2022
10,11,8.54,Carl Lewis,USA,01.07.61,1,New York City,28.01.1983
11,12,8.51,Iván Pedroso,CUB,17.12.72,1,Barcelona,11.03.1995
12,12,8.51,Iván Pedroso,CUB,17.12.72,1,Paris,08.03.1997
13,14,8.50,Carl Lewis,USA,01.07.61,1,New York City,24.02.1984
14,14,8.50,Carl Lewis,USA,01.07.61,1,New York City,25.01.1985
15,16,8.49,Carl Lewis,USA,01.07.61,1,Fort Worth,20.02.1981
16,16,8.49,Robert Emmiyan,ARM,16.02.65,1,Liévin,21.02.1987
17,16,8.49,Carl Lewis,USA,01.07.61,1,Stockholm,05.02.1992
18,19,8.48,Carl Lewis,USA,01.07.61,1,Detroit,13.03.1981
19,20,8.47,Carl Lewis,USA,01.07.61,1,San Diego,18.02.1983
20,21,8.46,Iván Pedroso,CUB,17.12.72,1,Liévin,18.02.1996
21,21,8.46,Juan Miguel Echevarría,CUB,11.08.98,1,Birmingham,02.03.2018
22,23,8.45,Carl Lewis,USA,01.07.61,1,East Rutherford,27.02.1983
23,23,8.45,Larry Myricks,USA,10.03.56,1,Liévin,27.01.1990
24,23,8.45,JuVaughn Harrison,USA,30.04.99,1,Fayetteville,12.03.2021
25,26,8.44,Larry Myricks,USA,10.03.56,2,New York City,24.02.1984
26,26,8.44,Mike Powell,USA,10.11.63,1,Budapest,05.02.1993
27,26,8.44,Luvo Manyonga,RSA,18.11.91,2,Birmingham,02.03.2018
28,29,8.43,Stanislav Tarasenko,RUS,23.07.66,1,Moskva,26.01.1994
29,29,8.43,Erick Walder,USA,05.11.71,1,Indianapolis,11.03.1994
30,29,8.43,Iván Pedroso,CUB,17.12.72,1,Madrid,09.02.1996
31,29,8.43,Iván Pedroso,CUB,17.12.72,1,Lisboa,11.03.2001
32,29,8.43,Yago Lamela,ESP,24.07.77,1,Sevilla,22.02.2003
33,34,8.42,Irving Saladino,PAN,23.01.83,1,Athínai,13.02.2008
34,34,8.42,Marquis Dendy,USA,23.02.92,3,Birmingham,02.03.2018
35,36,8.41,Mike Powell,USA,10.11.63,1,Stockholm,09.02.1993
36,36,8.41,Kirill Sosunov,RUS,01.11.75,2,Paris,08.03.1997
37,36,8.41,Joe Greene,USA,17.02.67,3,Paris,08.03.1997
38,36,8.41,Savanté Stringfellow,USA,06.11.78,1,Fayetteville,13.02.2004
39,36,8.41,Marquis Dendy,USA,23.02.92,1,Portland,11.01.2016
40,36,8.41,Juan Miguel Echevarría,CUB,11.08.98,1,Madrid,21.02.2020
41,36,8.41,Miltiádis Tentóglou,GRE,18.03.98,1,Liévin,15.02.2023
42,43,8.40,James Beckford,JAM,09.01.75,2,Madrid,09.02.1996
43,43,8.40,Iván Pedroso,CUB,17.12.72,1,Gent,12.02.1997
44,43,8.40,Iván Pedroso,CUB,17.12.72,1,Piræus,08.02.2000
45,43,8.40,Savanté Stringfellow,USA,06.11.78,1,Budapest,06.03.2004
46,43,8.40,Luvo Manyonga,RSA,18.11.91,1,Metz,11.02.2018
47,43,8.40A,Carey McLeod,JAM,14.04.98,1,Albuquerque,10.03.2023
48,49,8.39,Larry Myricks,USA,10.03.56,1,Madrid,10.03.1989
49,49,8.39,Iván Pedroso,CUB,17.12.72,1,Moskva,08.02.1997
50,49,8.39A,Jarrion Lawson,USA,06.05.94,1,Albuquerque,14.03.2014
51,49,8.39,Cameron Crump,USA,03.09.99,1,Fayetteville,24.02.2023
52,49,8.39A,Cameron Crump,USA,03.09.99,2,Albuquerque,10.03.2023
53,54,8.38,Larry Myricks,USA,10.03.56,1,Johnson City,12.01.1980
54,54,8.38,Larry Myricks,USA,10.03.56,1,San Diego,22.02.1980
55,54,8.38,Larry Myricks,USA,10.03.56,2,New York City,27.01.1984
56,54,8.38,Larry Myricks,USA,10.03.56,1,Karlsruhe,07.02.1988
57,54,8.38,Vitaliy Shkurlatov,RUS,25.05.79,1,Samara,30.01.2000
58,54,8.38,Marquis Dendy,USA,23.02.92,1,Fayetteville,12.02.2016
59,54,8.38A,Jarrion Lawson,USA,06.05.94,1,Albuquerque,17.02.2018
60,54,8.38,Miltiádis Tentóglou,GRE,18.03.98,1,Glasgow,03.03.2019
61,62,8.37,Carl Lewis,USA,01.07.61,1,East Rutherford,08.02.1986
62,62,8.37,Larry Myricks,USA,10.03.56,1,New York City,14.02.1986
63,62,8.37,Larry Myricks,USA,10.03.56,1,Budapest,05.03.1989
64,62,8.37,Iván Pedroso,CUB,17.12.72,1,Liévin,21.02.1999
65,62,8.37,Joan Lino Martínez,ESP,17.01.78,1,Madrid,06.03.2005
66,62,8.37A,Jeremiah Davis,USA,31.08.01,3,Albuquerque,10.03.2023
67,68,8.36,Mike Powell,USA,10.11.63,1,Glasgow,30.01.1993
68,68,8.36,James Beckford,JAM,09.01.75,1,Budapest,28.01.1996
69,68,8.36,James Beckford,JAM,09.01.75,2,Liévin,18.02.1996
70,68,8.36,Ignisious Gaisah,GHA,20.06.83,1,Stockholm,02.02.2006
71,72,8.35,Carl Lewis,USA,01.07.61,1,New York City,25.02.1983
72,72,8.35,Carl Lewis,USA,01.07.61,1,New York City,28.02.1992
73,72,8.35,Erick Walder,USA,05.11.71,2,Liévin,21.02.1999
74,72,8.35,Miguel Pate,USA,13.06.79,1,Fayetteville,18.01.2002
75,72,8.35,Miltiádis Tentóglou,GRE,18.03.98,1,Torun,05.03.2021
76,72,8.35,Isaac Grimes,USA,07.02.98,2,Fayetteville,12.03.2021
77,78,8.34,Carl Lewis,USA,01.07.61,1,Rosemont,15.01.1983
78,78,8.34,Robert Emmiyan,ARM,16.02.65,1,Moskva,08.02.1986
79,78,8.34,Larry Myricks,USA,10.03.56,1,Athínai,08.03.1989
80,78,8.34,Llewellyn Starks,USA,10.02.67,1,Stuttgart,02.02.1992
81,78,8.34,Llewellyn Starks,USA,10.02.67,2,Stockholm,05.02.1992
82,78,8.34,Iván Pedroso,CUB,17.12.72,1,Erfurt,31.01.1996
83,78,8.34,Iván Pedroso,CUB,17.12.72,1,Stockholm,25.02.1999
84,78,8.34,Miguel Pate,USA,13.06.79,1,Fayetteville,08.03.2002
85,78,8.34,Juan Miguel Echevarría,CUB,11.08.98,2,Metz,11.02.2018
86,87,8.33,Reggie Kelly,USA,30.09.62,1,Jackson,03.12.1983
87,87,8.33,Robert Emmiyan,ARM,16.02.65,1,Moskva,14.02.1987
88,87,8.33,Erick Walder,USA,05.11.71,1,Indianapolis,12.03.1993
89,87,8.33,Erick Walder,USA,05.11.71,1,Lincoln,05.02.1994
90,87,8.33,Iván Pedroso,CUB,17.12.72,1,Madrid,16.02.2000
91,87,8.33,Roman Shchurenko,UKR,14.09.76,1,Brovary,16.02.2002
92,87,8.33,Isaac Grimes,USA,07.02.98,1,Fayetteville,12.02.2021
93,87,8.33A,Wayne Pinnock,JAM,24.10.00,4,Albuquerque,10.03.2023
94,95,8.32,Larry Myricks,USA,10.03.56,1,Tokyo,21.03.1981
95,95,8.32,Carl Lewis,USA,01.07.61,1,New York City,12.02.1982
96,95,8.32,Larry Myricks,USA,10.03.56,1,Karlsruhe,03.02.1985
97,95,8.32,Robert Emmiyan,ARM,16.02.65,1,Madrid,22.02.1986
98,95,8.32,Vladimir Ochkan,UKR,13.01.68,1,Vilnius,09.01.1988
99,95,8.32,Iván Pedroso,CUB,17.12.72,1,Madrid,14.03.2001
100,95,8.32,Luvo Manyonga,RSA,18.11.91,1,Paris,07.02.2018
101,10,8.31,Mike Conley,USA,05.10.62,1,Rosemont,16.02.1986
102,10,8.31,Larry Myricks,USA,10.03.56,1,Sindelfingen,26.02.1989
103,10,8.31,James Beckford,JAM,09.01.75,2,Stockholm,25.02.1999
104,10,8.31,Iván Pedroso,CUB,17.12.72,1,Piræus,21.02.2001
105,10,8.31,Savanté Stringfellow,USA,06.11.78,q,Budapest,05.03.2004
106,10,8.31,James Beckford,JAM,09.01.75,2,Budapest,06.03.2004
107,10,8.31,Irving Saladino,PAN,23.01.83,1,Birmingham,17.02.2007
108,10,8.31,Aleksandr Menkov,RUS,07.12.90,1,Göteborg,03.03.2013
109,10,8.31,Thobias Montler,SWE,15.02.96,2,Torun,05.03.2021
110,10,8.31,Wayne Pinnock,JAM,24.10.00,2,Fayetteville,24.02.2023
111,11,8.30,Bob Beamon,USA,29.08.46,1,Detroit,15.03.1968
112,11,8.30,Larry Myricks,USA,10.03.56,1,San Diego,20.02.1981
113,11,8.30,Larry Myricks,USA,10.03.56,2,East Rutherford,08.02.1986
114,11,8.30,Larry Myricks,USA,10.03.56,1,Kobe,14.03.1987
115,11,8.30,Larry Myricks,USA,10.03.56,1,Yokohama,11.03.1990
116,11,8.30,Ivaylo Mladenov,BUL,06.10.73,1,Athínai,28.02.1994
117,11,8.30,Kirill Sosunov,RUS,01.11.75,q,Paris,07.03.1997
118,11,8.30,Erick Walder,USA,05.11.71,3,Maebashi,07.03.1999
119,11,8.30,Vitaliy Shkurlatov,RUS,25.05.79,1,Moskva,27.01.2000
120,11,8.30,Bogdan Tarus,ROU,01.08.75,1,Bucuresti,30.01.2000
121,11,8.30,Ignisious Gaisah,GHA,20.06.83,1,Moskva,11.03.2006
122,11,8.30,Andrew Howe,ITA,12.05.85,1,Birmingham,04.03.2007
123,11,8.30,Aleksandr Menkov,RUS,07.12.90,1,Moskva,02.02.2014
124,11,8.30,Michel Tornéus,SWE,26.05.86,1,Praha,06.03.2015
125,11,8.30,Aleksandr Menkov,RUS,07.12.90,1,Moskva,03.02.2019
126,11,8.30,Miltiádis Tentóglou,GRE,18.03.98,1,Istanbul,05.03.2023
127,12,8.29,Mike Conley,USA,05.10.62,2,New York City,14.02.1986
128,12,8.29,Iván Pedroso,CUB,17.12.72,1,Wien,15.02.1997
129,12,8.29,Iván Pedroso,CUB,17.12.72,1,Erfurt,04.02.1998
130,12,8.29,Savanté Stringfellow,USA,06.11.78,1,Fayetteville,15.02.2003
131,12,8.29,Dwight Phillips,USA,01.10.77,1,Birmingham,15.03.2003
132,12,8.29,Irving Saladino,PAN,23.01.83,2,Moskva,11.03.2006
133,12,8.29,Michel Tornéus,SWE,26.05.86,2,Göteborg,03.03.2013
134,13,8.28,Roland McGhee,USA,15.10.71,1,New York City,03.02.1995
135,13,8.28,Gregor Cankar,SLO,25.01.75,4,Maebashi,07.03.1999
136,13,8.28,Yago Lamela,ESP,24.07.77,1,Valencia,02.03.2003
137,13,8.28,Brian Johnson,USA,25.03.80,1,Fayetteville,14.03.2003
138,13,8.28,Yago Lamela,ESP,24.07.77,2,Birmingham,15.03.2003
139,13,8.28,Vitaliy Shkurlatov,RUS,25.05.79,3,Budapest,06.03.2004
140,13,8.28,Mauro Vinicius da Silv,BRA,26.12.86,q,Istanbul,09.03.2012
141,13,8.28,Marquis Dendy,USA,23.02.92,1,Fayetteville,08.03.2013
142,13,8.28,Mauro Vinicius da Silv,BRA,26.12.86,1,Sopot,08.03.2014
143,13,8.28,Marquis Dendy,USA,23.02.92,1,Fayetteville,13.03.2015
144,13,8.28,Thobias Montler,SWE,15.02.96,2,Beograd,18.03.2022
145,13,8.28A,Jeremiah Davis,USA,31.08.01,1,Albuquerque,10.02.2023
146,13,8.28,Marquis Dendy,USA,23.02.92,1,Birmingham,25.02.2023
147,14,8.27,Carl Lewis,USA,01.07.61,1,Los Angeles,22.01.1982
148,14,8.27,Carl Lewis,USA,01.07.61,1,Inglewood,08.02.1985
149,14,8.27,Mike Conley,USA,05.10.62,1,New York City,28.02.1986
150,14,8.27,Roland McGhee,USA,15.10.71,1,Murfreesboro,10.12.1994
151,14,8.27,Yuriy Naumkin,RUS,05.11.68,1,Shakhty,21.01.1995
152,14,8.27,Kirill Sosunov,RUS,01.11.75,1,Moskva,19.01.1996
153,14,8.27,Iván Pedroso,CUB,17.12.72,2,Budapest,28.01.1996
154,14,8.27,Iván Pedroso,CUB,17.12.72,1,Erfurt,02.02.2000
155,14,8.27,Bogdan Tarus,ROU,01.08.75,1,Bucuresti,05.02.2000
156,14,8.27,Petar Dachev,BUL,15.06.79,1,Sofia,10.02.2002
157,14,8.27,Miguel Pate,USA,13.06.79,2,Fayetteville,15.02.2003
158,14,8.27,John Moffitt,USA,12.12.80,1,New York City,13.02.2004
159,14,8.27,Salim Sdiri,FRA,26.10.78,1,Mondeville,28.01.2006
160,14,8.27,Su Xiongfeng,CHN,21.03.87,1,Nanjing,11.03.2010
161,14,8.27,Jarrion Lawson,USA,06.05.94,2,Fayetteville,13.03.2015
162,14,8.27,Marquis Dendy,USA,23.02.92,3,Beograd,18.03.2022
163,16,8.26,Charlton Ehizuelen,NGR,30.11.53,1,Bloomington,07.03.1975
164,16,8.26,Larry Myricks,USA,10.03.56,2,East Rutherford,16.01.1982
165,16,8.26,Giovanni Evangelisti,ITA,11.09.61,2,Liévin,21.02.1987
166,16,8.26,Iván Pedroso,CUB,17.12.72,2,Athínai,28.02.1994
167,16,8.26,Iván Pedroso,CUB,17.12.72,1,Gent,19.02.1999
168,16,8.26,Bogdan Tarus,ROU,01.08.75,1,Bucuresti,20.02.1999
169,16,8.26,Petar Dachev,BUL,15.06.79,1,Gent,26.02.2000
170,16,8.26,Yago Lamela,ESP,24.07.77,1,Athínai,06.03.2003
171,16,8.26,Savanté Stringfellow,USA,06.11.78,1,Boston,29.02.2004
172,16,8.26,Bogdan Tarus,ROU,01.08.75,4,Budapest,06.03.2004
173,16,8.26A,Greg Rutherford,GBR,17.11.86,1,Albuquerque,05.02.2016
174,16,8.26,Marquis Dendy,USA,23.02.92,1,Portland,20.03.2016
175,16,8.26,Miltiádis Tentóglou,GRE,18.03.98,1,Piræus,29.02.2020
176,16,8.26,Carey McLeod,JAM,14.04.98,3,Fayetteville,12.03.2021
177,16,8.26,Simon Ehammer,SUI,07.02.00,H,Aubière,29.01.2022
178,17,8.25,Bob Beamon,USA,29.08.46,1,Kansas City,20.01.1968
179,17,8.25,Henry Hines,USA,12.02.49,1,New York City,06.06.1973
180,17,8.25,Carl Lewis,USA,01.07.61,1,Baton Rouge,05.06.1981
181,17,8.25,Dietmar Haaf,GER,06.03.67,2,Sindelfingen,26.02.1989
182,17,8.25,Keith Talley,USA,28.01.64,1,Johnson City,25.01.1991
183,17,8.25,Roland McGhee,USA,15.10.71,1,Murfreesboro,30.01.1993
184,17,8.25,Anthuan Maybank,USA,30.12.69,1,Ames,28.01.1995
185,17,8.25,Kirill Sosunov,RUS,01.11.75,2,Liévin,16.02.1997
186,17,8.25,Bogdan Tudor,ROU,01.02.70,1,Bucuresti,30.01.1999
187,17,8.25,Petar Dachev,BUL,15.06.79,2,Samara,30.01.2000
188,17,8.25,Aleksey Lukasevich,UKR,11.01.77,1,Brovary,08.02.2000
189,17,8.25,Yago Lamela,ESP,24.07.77,1,Zaragoza,01.02.2003
190,17,8.25,Miguel Pate,USA,13.06.79,1,Boston,02.03.2003
191,17,8.25,Marquis Dendy,USA,23.02.92,1,Fayetteville,23.02.2013
192,17,8.25,Bachana Khorava,GEO,15.03.93,1,Tbilisi,07.02.2016
193,17,8.25,Fabrice Lapierre,AUS,17.10.83,2,Portland,20.03.2016
194,17,8.25,Juan Miguel Echevarría,CUB,11.08.98,1,Liévin,09.02.2021
195,17,8.25,Matthew Boling,USA,20.06.00,1,Clemson,14.01.2022
196,17,8.25,Miltiádis Tentóglou,GRE,18.03.98,1,Beograd,07.03.2022
197,19,8.24,Larry Myricks,USA,10.03.56,1,Daly City,21.02.1981
198,19,8.24,Larry Myricks,USA,10.03.56,1,Rosemont,29.01.1984
199,19,8.24,László Szalma,HUN,21.10.57,2,Madrid,22.02.1986
200,19,8.24,Robert Emmiyan,ARM,16.02.65,1,Osaka,15.01.1987
201,19,8.24,Larry Myricks,USA,10.03.56,1,Budapest,07.02.1987
202,19,8.24,Larry Myricks,USA,10.03.56,1,New York City,26.02.1988
203,19,8.24,Robert Emmiyan,ARM,16.02.65,1,Chelyabinsk,03.02.1990
204,19,8.24,Ivaylo Mladenov,BUL,06.10.73,1,Sofia,05.02.1994
205,19,8.24,Gregor Cankar,SLO,25.01.75,1,Ljubljana,10.02.1996
206,19,8.24,Kirill Sosunov,RUS,01.11.75,2,Moskva,08.02.1997
207,19,8.24,Erick Walder,USA,05.11.71,4,Paris,08.03.1997
208,19,8.24,Vitaliy Shkurlatov,RUS,25.05.79,1,Volgograd,17.01.2004
209,19,8.24,Salim Sdiri,FRA,26.10.78,1,Liévin,19.02.2005
210,19,8.24,Mohamed Salman Al-Khuw,KSA,19.06.81,1,Ad-Dawhah,16.02.2008
211,19,8.24,Salim Sdiri,FRA,26.10.78,1,Paris,27.02.2010
