,0,1,2,3,4,5,6,7
0,1,8.89A,2.4,Iván Pedroso,CUB,17.12.72,Sestriere,29.07.1995
1,2,8.85A,3.8,Mike Powell,USA,10.11.63,Sestriere,21.07.1992
2,3,8.84A,4.0,Mike Powell,USA,10.11.63,Sestriere,21.07.1992
3,4,8.83,2.3,Carl Lewis,USA,01.07.61,Tokyo,30.08.1991
4,5,8.80A,3.0,Mike Powell,USA,10.11.63,Sestriere,21.07.1992
5,6,8.75A,3.4,Mike Powell,USA,10.11.63,Sestriere,21.07.1992
6,7,8.73,2.4,Carl Lewis,USA,01.07.61,Westwood,18.05.1985
7,7,8.73,,Mike Powell,USA,10.11.63,Modesto,16.05.1992
8,9,8.71A,3.5,Mike Powell,USA,10.11.63,Sestriere,31.07.1991
9,10,8.68,4.1,Carl Lewis,USA,01.07.61,Indianapolis,16.08.1987
10,10,8.68,3.7,Carl Lewis,USA,01.07.61,Indianapolis,16.08.1987
11,10,8.68A,4.3,Carl Lewis,USA,01.07.61,Sestriere,31.07.1994
12,13,8.67,2.6,Larry Myricks,USA,10.03.56,Houston,17.06.1989
13,14,8.66,,Carl Lewis,USA,01.07.61,Walnut,26.04.1987
14,15,8.65A,3.7,Mike Powell,USA,10.11.63,Sestriere,21.07.1992
15,15,8.65A,,Joe Greene,USA,17.02.67,Sestriere,21.07.1992
16,17,8.64,,Carl Lewis,USA,01.07.61,Walnut,26.04.1987
17,18,8.60A,3.6,Carl Lewis,USA,01.07.61,Sestriere,31.07.1994
18,19,8.59,3.2,Carl Lewis,USA,01.07.61,Indianapolis,18.07.1988
19,20,8.56,2.2,Carl Lewis,USA,01.07.61,Seoul,26.09.1988
20,21,8.55,,Larry Myricks,USA,10.03.56,San José,26.06.1987
21,22,8.54,2.4,Iván Pedroso,CUB,17.12.72,Padova,26.06.1999
22,22,8.54,3.7,Marquis Dendy,USA,23.02.92,Eugene,25.06.2015
23,24,8.51A,3.3,Carl Lewis,USA,01.07.61,Sestriere,31.07.1994
24,24,8.51,3.5,Kevin Dilworth,USA,14.02.74,Fort-de-France,27.04.2002
25,26,8.49,2.4,Dwight Phillips,USA,01.10.77,Eugene,27.06.2009
26,27,8.48,2.7,Carl Lewis,USA,01.07.61,Westwood,18.05.1985
27,27,8.48,,Jaime Jefferson,CUB,17.01.62,Indianapolis,16.08.1987
28,27,8.48,2.5,Iván Pedroso,CUB,17.12.72,San Juan,27.06.1997
29,27,8.48,3.4,Iván Pedroso,CUB,17.12.72,Fukuoka,13.09.1997
30,31,8.47,,Carl Lewis,USA,01.07.61,Houston,21.05.1988
31,31,8.47,3.8,Godfrey Khotso Mokoena,RSA,06.03.85,Madrid,04.07.2009
32,33,8.46A,,Kareem Streete-Thompson,USA,30.03.73,Sestriere,31.07.1994
33,33,8.46,,James Beckford,JAM,09.01.75,Padova,07.07.1996
34,35,8.44,,Carl Lewis,USA,01.07.61,Sacramento,21.07.1984
35,35,8.44,,Larry Myricks,USA,10.03.56,Modesto,10.05.1986
36,35,8.44,5.3,Savanté Stringfellow,USA,06.11.78,Eugene,22.06.2001
37,38,8.43A,,Larry Myricks,USA,10.03.56,Sestriere,11.08.1988
38,38,8.43,,Larry Myricks,USA,10.03.56,Modesto,06.05.1989
39,38,8.43A,3.4,Carl Lewis,USA,01.07.61,Sestriere,31.07.1994
40,38,8.43,3.6,Jarrion Lawson,USA,06.05.94,Sacramento,25.06.2017
41,42,8.42,,Larry Myricks,USA,10.03.56,Tokyo,10.05.1987
42,42,8.42,2.4,Mike Powell,USA,10.11.63,Eugene,19.06.1993
43,42,8.42,2.4,Carl Lewis,USA,01.07.61,New York City,22.05.1994
44,42,8.42,2.2,James Beckford,JAM,09.01.75,Rio de Janeiro,04.05.1997
45,46,8.41,,Carl Lewis,USA,01.07.61,Sacramento,18.06.1995
46,46,8.41,,Carl Lewis,USA,01.07.61,Sacramento,18.06.1995
47,46,8.41,,Ignisious Gaisah,GHA,20.06.83,Bambous,09.08.2006
48,46,8.41,2.3,Jeffrey Henderson,USA,19.02.89,Eugene,03.07.2016
49,50,8.40,,Jason Grimes,USA,10.09.59,Indianapolis,03.07.1982
50,50,8.40,,Mike Powell,USA,10.11.63,Knoxville,18.06.1994
51,50,8.40,2.3,Jeffrey Henderson,USA,19.02.89,Eugene,25.06.2015
52,50,8.40,4.0,Jarrion Lawson,USA,06.05.94,Sacramento,25.06.2017
53,54,8.39A,2.4,Joe Greene,USA,17.02.67,Sestriere,07.08.1996
54,54,8.39,3.9,Irving Saladino,PAN,23.01.83,São Paulo,02.04.2005
55,56,8.38,3.3,Will Claye,USA,13.06.91,Eugene,03.07.2016
56,57,8.37,,Jason Grimes,USA,10.09.59,Indianapolis,03.07.1982
57,57,8.37,2.1,Carl Lewis,USA,01.07.61,New York City,22.05.1994
58,57,8.37A,,Kareem Streete-Thompson,USA,30.03.73,Sestriere,31.07.1994
59,57,8.37,3.2,Irving Saladino,PAN,23.01.83,Madrid,04.07.2009
