,0,1,2,3,4,5,6,7,8,9
0,1,8.66,0.2,Markus,Rehm,GER,22.08.88,1,Innsbruck,11.06.2022
1,2,8.62,1.0,Markus,Rehm,GER,22.08.88,1,Bydgoszcz,01.06.2021
2,3,8.48,1.3,Markus,Rehm,GER,22.08.88,1,Berlin,25.08.2018
3,4,8.47,1.5,Markus,Rehm,GER,22.08.88,1,Maebashi,08.07.2018
4,4,8.47,1.1,Markus,Rehm,GER,22.08.88,1,Bremen,13.05.2021
5,6,8.4,1.8,Markus,Rehm,GER,22.08.88,1,Ad-Dawhah,23.10.2015
6,7,8.34,1.4,Markus,Rehm,GER,22.08.88,1,Paris,09.06.2018
7,8,8.32,1.3,Markus,Rehm,GER,22.08.88,1,Leverkusen,22.08.2020
8,9,8.29,0.1,Markus,Rehm,GER,22.08.88,1,Braunschweig,06.06.2021
9,10,8.24,1.8,Markus,Rehm,GER,22.08.88,1,Ulm,26.07.2014
10,11,8.21,0.4,Markus,Rehm,GER,22.08.88,1,Rio de Janeiro,17.09.2016
