,0,1,2,3,4,5,6
0,1,96.96,Uwe Hohn,GDR,16.07.62,Berlin,15.07.1984
1,2,94.42,Detlef Michel,GER,13.10.55,Berlin,08.06.1983
2,3,93.84,Detlef Michel,GER,13.10.55,Berlin,31.07.1983
3,4,93.68,Detlef Michel,GER,13.10.55,Erfurt,29.05.1983
4,4,93.68,Uwe Hohn,GDR,16.07.62,Erfurt,02.06.1984
5,6,93.48,Uwe Hohn,GDR,16.07.62,Jena,13.05.1984
6,7,93.42,Detlef Michel,GER,13.10.55,Erfurt,29.05.1983
7,8,93.3,Duncan Atwood,USA,11.10.55,Eugene,26.07.1985
8,9,93.22,Uwe Hohn,GDR,16.07.62,Moskva,17.08.1984
9,10,93.14,Uwe Hohn,GDR,16.07.62,Potsdam,25.05.1984
10,11,92.98,Uwe Hohn,GDR,16.07.62,Ostrava,12.06.1985
11,12,92.9,Uwe Hohn,GDR,16.07.62,Zürich,21.08.1985
12,13,92.88,Uwe Hohn,GDR,16.07.62,Erfurt,22.06.1985
13,14,92.86,Uwe Hohn,GDR,16.07.62,Bratislava,15.06.1985
14,15,92.58,Detlef Michel,GER,13.10.55,Berlin,08.06.1983
15,16,92.54,Detlef Michel,GER,13.10.55,Berlin,08.06.1983
16,17,92.34,Detlef Michel,GER,13.10.55,Erfurt,29.05.1983
17,18,92.2,Detlef Michel,GER,13.10.55,Berlin,20.07.1984
18,19,92.12,Uwe Hohn,GDR,16.07.62,Erfurt,02.06.1984
19,20,92.0,Tom Petranoff,USA,08.04.58,Eugene,04.06.1983
20,21,91.94,Uwe Hohn,GDR,16.07.62,Moskva,17.08.1985
21,22,91.84,Detlef Michel,GER,13.10.55,Erfurt,02.06.1984
22,23,91.7,Zdenek Adamec,CZE,09.01.56,Praha,25.05.1985
23,24,91.64,Tom Petranoff,USA,08.04.58,Zürich,24.08.1983
24,25,91.44,Detlef Michel,GER,13.10.55,Bratislava,04.06.1983
25,26,91.42,Uwe Hohn,GDR,16.07.62,Moskva,17.08.1984
26,27,91.34,Bob Roggy,USA,06.08.56,San José,17.04.1982
27,28,91.28,Uwe Hohn,GDR,16.07.62,Stockholm,02.07.1985
28,29,91.26,Pauli Nevala,FIN,30.11.40,Seinäjoki,27.08.1970
29,30,91.14,Detlef Michel,GER,13.10.55,Berlin,31.07.1983
30,30,91.14,Detlef Michel,GER,13.10.55,Berlin,31.07.1983
31,32,90.94,Jänis Lusis,LAT,19.05.39,Odessa,07.09.1967
32,33,90.7,Detlef Michel,GER,13.10.55,Berlin,20.07.1984
33,34,90.56,Uwe Hohn,GDR,16.07.62,Erfurt,02.06.1984
34,35,90.54,Uwe Hohn,GDR,16.07.62,Moskva,17.08.1985
35,36,90.5,Jänis Lusis,LAT,19.05.39,Leningrad,16.06.1973
36,36,90.5,Heino Puuste,EST,07.09.55,Birmingham,05.06.1983
37,38,90.48,Uwe Hohn,GDR,16.07.62,Bratislava,15.06.1985
38,39,90.3,Detlef Michel,GER,13.10.55,Berlin,08.06.1983
39,40,90.14,Heino Puuste,EST,07.09.55,Birmingham,05.06.1983
40,41,90.1,Klaus Tafelmeier,GER,12.05.58,Seoul,29.09.1984
41,42,90.02,Bob Roggy,USA,06.08.56,San José,17.04.1982
42,43,89.84,Klaus Wolfermann,FRG,31.03.46,Leverkusen,05.05.1973
43,44,89.8,Uwe Hohn,GDR,16.07.62,Berlin,20.07.1984
44,45,89.54,Jänis Lusis,LAT,19.05.39,München,03.09.1972
45,46,89.36,Jänis Lusis,LAT,19.05.39,Tartu,25.08.1968
46,47,88.96,Detlef Michel,GER,13.10.55,Helsinki,12.08.1983
47,48,88.88,Dainis Kula,LAT,28.03.59,Moskva,26.07.1980
48,49,88.74,Detlef Michel,GER,13.10.55,Helsinki,12.08.1983
49,50,88.4,Klaus Wolfermann,FRG,31.03.46,München,03.09.1972
50,51,88.08,Jänis Lusis,LAT,19.05.39,Riga,04.09.1968
51,52,88.06,Ferenc Paragi,HUN,21.08.53,Tata,23.04.1980
52,53,88.04,Aleksandr Makarov,RUS,11.02.51,Moskva,26.07.1980
