,0,1,2,3,4,5,6
0,1,6.06,Armand Duplantis,SWE,10.11.99,Eugene,24.07.2022
1,2,6.03,Armand Duplantis,SWE,10.11.99,Stockholm,30.06.2022
2,3,6.02,Armand Duplantis,SWE,10.11.99,Lausanne,02.09.2020
3,4,6.00,Armand Duplantis,SWE,10.11.99,Berlin,12.08.2018
4,4,6.00,Armand Duplantis,SWE,10.11.99,Roma,17.09.2020
5,4,6.00,Armand Duplantis,SWE,10.11.99,Hengelo,06.06.2021
6,4,6.00,Armand Duplantis,SWE,10.11.99,Eugene,24.07.2022
7,4,6.00,Armand Duplantis,SWE,10.11.99,Chorzów,06.08.2022
8,4,6.00,Armand Duplantis,SWE,10.11.99,Lausanne,25.08.2022
9,10,5.98,Armand Duplantis,SWE,10.11.99,Zürich,09.09.2021
10,11,5.97,Sergey Bubka,UKR,04.12.63,Dijon,13.06.1992
11,11,5.97,Piotr Lisek,POL,16.08.92,Monaco,12.07.2019
12,11,5.97,Sam Kendricks,USA,07.09.92,Lausanne,02.09.2020
13,11,5.97,Armand Duplantis,SWE,10.11.99,Lausanne,02.09.2020
14,11,5.97,Armand Duplantis,SWE,10.11.99,Tokyo,03.08.2021
15,16,5.96,Maksim Tarasov,RUS,02.12.70,Sevilla,26.08.1999
16,16,5.96,Renaud Lavillenie,FRA,18.09.86,Eugene,30.05.2015
17,18,5.95A,Okkert Brits,RSA,22.08.73,Sestriere,29.07.1995
18,18,5.95,Maksim Tarasov,RUS,02.12.70,Athínai,16.06.1999
19,18,5.95,Tim Lobinger,GER,03.09.72,Oslo,30.06.1999
20,18,5.95,Dmitriy Markov,AUS,14.03.75,Edmonton,09.08.2001
21,18,5.95,Armand Duplantis,SWE,10.11.99,Berlin,12.08.2018
22,18,5.95,Armand Duplantis,SWE,10.11.99,München,20.08.2022
23,24,5.94,Armand Duplantis,SWE,10.11.99,Eugene,24.07.2022
24,25,5.93,Brad Walker,USA,21.06.81,Jockgrim,19.07.2006
25,25,5.93,Renaud Lavillenie,FRA,18.09.86,London,25.07.2015
26,25,5.93,Renaud Lavillenie,FRA,18.09.86,Rio de Janeiro,15.08.2016
27,25,5.93,Thiago Braz da Silva,BRA,16.12.93,Rio de Janeiro,15.08.2016
28,25,5.93,Armand Duplantis,SWE,10.11.99,Zürich,09.09.2021
29,25,5.93,Armand Duplantis,SWE,10.11.99,Stockholm,30.06.2022
