,0,1,2,3,4,5,6,7
0,1,5.9,Okkert Brits,RSA,22.08.73,1,Toronto,01.06.1997
1,2,5.86,Larry Jessee,USA,31.03.52,1,Newcastle,16.10.1985
2,3,5.85,Tye Harvey,USA,25.09.74,1,Potsdam,18.02.2001
3,4,5.85,Michael Stolle,GER,17.12.74,2,Potsdam,18.02.2001
4,5,5.75,Lawrence Johnson,USA,07.05.74,2,Toronto,01.06.1997
5,5,5.75,Danny Ecker,GER,21.07.77,3,Potsdam,18.02.2001
6,7,5.72,Wladyslaw Kozakiewicz,FRG,08.12.53,1,Mainz,00.02.1986
7,7,5.72,Brad Walker,USA,21.06.81,1,Des Moines,25.04.2012
8,9,5.71,Derek Miles,USA,28.09.72,1,Des Moines,24.04.2008
9,9,5.71,Mark Hollis,USA,01.12.84,2,Des Moines,24.04.2008
10,11,5.7,Philippe Houvion,FRA,15.10.57,1=,Talant,08.12.1985
11,11,5.7,Pavel Burlachenko,RUS,07.04.76,1,Chiari,06.03.2002
