,0,1,2,3,4,5,6,7
0,1,23.56,Ryan Crouser,USA,18.12.92,1,Westwood,27.05.2023
1,2,23.37,Ryan Crouser,USA,18.12.92,1,Eugene,18.06.2021
2,3,23.3,Ryan Crouser,USA,18.12.92,1,Tokyo,05.08.2021
3,4,23.23,Joseph Kovacs,USA,28.06.89,1,Zürich,07.09.2022
4,5,23.15,Ryan Crouser,USA,18.12.92,1,Eugene,21.08.2021
5,6,23.12,Randy Barnes,USA,16.06.66,1,Westwood,20.05.1990
6,6,23.12,Ryan Crouser,USA,18.12.92,1,Eugene,24.06.2022
7,8,23.1,Randy Barnes,USA,16.06.66,1,San José,26.05.1990
8,9,23.06,Ulf Timmermann,GER,01.11.62,1,Haniá,22.05.1988
9,10,23.02,Ryan Crouser,USA,18.12.92,1,Eugene,28.05.2022
10,11,23.01,Ryan Crouser,USA,18.12.92,1,Tucson,22.05.2021
11,12,22.94,Ryan Crouser,USA,18.12.92,1,Eugene,17.07.2022
12,13,22.92,Ryan Crouser,USA,18.12.92,q,Eugene,18.06.2021
13,14,22.91,Alessandro Andrei,ITA,03.01.59,1,Viareggio,12.08.1987
14,14,22.91,Joseph Kovacs,USA,28.06.89,1,Ad-Dawhah,05.10.2019
15,14,22.91,Ryan Crouser,USA,18.12.92,1,Marietta,18.07.2020
16,17,22.9,Ryan Crouser,USA,18.12.92,2,Ad-Dawhah,05.10.2019
17,17,22.9,Tomas Walsh,NZL,01.03.92,3,Ad-Dawhah,05.10.2019
18,19,22.89,Joseph Kovacs,USA,28.06.89,2,Eugene,17.07.2022
19,19,22.89,Joseph Kovacs,USA,28.06.89,1,Székesfehérvár,08.08.2022
20,21,22.87,Joseph Kovacs,USA,28.06.89,2,Eugene,24.06.2022
21,22,22.86,Brian Oldfield,USA,01.06.45,1,El Paso,10.05.1975
22,23,22.84,Ryan Crouser,USA,18.12.92,1,Zagreb,13.09.2021
23,24,22.81,Ryan Crouser,USA,18.12.92,1,Lausanne,26.08.2021
24,25,22.75,Werner Günthör,SUI,01.06.61,1,Bern,23.08.1988
25,25,22.75,Ryan Crouser,USA,18.12.92,1,Ponce,12.05.2022
26,27,22.74,Ryan Crouser,USA,18.12.92,1,Long Beach,20.04.2019
