,0,1,2,3,4,5,6,7
0,1,23.31,Ryan Crouser,USA,18.12.92,,Westwood,27.05.2023
1,2,23.23,Ryan Crouser,USA,18.12.92,,Westwood,27.05.2023
2,3,23.11,Ryan Crouser,USA,18.12.92,,Eugene,24.06.2022
3,4,23.01,Ryan Crouser,USA,18.12.92,,Eugene,24.06.2022
4,5,22.98,Ryan Crouser,USA,18.12.92,,Eugene,24.06.2022
5,6,22.95,Ryan Crouser,USA,18.12.92,,Eugene,21.08.2021
6,7,22.94,Ryan Crouser,USA,18.12.92,,Westwood,27.05.2023
7,8,22.93,Ryan Crouser,USA,18.12.92,,Tokyo,05.08.2021
8,9,22.9,Ryan Crouser,USA,18.12.92,,Eugene,21.08.2021
9,10,22.89,Ryan Crouser,USA,18.12.92,,Eugene,21.08.2021
10,11,22.87,Joseph Kovacs,USA,28.06.89,,Eugene,24.06.2022
11,11,22.87,Joseph Kovacs,USA,28.06.89,,Székesfehérvár,08.08.2022
12,13,22.86,Ryan Crouser,USA,18.12.92,,Tucson,22.05.2021
13,13,22.86,Ryan Crouser,USA,18.12.92,,Tokyo,05.08.2021
14,13,22.86,Ryan Crouser,USA,18.12.92,,Westwood,27.05.2023
15,16,22.84,Alessandro Andrei,ITA,03.01.59,,Viareggio,12.08.1987
16,17,22.83,Ryan Crouser,USA,18.12.92,,Tokyo,05.08.2021
17,18,22.8,Ryan Crouser,USA,18.12.92,,Westwood,27.05.2023
18,19,22.76,Randy Barnes,USA,16.06.66,,Westwood,20.05.1990
19,20,22.74,Alessandro Andrei,ITA,03.01.59,,Viareggio,12.08.1987
20,20,22.74,Ryan Crouser,USA,18.12.92,,Tokyo,05.08.2021
21,22,22.73,Ryan Crouser,USA,18.12.92,,Long Beach,20.04.2019
22,22,22.73,Ryan Crouser,USA,18.12.92,,Marietta,18.07.2020
23,22,22.73,Ryan Crouser,USA,18.12.92,,Eugene,18.06.2021
24,25,22.72,Alessandro Andrei,ITA,03.01.59,,Viareggio,12.08.1987
25,25,22.72,Joseph Kovacs,USA,28.06.89,,Nashville,29.04.2023
26,27,22.71,Ryan Crouser,USA,18.12.92,,Ad-Dawhah,05.10.2019
27,27,22.71,Ryan Crouser,USA,18.12.92,,Eugene,17.07.2022
28,29,22.7,Werner Günthör,SUI,01.06.61,,Bern,23.08.1988
29,29,22.7,Ryan Crouser,USA,18.12.92,,Des Moines,29.08.2020
30,29,22.7,Ryan Crouser,USA,18.12.92,,Lausanne,26.08.2021
31,32,22.68,Ryan Crouser,USA,18.12.92,,Des Moines,29.08.2020
32,33,22.67,Ryan Crouser,USA,18.12.92,,Zürich,07.09.2022
33,33,22.67,Joseph Kovacs,USA,28.06.89,,Zürich,07.09.2022
34,35,22.64,Ryan Crouser,USA,18.12.92,q,Eugene,18.06.2021
35,35,22.64,Ryan Crouser,USA,18.12.92,,Lausanne,26.08.2021
36,37,22.63,Ryan Crouser,USA,18.12.92,,Des Moines,29.08.2020
37,37,22.63,Joseph Kovacs,USA,28.06.89,,Eugene,17.07.2022
38,39,22.62,Ryan Crouser,USA,18.12.92,,Eugene,18.06.2021
39,39,22.62,Joseph Kovacs,USA,28.06.89,,Eugene,24.06.2022
40,41,22.61,Ryan Crouser,USA,18.12.92,,Eugene,18.06.2021
41,42,22.6,Joseph Kovacs,USA,28.06.89,,Tokyo,05.08.2021
42,42,22.6,Ryan Crouser,USA,18.12.92,,Zagreb,13.09.2021
43,44,22.59,Ryan Crouser,USA,18.12.92,,Chorzów,06.09.2020
44,44,22.59,Ryan Crouser,USA,18.12.92,,Zagreb,14.09.2020
45,44,22.59,Ryan Crouser,USA,18.12.92,,Tucson,22.05.2021
46,47,22.58,Udo Beyer,GER,09.08.55,,Berlin,20.08.1986
47,47,22.58,Ryan Crouser,USA,18.12.92,,Eugene,17.07.2022
48,47,22.58,Joseph Kovacs,USA,28.06.89,,Zürich,07.09.2022
49,50,22.57,Ryan Crouser,USA,18.12.92,,Beograd,17.09.2020
50,51,22.56,Tomas Walsh,NZL,01.03.92,,Ad-Dawhah,05.10.2019
51,52,22.55,Randy Barnes,USA,16.06.66,,Westwood,20.05.1990
52,52,22.55,Darlan Romani,BRA,09.04.91,,Palo Alto,30.06.2019
53,52,22.55,Ryan Crouser,USA,18.12.92,,Beograd,17.09.2020
54,52,22.55,Ryan Crouser,USA,18.12.92,,Eugene,18.06.2021
55,56,22.54,Ryan Crouser,USA,18.12.92,,Tokyo,05.08.2021
56,57,22.53,Ryan Crouser,USA,18.12.92,,Chorzów,06.09.2020
57,57,22.53,Ryan Crouser,USA,18.12.92,,Fayetteville,07.05.2021
58,57,22.53,Ryan Crouser,USA,18.12.92,,Zagreb,13.09.2021
59,60,22.52,Ryan Crouser,USA,18.12.92,,Chorzów,06.09.2020
60,60,22.52,Ryan Crouser,USA,18.12.92,,Tucson,20.05.2021
61,62,22.5,Ryan Crouser,USA,18.12.92,,Des Moines,25.08.2020
62,62,22.5,Joseph Kovacs,USA,28.06.89,,Zürich,07.09.2022
63,64,22.49,Adam Nelson,USA,07.07.75,,Gresham,18.05.2002
64,65,22.48,Joseph Kovacs,USA,28.06.89,,Bruxelles,01.09.2022
65,66,22.46,Darlan Romani,BRA,09.04.91,,Palo Alto,30.06.2019
66,66,22.46,Ryan Crouser,USA,18.12.92,,Lausanne,26.08.2021
67,68,22.45,Ulf Timmermann,GER,01.11.62,,Haniá,22.05.1988
68,69,22.44,Randy Barnes,USA,16.06.66,,Westwood,20.05.1990
69,69,22.44,Ryan Crouser,USA,18.12.92,,Rabat,16.07.2017
70,69,22.44,Ryan Crouser,USA,18.12.92,,Des Moines,29.08.2020
71,69,22.44,Ryan Crouser,USA,18.12.92,,Tucson,22.05.2021
