,0,1,2,3,4,5,6,7
0,1,22.82,Ryan Crouser,USA,18.12.92,1,Fayetteville,24.01.2021
1,2,22.66,Randy Barnes,USA,16.06.66,1,Los Angeles,20.01.1989
2,2,22.66,Ryan Crouser,USA,18.12.92,1,Fayetteville,31.01.2021
3,4,22.6,Ryan Crouser,USA,18.12.92,1,Albuquerque,15.02.2020
4,5,22.58,Ryan Crouser,USA,18.12.92,1,Manhattan KS,05.12.2020
5,5,22.58,Ryan Crouser,USA,18.12.92,1,New York City,11.02.2023
6,7,22.55,Ulf Timmermann,GER,01.11.62,1,Senftenberg,11.02.1989
7,8,22.53,Darlan Romani,BRA,09.04.91,1,Beograd,19.03.2022
8,9,22.51,Ryan Crouser,USA,18.12.92,1,Spokane,27.02.2022
9,10,22.44,Ryan Crouser,USA,18.12.92,2,Beograd,19.03.2022
10,11,22.42,Ryan Crouser,USA,18.12.92,1,Des Moines,26.04.2023
11,12,22.4,Adam Nelson,USA,07.07.75,1cA,Fayetteville,15.02.2008
12,13,22.33,Ryan Crouser,USA,18.12.92,1,New York City,09.02.2019
13,14,22.31,Tomas Walsh,NZL,01.03.92,1,Birmingham,03.03.2018
14,14,22.31,Tomas Walsh,NZL,01.03.92,3,Beograd,19.03.2022
15,16,22.26,Werner Günthör,SUI,01.06.61,1,Magglingen,08.02.1987
16,17,22.24,Ulf Timmermann,GER,01.11.62,1,Indianapolis,07.03.1987
17,18,22.23,Ryan Whiting,USA,24.11.86,1,Albuquerque,23.02.2014
18,19,22.22,Ryan Crouser,USA,18.12.92,1,New York City,23.02.2019
19,20,22.19,Ulf Timmermann,GER,01.11.62,1,Liévin,21.02.1987
20,20,22.19,Ryan Crouser,USA,18.12.92,1,New York City,08.02.2020
21,22,22.18,Christian Cantwell,USA,30.09.80,1,Warrensburg,22.02.2008
22,23,22.17,Tomás Stanek,CZE,13.06.91,1,Düsseldorf,06.02.2018
23,24,22.15,Ulf Timmermann,GER,01.11.62,1,Senftenberg,16.02.1985
24,25,22.12,Randy Barnes,USA,16.06.66,1,New York City,03.02.1989
25,26,22.11,Brian Oldfield,USA,01.06.45,1,Daly City,04.04.1975
26,26,22.11,Reese Hoffa,USA,08.10.77,1,Moskva,10.03.2006
27,28,22.09,Mika Halvari,FIN,13.02.70,1,Tampere,07.02.2000
28,29,22.07,Adam Nelson,USA,07.07.75,1,New York City,01.02.2008
29,30,22.06,Zane Weir,ITA,07.09.95,1,Istanbul,03.03.2023
30,31,22.05,Ryan Whiting,USA,24.11.86,1,Sopot,07.03.2014
31,31,22.05,Joseph Kovacs,USA,28.06.89,1,Geneva,13.02.2021
32,33,22.04,Ulf Timmermann,GER,01.11.62,1,Berlin,21.01.1989
33,34,22.03,Ryan Whiting,USA,24.11.86,1,Zürich,28.08.2013
34,35,22.02,George Woods,USA,11.02.43,1,Inglewood,08.02.1974
35,36,22.0,Ulf Timmermann,GER,01.11.62,1,Senftenberg,08.02.1987
36,36,22.0,Ryan Whiting,USA,24.11.86,1,Istanbul,09.03.2012
37,36,22.0,Konrad Bukowiecki,POL,17.03.97,1,Torun,15.02.2018
38,39,21.97,Konrad Bukowiecki,POL,17.03.97,1,Beograd,04.03.2017
39,40,21.95,Christian Cantwell,USA,30.09.80,1,Columbia,21.02.2004
40,40,21.95,Christian Cantwell,USA,30.09.80,1,New York City,29.01.2010
41,42,21.93,Bob Bertemes,LUX,24.05.93,1,Luxembourg,19.02.2023
42,43,21.91,Konrad Bukowiecki,POL,17.03.97,1,Madrid,02.03.2022
43,44,21.9,Tomás Stanek,CZE,13.06.91,2,Istanbul,03.03.2023
44,45,21.89,Randy Barnes,USA,16.06.66,1,Dallas,14.01.1989
45,46,21.88,Christian Cantwell,USA,30.09.80,1,New York City,02.02.2007
46,46,21.88,David Storl,GER,27.07.90,2,Istanbul,09.03.2012
47,46,21.88,Konrad Bukowiecki,POL,17.03.97,1,Ostrava,05.02.2020
48,49,21.87,Brian Oldfield,USA,01.06.45,1,Salt Lake City,21.02.1975
49,49,21.87,Ulf Timmermann,GER,01.11.62,1,Senftenberg,02.02.1985
50,49,21.87,Christian Cantwell,USA,30.09.80,1,Zürich,18.08.2010
51,49,21.87,Reese Hoffa,USA,08.10.77,1,Chemnitz,27.01.2012
52,53,21.86,Tomás Stanek,CZE,13.06.91,1,Torun,08.02.2020
53,54,21.85,Turner Washington,USA,10.02.99,1,Lubbock,13.02.2021
54,55,21.84,Filip Mihaljevic,CRO,31.07.94,1,Beograd,27.02.2020
55,55,21.84,Filip Mihaljevic,CRO,31.07.94,1,Torun,22.02.2022
56,55,21.84,Roman Kokoshko,UKR,16.08.96,3,Istanbul,03.03.2023
57,58,21.83,Aleksandr Bagach,UKR,21.11.66,1,Brovary,21.02.1999
58,58,21.83,John Godina,USA,31.05.72,1,Boston,26.02.2005
