,0,1,2,3,4,5,6
0,1,22.7,Ryan Crouser,USA,18.12.92,Fayetteville,24.01.2021
1,2,22.65,Ryan Crouser,USA,18.12.92,Fayetteville,31.01.2021
2,3,22.5,Ryan Crouser,USA,18.12.92,New York City,11.02.2023
3,4,22.48,Ryan Crouser,USA,18.12.92,Fayetteville,24.01.2021
4,5,22.43,Ryan Crouser,USA,18.12.92,Fayetteville,31.01.2021
5,6,22.39,Ryan Crouser,USA,18.12.92,Spokane,27.02.2022
6,7,22.32,Ryan Crouser,USA,18.12.92,Beograd,19.03.2022
7,8,22.3,Ryan Crouser,USA,18.12.92,Des Moines,26.04.2023
8,9,22.29,Tomas Walsh,NZL,01.03.92,Beograd,19.03.2022
9,10,22.26,Ryan Crouser,USA,18.12.92,Fayetteville,31.01.2021
10,11,22.24,Ryan Crouser,USA,18.12.92,Spokane,27.02.2022
11,12,22.23,Werner Günthör,SUI,01.06.61,Magglingen,08.02.1987
12,13,22.19,Ryan Crouser,USA,18.12.92,Fayetteville,31.01.2021
13,14,22.18,Ryan Crouser,USA,18.12.92,Albuquerque,15.02.2020
14,14,22.18,Darlan Romani,BRA,09.04.91,Beograd,18.03.2022
15,16,22.13,Tomas Walsh,NZL,01.03.92,Birmingham,03.03.2018
16,16,22.13,Tomas Walsh,NZL,01.03.92,Birmingham,03.03.2018
17,18,22.11,Ulf Timmermann,GER,01.11.62,Indianapolis,07.03.1987
18,19,22.07,Christian Cantwell,USA,30.09.80,Warrensburg,22.02.2008
19,20,22.05,Ryan Crouser,USA,18.12.92,Albuquerque,15.02.2020
20,21,22.03,Ryan Crouser,USA,18.12.92,Spokane,27.02.2022
21,22,22.02,Ryan Crouser,USA,18.12.92,Des Moines,26.04.2023
22,23,21.99,Ryan Whiting,USA,24.11.86,Zürich,28.08.2013
23,24,21.98,Christian Cantwell,USA,30.09.80,Warrensburg,22.02.2008
24,24,21.98,Ryan Whiting,USA,24.11.86,Istanbul,09.03.2012
25,24,21.98,Tomás Stanek,CZE,13.06.91,Düsseldorf,06.02.2018
26,24,21.98,Ryan Crouser,USA,18.12.92,New York City,11.02.2023
27,28,21.97,Ulf Timmermann,GER,01.11.62,Senftenberg,08.02.1987
28,28,21.97,Ryan Crouser,USA,18.12.92,Manhattan KS,05.12.2020
29,30,21.96,Ryan Crouser,USA,18.12.92,Manhattan KS,05.12.2020
30,31,21.95,Ryan Whiting,USA,24.11.86,Sopot,07.03.2014
31,31,21.95,Ryan Crouser,USA,18.12.92,New York City,23.02.2019
32,33,21.93,Ulf Timmermann,GER,01.11.62,Senftenberg,16.02.1985
