,0,1,2,3,4,5,6,7,8
0,1,18.43,2.4,Jonathan Edwards,GBR,10.05.66,1,Villeneuve d'Ascq,25.06.1995
1,2,18.20,5.2,Willie Banks,USA,11.03.56,1,Indianapolis,16.07.1988
2,3,18.17,2.1,Mike Conley,USA,05.10.62,1,Barcelona,03.08.1992
3,4,18.08,2.5,Jonathan Edwards,GBR,10.05.66,1,Sheffield,23.07.1995
4,5,18.05,2.4,Will Claye,USA,13.06.91,2,Eugene,27.05.2017
5,6,18.03,2.9,Jonathan Edwards,GBR,10.05.66,1,Gateshead,02.07.1995
6,7,18.01,3.7,Kenny Harrison,USA,13.02.65,1,Atlanta,15.06.1996
7,8,17.97,7.5,Yoelbi Quesada,CUB,04.08.73,1,Madrid,20.06.1995
8,9,17.93,5.2,Charles Simpkins,USA,19.10.63,2,Indianapolis,16.07.1988
9,9,17.93,3.4,Christian Taylor,USA,18.06.90,1,Székesfehérvár,09.07.2019
10,9,17.93,2.5,Jordan Alejandr Díaz,CUB,23.02.01,1,Nerja,26.06.2022
11,12,17.92,3.4,Christian Olsson,SWE,25.01.80,1,Gateshead,13.07.2003
12,13,17.91,3.2,Charles Simpkins,USA,19.10.63,1,Eugene,21.06.1986
13,13,17.91,2.1,Pedro Pablo Pichardo,POR,30.06.93,1,Ad-Dawhah,05.05.2023
14,15,17.86,3.9,Charles Simpkins,USA,19.10.63,1,New Orleans,21.06.1992
15,15,17.86,5.7,Denis Kapustin,RUS,05.10.70,1,Sevilla,05.06.1994
16,15,17.86,2.1,Christian Taylor,USA,18.06.90,1,Monaco,20.07.2018
17,18,17.85,2.1,Christian Taylor,USA,18.06.90,1,Bruxelles,06.09.2019
18,19,17.84,2.3,Mike Conley,USA,05.10.62,2,Eugene,21.06.1986
19,20,17.83,2.5,Hugues Fabrice Zango,BUR,25.06.93,1,Madrid,19.06.2021
20,21,17.82A,3.6,Willie Banks,USA,11.03.56,1,San José,31.05.1986
21,21,17.82,2.5,Nelson Évora,POR,20.04.84,1,Seixal,26.07.2009
22,23,17.81,4.6,Keith Connor,GBR,16.09.57,1,Brisbane,09.10.1982
23,24,17.80,2.3,Christian Taylor,USA,18.06.90,1,Des Moines,11.06.2011
24,24,17.80,2.6,Andy Díaz,CUB,25.12.95,3,Ad-Dawhah,05.05.2023
25,26,17.79,3.3,Jonathan Edwards,GBR,10.05.66,1,Madrid,02.06.1996
26,27,17.76A,2.2,Kenta Bell,USA,16.03.77,1,El Paso,10.04.2004
27,28,17.75,3.0,Gennadiy Valyukevich,BLR,01.06.58,1,Uzhgorod,27.04.1986
28,28,17.75,7.1,Brian Wellman,BER,08.09.67,2,Madrid,20.06.1995
29,30,17.74,3.5,Kenny Harrison,USA,13.02.65,1,Hiroshima,03.05.1989
30,30,17.74,2.7,Donald Scott,USA,23.02.92,1,Des Moines,26.07.2019
31,32,17.73,4.1,Vasiliy Sokov,RUS,07.04.68,1,Riga,03.06.1989
32,33,17.72,3.2,Mike Conley,USA,05.10.62,1,Austin,01.06.1985
33,34,17.71,3.4,Jonathan Edwards,GBR,10.05.66,1,Salamanca,15.07.1999
34,34,17.71,2.4,Marquis Dendy,USA,23.02.92,1,Eugene,12.06.2015
35,34,17.71,2.6,Lázaro Martínez,CUB,11.11.62,4,Ad-Dawhah,05.05.2023
36,37,17.70,2.9,Jonathan Edwards,GBR,10.05.66,1,Edinburgh,02.07.1993
37,37,17.70,2.3,Will Claye,USA,13.06.91,2,Des Moines,26.07.2019
38,39,17.69,2.7,Kenny Harrison,USA,13.02.65,1,Malmö,07.08.1990
39,39,17.69,4.2,Mike Conley,USA,05.10.62,1,Eugene,17.06.1993
40,39,17.69,3.9,Alexis Copello,CUB,12.08.85,1,La Habana,25.04.2009
41,42,17.67,5.0,Mike Conley,USA,05.10.62,1,Salamanca,22.07.1994
42,42,17.67,3.1,Jonathan Edwards,GBR,10.05.66,1,Milano,05.06.2002
43,42,17.67,5.4,Yoandri Betanzos,CUB,15.02.82,1,Bilbao,01.07.2006
44,42,17.67,3.4,Daniele Greco,ITA,01.03.89,1,Bressanone,08.07.2012
45,42,17.67,2.4,Pedro Pablo Pichardo,POR,30.06.93,2,Monaco,20.07.2018
46,47,17.65,9.8,Denis Kapustin,RUS,05.10.70,1,Thessaloníki,23.06.1999
47,48,17.64,3.2,Oleg Protsenko,RUS,11.08.63,1,São Paulo,12.05.1985
48,48,17.64,2.1,Leonid Voloshin,RUS,30.03.66,1,Sevilla,06.06.1992
49,48,17.64,2.9,Teddy Tamgho,FRA,15.06.89,1,Valence,09.07.2010
50,48,17.64,2.1,Christian Taylor,USA,18.06.90,1,Székesfehérvár,02.07.2018
51,52,17.63,4.3,Robert Cannon,USA,09.07.58,3,Indianapolis,16.07.1988
52,52,17.63,2.3,Teddy Tamgho,FRA,15.06.89,1,Montreuil,08.06.2010
53,52,17.63,2.8,Fabrizio Donato,ITA,14.08.76,1,Helsinki,30.06.2012
54,55,17.62,3.3,Mike Conley,USA,05.10.62,4,Indianapolis,16.07.1988
55,55,17.62,2.7,Brian Wellman,BER,08.09.67,2,Göteborg,07.08.1995
56,55,17.62,3.4,Christian Olsson,SWE,25.01.80,2,New York City,12.06.2010
57,55,17.62,2.9,Will Claye,USA,13.06.91,2,Des Moines,11.06.2011
58,59,17.60A,2.2,Willie Banks,USA,11.03.56,2,San José,27.06.1987
59,59,17.60,2.1,Yoelbi Quesada,CUB,04.08.73,1,La Habana,16.05.1993
60,59,17.60,2.4,Phillips Idowu,GBR,30.12.78,1,Haniá,01.06.2009
61,62,17.59A,,Mike Conley,USA,05.10.62,2,San José,31.05.1986
62,62,17.59A,2.3,Charles Simpkins,USA,19.10.63,3,San José,27.06.1987
63,62,17.59,2.1,Jérôme Romain,DMA,12.06.71,3,Göteborg,07.08.1995
64,62,17.59,2.6,Yoelbi Quesada,CUB,04.08.73,4,Göteborg,07.08.1995
65,62,17.59,3.7,Jonathan Edwards,GBR,10.05.66,1,Atlanta,18.05.1996
66,62,17.59,2.8,Teddy Tamgho,FRA,15.06.89,1,Bondoufle,22.05.2011
67,68,17.58,5.2,Al Joyner,USA,19.01.60,5,Indianapolis,16.07.1988
68,68,17.58,2.3,Kenny Harrison,USA,13.02.65,1,Hiroshima,29.04.1992
69,68,17.58A,3.3,Jonathan Edwards,GBR,10.05.66,1,Sestriere,29.07.1995
70,68,17.58,4.4,Kenta Bell,USA,16.03.77,1,Zaragoza,03.06.2006
71,72,17.57,3.0,Khristo Markov,BUL,27.01.65,1,Sofia,24.05.1987
72,72,17.57,2.5,Christian Olsson,SWE,25.01.80,1,Göteborg,02.09.2003
73,74,17.56,3.7,Ron Livers,USA,20.07.55,1,Walnut,17.06.1979
74,74,17.56,4.9,Kenny Harrison,USA,13.02.65,6,Indianapolis,16.07.1988
75,74,17.56A,,Brian Wellman,BER,08.09.67,1,El Paso,13.04.1996
76,74,17.56,2.4,Christian Olsson,SWE,25.01.80,1,Norrtälje,03.07.2006
77,78,17.55,3.6,Zdzislaw Hoffmann,POL,27.08.59,1,Warszawa,09.06.1984
78,78,17.55,2.6,Willie Banks,USA,11.03.56,2,São Paulo,12.05.1985
79,78,17.55,3.5,Leonid Voloshin,RUS,30.03.66,1,Sevilla,05.06.1993
80,78,17.55,2.5,Leevan Sands,BAH,16.08.81,2,London,03.08.2007
81,82,17.54,3.2,Kenneth Lorraway,AUS,06.02.56,2,Brisbane,09.10.1982
82,82,17.54,3.0,Igor Lapshin,BLR,08.08.63,1,Leningrad,12.06.1988
83,82,17.54A,2.2,Mike Conley,USA,05.10.62,1,San José,28.05.1994
84,82,17.54,3.4,Rodrigo Mendes,BRA,21.06.68,q,Sacramento,10.06.2005
85,82,17.54,2.1,Pedro Pablo Pichardo,CUB,30.06.93,1,Toronto,24.07.2015
86,87,17.53,4.8,Ray Kimble,USA,19.04.53,7,Indianapolis,16.07.1988
87,87,17.53A,3.4,Brian Wellman,BER,08.09.67,2,Sestriere,07.08.1996
88,87,17.53,4.2,Jérôme Romain,DMA,12.06.71,1,San Juan,28.06.1997
89,87,17.53,4.5,Jonathan Edwards,GBR,10.05.66,1,Bangor,02.06.2001
90,91,17.52,4.5,Willie Banks,USA,11.03.56,3,Eugene,21.06.1986
91,91,17.52,3.3,Phillips Idowu,GBR,30.12.78,1,Bydgoszcz,03.06.2011
92,91,17.52,2.2,Will Claye,USA,13.06.91,1,Eugene,29.07.2016
93,94,17.51,,Willie Banks,USA,11.03.56,1,Eugene,07.06.1986
94,94,17.51,3.0,Chen Yanping,CHN,17.01.66,1,Beijing,03.10.1990
95,96,17.50,3.0,Lázaro Betancourt,CUB,18.03.63,1,La Habana,22.05.1983
96,96,17.50,4.3,Christian Olsson,SWE,25.01.80,1,Malmö,13.08.2002
97,96,17.50,3.1,Will Claye,USA,13.06.91,1,Chula Vista,22.05.2015
98,99,17.49,4.5,Vladimir Melikhov,RUS,30.03.69,2,Sevilla,05.06.1994
99,99,17.49,3.4,Oleg Sakirkin,KAZ,23.01.66,1,Dijon,12.06.1994
100,99,17.49,3.5,Christian Taylor,USA,18.06.90,1,Eugene,23.06.2011
101,99,17.49,2.1,Teddy Tamgho,FRA,15.06.89,1,Paris,13.07.2013
102,10,17.48A,,Keith Connor,GBR,16.09.57,1,San José,28.05.1983
103,10,17.48,2.9,Georges Sainte-Rose,FRA,03.09.69,1,Montgeron,23.06.1991
104,10,17.47,3.7,Joseph Taiwo,NGR,24.08.59,1,São Paulo,17.05.1992
