,0,1,2,3,4,5,6,7
0,1,18.39,3.7,Jonathan Edwards,GBR,10.05.66,Villeneuve d'Ascq,25.06.1995
1,2,18.06,4.9,Willie Banks,USA,11.03.56,Indianapolis,16.07.1988
2,3,17.90,2.5,Jonathan Edwards,GBR,10.05.66,Villeneuve d'Ascq,25.06.1995
3,4,17.84,2.1,Jonathan Edwards,GBR,10.05.66,Budapest,23.08.1998
4,5,17.82,2.5,Christian Taylor,USA,18.06.90,Eugene,27.05.2017
5,6,17.81,2.1,Jonathan Edwards,GBR,10.05.66,Sheffield,23.07.1995
6,7,17.77,,James Beckford,JAM,09.01.75,Odessa,20.05.1995
7,8,17.75,2.3,Khristo Markov,BUL,27.01.65,Sofia,03.09.1988
8,8,17.75,3.3,Will Claye,USA,13.06.91,Eugene,27.05.2017
9,10,17.72,3.8,Keith Connor,GBR,16.09.57,Brisbane,09.10.1982
10,11,17.70,3.9,Charles Simpkins,USA,19.10.63,Eugene,21.06.1986
11,11,17.70,2.2,Khristo Markov,BUL,27.01.65,Roma,31.08.1987
12,13,17.67,6.1,Yoelbi Quesada,CUB,04.08.73,Madrid,20.06.1995
13,14,17.66,2.6,Christian Taylor,USA,18.06.90,Eugene,27.05.2017
14,14,17.66,3.3,Donald Scott,USA,23.02.92,Des Moines,26.07.2019
15,16,17.65,,Charles Simpkins,USA,19.10.63,New Orleans,21.06.1992
16,17,17.64,2.6,Will Claye,USA,13.06.91,Des Moines,26.07.2019
17,18,17.63,,Mike Conley,USA,05.10.62,New Orleans,21.06.1992
18,18,17.63,4.1,Nelson Évora,POR,20.04.84,Seixal,26.07.2009
19,20,17.62,3.4,Charles Simpkins,USA,19.10.63,Eugene,21.06.1986
20,20,17.62,,Willie Banks,USA,11.03.56,Indianapolis,16.07.1988
21,22,17.61,,Robert Cannon,USA,09.07.58,Indianapolis,16.07.1988
22,23,17.57,2.7,Kenta Bell,USA,16.03.77,Sacramento,17.07.2004
23,24,17.56,,Al Joyner,USA,19.01.60,Indianapolis,16.07.1988
24,25,17.55,,Robert Cannon,USA,09.07.58,Indianapolis,16.07.1988
25,25,17.55,,Mike Conley,USA,05.10.62,Indianapolis,16.07.1988
26,25,17.55,3.9,Leonid Voloshin,RUS,30.03.66,Sevilla,05.06.1993
27,25,17.55,3.1,Yoelbi Quesada,CUB,04.08.73,La Habana,09.03.1996
28,29,17.54,2.8,Mike Conley,USA,05.10.62,Eugene,21.06.1986
29,29,17.54,3.6,Marquis Dendy,USA,23.02.92,Eugene,12.06.2015
30,29,17.54,4.2,Christian Taylor,USA,18.06.90,Eugene,27.05.2017
31,32,17.53,2.5,Teddy Tamgho,FRA,15.06.89,Franconville,23.05.2010
32,33,17.50,,Kenny Harrison,USA,13.02.65,Indianapolis,16.07.1988
33,33,17.50,2.6,Fabrizio Donato,ITA,14.08.76,Bressanone,08.07.2012
34,35,17.49,,Kenny Harrison,USA,13.02.65,Indianapolis,16.07.1988
35,35,17.49,,Kenny Harrison,USA,13.02.65,Malmö,07.08.1990
36,35,17.49,2.6,Omar Craddock,USA,26.04.91,Des Moines,26.07.2019
37,35,17.49,2.4,Hugues Fabrice Zango,BUR,25.06.93,Madrid,19.06.2021
38,39,17.47,,Vladimir Melikhov,RUS,30.03.69,Sevilla,05.06.1994
39,40,17.46,,Gennadiy Valyukevich,BLR,01.06.58,Uzhgorod,27.04.1986
40,40,17.46,7.5,Leonid Voloshin,RUS,30.03.66,Sevilla,05.06.1993
41,42,17.45,3.9,Teddy Tamgho,FRA,15.06.89,Bondoufle,22.05.2011
42,43,17.44,,Yoelbi Quesada,CUB,04.08.73,Madrid,20.06.1995
43,44,17.43A,,Willie Banks,USA,11.03.56,San José,31.05.1986
44,45,17.42,,Kenneth Lorraway,AUS,06.02.56,Brisbane,09.10.1982
45,45,17.42,2.5,Willie Banks,USA,11.03.56,São Paulo,12.05.1985
46,45,17.42,,Gennadiy Valyukevich,BLR,01.06.58,Uzhgorod,27.04.1986
47,45,17.42,3.9,Teddy Tamgho,FRA,15.06.89,Franconville,23.05.2010
48,45,17.42,2.2,Will Claye,USA,13.06.91,Eugene,31.05.2014
49,50,17.41,,Gennadiy Valyukevich,BLR,01.06.58,Uzhgorod,27.04.1986
50,50,17.41,3.1,Charles Simpkins,USA,19.10.63,Eugene,21.06.1986
51,50,17.41,5.8,Mike Conley,USA,05.10.62,Eugene,21.06.1986
52,50,17.41,,Jorge Reyna,CUB,10.01.63,Santiago de Cuba,27.02.1987
53,50,17.41A,,Jonathan Edwards,GBR,10.05.66,Sestriere,29.07.1995
54,50,17.41,3.1,Teddy Tamgho,FRA,15.06.89,Bondoufle,22.05.2011
55,50,17.41,2.3,Will Claye,USA,13.06.91,Des Moines,11.06.2011
56,57,17.40,,Kenneth Lorraway,AUS,06.02.56,Brisbane,09.10.1982
57,57,17.40A,,Mike Conley,USA,05.10.62,San José,31.05.1986
58,57,17.40,,Gennadiy Valyukevich,BLR,01.06.58,Leningrad,07.06.1986
59,57,17.40,5.1,Yoelbi Quesada,CUB,04.08.73,La Habana,09.03.1996
60,61,17.39,2.2,Christian Taylor,USA,18.06.90,Eugene,23.06.2011
61,62,17.38,2.1,Al Joyner,USA,19.01.60,Indianapolis,16.06.1985
62,62,17.38,3.7,Will Claye,USA,13.06.91,Chula Vista,22.05.2015
63,64,17.37A,,Mike Conley,USA,05.10.62,San José,31.05.1986
64,64,17.37,,Khristo Markov,BUL,27.01.65,Sofia,31.05.1987
65,64,17.37,,Ray Kimble,USA,19.04.53,Indianapolis,16.07.1988
66,64,17.37,2.8,Emmanuel Themeje,ITA,09.10.98,Walnut,15.04.2023
67,68,17.36,,Mike Conley,USA,05.10.62,Indianapolis,16.07.1988
68,68,17.36,,Denis Kapustin,RUS,05.10.70,Sevilla,05.06.1994
69,68,17.36,2.1,Phillips Idowu,GBR,30.12.78,Haniá,01.06.2009
70,71,17.35,,Maris Bruziks,LAT,25.08.62,Riga,03.06.1989
71,72,17.34,,Mike Conley,USA,05.10.62,Eugene,02.06.1984
72,72,17.34,4.3,Mike Conley,USA,05.10.62,Roma,31.08.1987
73,72,17.34,,Oleg Sakirkin,KAZ,23.01.66,Gorkiy,23.07.1989
74,72,17.34,,Mike Conley,USA,05.10.62,Stockholm,12.07.1994
75,72,17.34,3.5,Will Claye,USA,13.06.91,Chula Vista,22.05.2015
76,77,17.33,2.3,Will Claye,USA,13.06.91,Eugene,29.07.2016
77,78,17.32A,,Mike Conley,USA,05.10.62,San José,31.05.1986
78,78,17.32,,Mike Conley,USA,05.10.62,Indianapolis,16.07.1988
79,78,17.32,,Vasiliy Sokov,RUS,07.04.68,Kyiv,12.07.1991
80,78,17.32A,,Brian Wellman,BER,08.09.67,Sestriere,07.08.1996
81,78,17.32,3.5,Christian Taylor,USA,18.06.90,Eugene,26.05.2018
82,83,17.31,,Willie Banks,USA,11.03.56,São Paulo,12.05.1985
83,83,17.31,,Oleg Sakirkin,KAZ,23.01.66,Roma,31.08.1987
84,83,17.31,2.4,Phillips Idowu,GBR,30.12.78,Gateshead,31.08.2009
85,83,17.31,3.3,Will Claye,USA,13.06.91,Eugene,09.07.2016
86,87,17.30,,Robert Cannon,USA,09.07.58,Indianapolis,16.07.1988
87,87,17.30,,Igor Lapshin,BLR,08.08.63,Moskva,04.09.1988
88,89,17.29,,Willie Banks,USA,11.03.56,Eugene,21.06.1986
89,89,17.29,,Al Joyner,USA,19.01.60,Indianapolis,16.07.1988
90,89,17.29,,Mike Conley,USA,05.10.62,Vigo,30.06.1989
91,89,17.29,2.2,Phillips Idowu,GBR,30.12.78,Haniá,07.06.2008
92,89,17.29,2.3,Omar Craddock,USA,26.04.91,Eugene,29.07.2016
93,94,17.28,,Willie Banks,USA,11.03.56,Eugene,21.06.1986
94,94,17.28,,Yoelbi Quesada,CUB,04.08.73,La Habana,10.03.1996
95,94,17.28,,Leevan Sands,BAH,16.08.81,Nassau,28.06.2008
96,97,17.27,,Mike Conley,USA,05.10.62,Eugene,21.06.1986
97,97,17.27,4.0,Mike Conley,USA,05.10.62,Eugene,17.06.1993
98,97,17.27,2.9,Jonathan Edwards,GBR,10.05.66,Salamanca,15.07.1999
99,97,17.27,2.9,Brandon Roulhac,USA,13.12.83,Eugene,25.06.2009
100,97,17.27,2.2,Marian Oprea,ROU,06.06.82,Sofia,26.06.2010
101,97,17.27,2.9,Chris Benard,USA,04.04.90,Des Moines,26.07.2019
102,10,17.26,3.6,Mike Conley,USA,05.10.62,Salamanca,22.07.1994
103,10,17.26A,,Jonathan Edwards,GBR,10.05.66,Sestriere,07.08.1996
104,10,17.26A,,Brian Wellman,BER,08.09.67,Sestriere,07.08.1996
105,10,17.26,2.7,Yoandri Betanzos,CUB,15.02.82,La Habana,04.02.2006
106,10,17.26,2.1,Teddy Tamgho,FRA,15.06.89,Villeneuve d'Ascq,24.08.2010
107,10,17.26,2.7,Phillips Idowu,GBR,30.12.78,Lausanne,30.06.2011
