,0,1,2,3,4,5,6,7,8
0,1,57:31,Jacob Kiplimo,UGA,14.11.00,1,Lisboa,,21.11.2021
1,2,57:32,Kibiwott Kandie,KEN,20.06.96,1,Valencia,,06.12.2020
2,3,57:37,Jacob Kiplimo,UGA,14.11.00,2,Valencia,,06.12.2020
3,4,57:49,Rhonex Kipruto,KEN,12.10.99,3,Valencia,,06.12.2020
4,5,57:56,Jacob Kiplimo,UGA,14.11.00,1,Ra's Al Khaymah,,19.02.2022
5,6,57:59,Alexander Mutiso,KEN,10.09.96,4,Valencia,,06.12.2020
6,7,58:01,Geoffrey Kamworor,KEN,28.11.92,1,København,,15.09.2019
7,8,58:02,Sabastine Kimaru,KEN,16.03.95,1,Roma-Ostia Lido,,06.03.2022
8,9,58:07,Abel Kipchumba,KEN,03.02.94,1,Valencia,,24.10.2021
9,10,58:09,Rhonex Kipruto,KEN,12.10.99,2,Valencia,,24.10.2021
10,11,58:10,Kibiwott Kandie,KEN,20.06.96,1,Valencia,,23.10.2022
11,12,58:11,Philemon Kiplimo,KEN,10.10.98,5,Valencia,,06.12.2020
12,13,58:18,Abraham Kiptum,KEN,15.09.89,1,Valencia,,28.10.2018
13,14,58:23,Zersenay Tadese,ERI,08.02.82,1,Lisboa,,21.03.2010
14,15,58:26,Daniel Mateiko,KEN,04.08.98,3,Valencia,,24.10.2021
15,16,58:28,Kennedy Kimutai,KEN,18.06.90,4,Valencia,,24.10.2021
16,17,58:30,Rodgers Chumo,KEN,03.03.98,2,Ra's Al Khaymah,,19.02.2022
17,18,58:31,Zersenay Tadese,ERI,08.02.82,1,Lisboa,,20.03.2011
18,19,58:32,Yomif Kejelcha,ETH,01.08.97,2,Valencia,,23.10.2022
19,20,58:33,Samuel Wanjiru,KEN,10.11.86,1,Den Haag,,17.03.2007
20,20,58:33,Jemal Yimer,ETH,11.09.96,2,Valencia,,28.10.2018
21,22,58:34,Philemon Kiplimo,KEN,10.10.98,5,Valencia,,24.10.2021
22,23,58:35,Kenneth Renju,KEN,96,3,Ra's Al Khaymah,,19.02.2022
23,24,58:36,Seifu Tura,ETH,17.06.97,4,Ra's Al Khaymah,,19.02.2022
24,25,58:38,Kandie Kibiwott,KEN,20.06.96,1,Praha,,05.09.2020
25,26,58:40,Abraham Cheroben,BRN,10.11.92,1,København,,17.09.2017
26,26,58:40,Muktar Edris,ETH,14.01.94,6,Valencia,,24.10.2021
27,26,58:40,Amdework Walelegn,ETH,11.03.99,5,Ra's Al Khaymah,,19.02.2022
28,26,58:40,Daniel Mateiko,KEN,04.08.98,3,Valencia,,23.10.2022
29,30,58:42,Bedan Karoki,KEN,21.08.90,1,Ra's Al Khaymah,,08.02.2018
30,30,58:42,Erick Kiptanui,KEN,19.04.90,1,Berlin,,08.04.2018
31,30,58:42,Stephen Kiprop,KEN,08.09.99,1,Ra's Al Khaymah,,08.02.2019
