,0,1,2,3,4,5,6,7,8
0,1,58:51,Paul Tergat,KEN,17.06.69,1,Milano,,30.03.1996
1,2,59:24,Sammy Lelei,KEN,14.08.64,1,Lisboa,,13.03.1993
2,3,59:42A,Samuel Tsegay Tesfamriam,ERI,24.02.88,1,Keren,,05.01.2014
3,4,59:46,Josephat Kiprono,KEN,12.12.73,2,Milano,,30.03.1996
4,5,60:01A,Ghirmay Ghebreslassie,ERI,14.11.95,2,Keren,,05.01.2014
5,6,60:09,Paul Evans,GBR,13.04.61,1,Marrakesh,,15.01.1995
6,7,60:12,Douglas Wakiihuri,KEN,26.09.63,1,Oslo,,09.09.1989
7,7,60:12,Laban Chege,KEN,10.09.69,2,Marrakesh,,15.01.1995
8,9,60:18A,Nguse Tesfaldet,ERI,10.11.86,3,Keren,,05.01.2014
9,10,60:21,El-Arbi Haman,MAR,66,1,Giulianova,,30.09.2001
10,10,60:21,Matteo Palumbo,ITA,09.09.73,2,Giulianova,,30.09.2001
11,12,60:24,Callum Hawkins,GBR,22.06.92,1,Glasgow,,02.10.2016
12,13,60:30,Jemal Yimer,ETH,11.09.96,1,Larne,,29.08.2021
13,14,60:31,Tesfahun Aklnew Guangul,ETH,29.04.99,2,Larne,,29.08.2021
14,15,60:32,Shadrack Korir,KEN,10.02.96,3,Larne,,29.08.2021
15,16,60:35,Tendai Chimusasa,ZIM,28.01.71,2,Lisboa,,13.03.1993
16,16,60:35,Marc Scott,GBR,21.12.93,4,Larne,,29.08.2021
17,18,60:36,Stephan Freigang,GER,27.09.67,3,Lisboa,,13.03.1993
18,19,60:40,Cornelius Lambregts,NED,04.08.58,1,Den Haag,,19.03.1983
19,19,60:40,Cosmas N'Deti,KEN,24.11.71,4,Lisboa,,13.03.1993
20,21,60:46,Domingos Castro,POR,22.11.63,1,Chihuahua,,09.10.1994
21,21,60:46,Janko Bensa,SRB,28.06.77,1,Beograd,,25.04.1998
22,23,60:47,Boniface Merande,KEN,13.02.62,5,Lisboa,,13.03.1993
23,23,60:47,Antonello Petrei,ITA,24.11.72,3,Giulianova,,30.09.2001
24,25,60:53,Rolando Vera,ECU,27.04.65,2,Chihuahua,,09.10.1994
25,26,60:54,Moses Kipsiro,UGA,02.09.86,2,Glasgow,,02.10.2016
26,27,60:57,Andrew Masai,KEN,13.01.60,3,Milano,,30.03.1996
27,28,60:59,Ismail Mohacht,MAR,,4,Giulianova,,30.09.2001
28,29,61:00,Luca Barzaghi,ITA,01.06.68,6,Lisboa,,13.03.1993
29,30,61:02,Jorge Márquez,MEX,19.03.67,3,Chihuahua,,09.10.1994
30,30,61:02,Bamtebe Kew,ETH,,1,Vadodara,,23.01.2011
31,30,61:02A,Samson Gebreyohanes,ERI,02.07.92,4,Keren,,05.01.2014
32,33,61:05A,Esayas Habtemichael,ERI,86,5,Keren,,05.01.2014
33,34,61:07,James Songok,KEN,23.07.70,4,Milano,,30.03.1996
34,35,61:08A,Goitom Kifle,ERI,03.12.93,6,Keren,,05.01.2014
35,36,61:14A,Tsegay Tuemay,ERI,20.12.95,7,Keren,,05.01.2014
36,37,61:15,Stefano Baldini,ITA,25.05.71,5,Milano,,30.03.1996
37,38,61:16,Alejandro Cruz,MEX,10.02.68,4,Chihuahua,,09.10.1994
38,39,61:17,Mohammed Mourhit,BEL,10.10.70,1,Lisboa,,09.03.1997
39,39,61:17A,Yohannes Ghebregergis,ERI,01.01.89,8,Keren,,05.01.2014
40,41,61:19,Greg van Hest,NED,03.06.73,1,Egmond aan,Zee,10.01.1999
41,42,61:20,Andualem Shiferaw,ETH,05.04.92,1,Vadodara,,05.02.2012
42,43,61:23,Danilo Goffi,ITA,03.12.72,6,Milano,,30.03.1996
43,44,61:24,Ali Wahoudi,MAR,,5,Giulianova,,30.09.2001
44,45,61:27,Ayele Merkebu Birke,ETH,88,2,Vadodara,,05.02.2012
45,46,61:28,Larry Greene,USA,29.02.60,1,Orlando,,08.12.1984
