,index,url,event,mark,event type,sex
0,0,http://www.alltime-athletics.com/m_100ok.htm,100 metres,legal,standard,men
1,1,http://www.alltime-athletics.com/m_200ok.htm,200 metres,legal,standard,men
2,2,http://www.alltime-athletics.com/m100mno.htm,100 metres,non-legal,standard,men
3,3,http://www.alltime-athletics.com/m_200no.htm,200 metres,non-legal,standard,men
4,4,http://www.alltime-athletics.com/m_400ok.htm,400 metres,legal,standard,men
5,5,http://www.alltime-athletics.com/m_800ok.htm,800 metres,legal,standard,men
6,6,http://www.alltime-athletics.com/m_400no.htm,400 metres,non-legal,standard,men
7,7,http://www.alltime-athletics.com/m_800no.htm,800 metres,non-legal,standard,men
8,8,http://www.alltime-athletics.com/m_1500ok.htm,1500 metres,legal,standard,men
9,9,http://www.alltime-athletics.com/m_mileok.htm,1 Mile,legal,standard,men
10,10,http://www.alltime-athletics.com/m_1500no.htm,1500 metres,non-legal,standard,men
11,11,http://www.alltime-athletics.com/m_mileno.htm,1 Mile,non-legal,standard,men
12,12,http://www.alltime-athletics.com/m_3000ok.htm,3000 metres,legal,standard,men
13,13,http://www.alltime-athletics.com/m_3000no.htm,3000 metres,non-legal,standard,men
14,14,http://www.alltime-athletics.com/m_5000ok.htm,5000 metres,legal,standard,men
15,15,http://www.alltime-athletics.com/m_10kok.htm,10000 metres,legal,standard,men
16,16,http://www.alltime-athletics.com/m_5000no.htm,5000 metres,non-legal,standard,men
17,17,http://www.alltime-athletics.com/m_10kno.htm,10000 metres,non-legal,standard,men
18,18,http://www.alltime-athletics.com/mhmaraok.htm,half-marathon,legal,standard,men
19,19,http://www.alltime-athletics.com/mmaraok.htm,marathon,legal,standard,men
20,20,http://www.alltime-athletics.com/mhmarano.htm,half-marathon,non-legal,standard,men
21,21,http://www.alltime-athletics.com/mmarano.htm,marathon,non-legal,standard,men
22,22,http://www.alltime-athletics.com/m3000hok.htm,3000m steeplechase,legal,standard,men
23,23,http://www.alltime-athletics.com/m3000hno.htm,3000m steeplechase,non-legal,standard,men
24,24,http://www.alltime-athletics.com/m_110hok.htm,110m hurdles,legal,standard,men
25,25,http://www.alltime-athletics.com/m_400hok.htm,400m hurdles,legal,standard,men
26,26,http://www.alltime-athletics.com/m_110hno.htm,110m hurdles,non-legal,standard,men
27,27,http://www.alltime-athletics.com/m_400hno.htm,400m hurdles,non-legal,standard,men
28,28,http://www.alltime-athletics.com/m4x100ok.htm,4x100m relay,legal,standard,men
29,29,http://www.alltime-athletics.com/m4x100no.htm,4x100m relay,non-legal,standard,men
30,30,http://www.alltime-athletics.com/m4x400ok.htm,4x400m relay,legal,standard,men
31,31,http://www.alltime-athletics.com/m4x400no.htm,4x400m relay,non-legal,standard,men
32,32,http://www.alltime-athletics.com/mhighok.htm,High jump,legal,standard,men
33,33,http://www.alltime-athletics.com/mpoleok.htm,Pole vault,legal,standard,men
34,34,http://www.alltime-athletics.com/mhighno.htm,High jump,non-legal,standard,men
35,35,http://www.alltime-athletics.com/mpoleno.htm,Pole vault,non-legal,standard,men
36,36,http://www.alltime-athletics.com/mlongok.htm,Long jump,legal,standard,men
37,37,http://www.alltime-athletics.com/mtripok.htm,Triple jump,legal,standard,men
38,38,http://www.alltime-athletics.com/mlongno.htm,Long jump,non-legal,standard,men
39,39,http://www.alltime-athletics.com/mtripno.htm,Triple jump,non-legal,standard,men
40,40,http://www.alltime-athletics.com/mshotok.htm,Shot put,legal,standard,men
41,41,http://www.alltime-athletics.com/mdiscok.htm,Discus throw,legal,standard,men
42,42,http://www.alltime-athletics.com/mshotno.htm,Shot put,non-legal,standard,men
