,0,1,2,3,4,5,6,7
0,1,49:48+,Ruth Chepngetich,KEN,08.08.94,1,Chicago,09.10.2022
1,2,50:01+,Paula Radcliffe,GBR,17.12.73,1,Newcastle-South Shields,21.09.2003
2,3,50:05+,Mary Keitany,KEN,18.01.82,1,Ra's Al Khaymah,18.02.2011
3,4,50:38+,Lucy Kabuu,KEN,24.03.84,1,Newcastle-South Shields,18.09.2011
4,5,50:39,Linet Masai,KEN,05.12.89,1,Amsterdam - Zaandam,20.09.2009
5,6,50:42,Margaret Kipkemboi,KEN,09.02.93,1,Amsterdam - Zaandam,17.09.2022
6,7,50:43,Eilish McColgan,GBR,25.11.90,1,Portsmouth,17.10.2021
7,8,50:45,Lonah Chemtai Salpeter,ISR,12.12.88,1,Amsterdam - Zaandam,23.09.2018
8,8,50:45,Sharon Kemboi,KEN,,2,Amsterdam - Zaandam,17.09.2022
9,10,50:46,Dibabe Kuma,ETH,14.09.96,2,Amsterdam - Zaandam,23.09.2018
10,11,50:48+,Caroline Kipkirui,KEN,26.05.94,1=,London,23.04.2017
11,11,50:48+,Mary Keitany,KEN,18.01.82,1=,London,23.04.2017
12,13,50:49,Caroline Nyaga,KEN,10.07.93,3,Amsterdam - Zaandam,17.09.2022
13,14,50:50,Lornah Kiplagat,NED,01.05.74,1,Amsterdam - Zaandam,17.09.2006
14,15,50:54,Lornah Kiplagat,KEN,20.03.74,1,Amsterdam - Zaandam,22.09.2002
15,16,50:59+,Kara Goucher,USA,09.07.78,1,Newcastle-South Shields,30.09.2007
16,17,51:00,Sonia O'Sullivan,IRL,28.11.69,1,Portsmouth,08.09.2002
17,18,51:03+,Werknesh Kidane,ETH,21.11.81,1=,Philadelphia,18.09.2011
18,18,51:03+,Kimberley Smith,NZL,19.11.81,1=,Philadelphia,18.09.2011
19,20,51:08+,Paula Radcliffe,GBR,17.12.73,1,Newcastle-South Shields,06.10.2002
20,20,51:08,Isabella Ochichi,KEN,28.10.79,1,Amsterdam - Zaandam,18.09.2005
21,22,51:11,Paula Radcliffe,GBR,17.12.73,1,Portsmouth,26.10.2008
22,23,51:13,Susan Chepkemei,KEN,25.06.75,2,Amsterdam - Zaandam,18.09.2005
23,24,51:16,Colleen de Reuck,RSA,13.04.64,1,Washington DC,05.04.1998
24,24,51:16+,Derartu Tulu,ETH,21.03.72,1,Newcastle-South Shields,18.09.2005
25,26,51:17,Vivian Cheruiyot,KEN,11.09.83,1,Portsmouth,25.10.2015
26,27,51:18+,Edith Masai,KEN,04.04.67,1,Berlin,02.04.2006
27,28,51:21,Hilda Kibet,NED,27.03.81,2,Amsterdam - Zaandam,20.09.2009
28,28,51:21+,Almaz Ayana,ETH,21.11.91,1=,Newcastle,11.09.2022
29,28,51:21+,Peres Jepchirchir,KEN,27.09.93,1=,Newcastle,11.09.2022
30,28,51:21+,Helen Obiri,KEN,13.12.89,1=,Newcastle,11.09.2022
31,32,51:22+,Paula Radcliffe,GBR,17.12.73,2,Newcastle-South Shields,30.09.2007
32,32,51:22,Peninah Arusei,KEN,23.02.79,1,Amsterdam - Zaandam,21.09.2008
33,34,51:23,Susan Chepkemei,KEN,25.06.75,1,Amsterdam - Zaandam,23.09.2001
34,34,51:23+,Hiwot Gebrekidan,ETH,11.05.95,4,Newcastle,11.09.2022
35,36,51:26,Peninah Arusei,KEN,23.02.79,3,Amsterdam - Zaandam,20.09.2009
36,37,51:27,Derartu Tulu,ETH,21.03.72,1,Portsmouth,09.10.2005
37,38,51:28+,Teyiba Erkasso,ETH,30.10.82,1=,Ra's Al Khaymah,19.02.2010
38,38,51:28+,Elvan Abeylegesse,TUR,11.09.82,1=,Ra's Al Khaymah,19.02.2010
39,38,51:28+,Mary Keitany,KEN,18.01.82,1,New York City,06.11.2011
40,41,51:29+,Hurssa Mare Dibaba,ETH,20.10.89,3=,Ra's Al Khaymah,19.02.2010
41,41,51:29+,Aselefech Mergia,ETH,23.01.85,3=,Ra's Al Khaymah,19.02.2010
42,43,51:30,Getenesh Wami,ETH,11.12.74,3,Amsterdam - Zaandam,18.09.2005
43,43,51:30,Hilda Kibet,NED,27.03.81,1,Amsterdam - Zaandam,19.09.2010
44,43,51:30,Joyce Chepkirui,KEN,20.08.88,1,Amsterdam - Zaandam,20.09.2015
45,43,51:30,Susan Krumins,NED,08.07.86,3,Amsterdam - Zaandam,23.09.2018
46,47,51:31+,Deena Kastor,USA,14.02.73,2,Berlin,02.04.2006
47,48,51:33,Rose Cheruiyot,KEN,21.07.76,4,Amsterdam - Zaandam,18.09.2005
48,48,51:33,Joyce Chepkirui,KEN,20.08.88,1,Amsterdam - Zaandam,22.09.2013
49,48,51:33,Filomena Chepchirchir,KEN,01.12.81,2,Amsterdam - Zaandam,22.09.2013
50,51,51:34,Jackline Chepngeno,KEN,16.01.93,2,Amsterdam - Zaandam,20.09.2015
51,52,51:36+,Deena Kastor,USA,14.02.73,1,Philadelphia,18.09.2005
52,52,51:36,Mestawat Tufa,ETH,14.09.83,2,Amsterdam - Zaandam,21.09.2008
53,52,51:36+,Dire Tune,ETH,19.06.85,5,Ra's Al Khaymah,19.02.2010
54,52,51:36+,Meseret Defar,ETH,19.11.83,1=,Philadelphia,19.09.2010
55,52,51:36+,Werknesh Kidane,ETH,21.11.81,1=,Philadelphia,19.09.2010
56,57,51:37+,Lineth Chepkurui,KEN,23.02.88,3,Philadelphia,19.09.2010
57,58,51:38,Eilish McColgan,GBR,25.11.90,1,Portsmouth,20.10.2019
58,59,51:40,Rose Cheruiyot,KEN,21.07.76,1,Washington DC,09.04.1995
59,59,51:40,Belaynesh Fikadu,ETH,28.03.87,4,Amsterdam - Zaandam,20.09.2009
60,61,51:41,Jill Hunter,GBR,14.10.66,1,New York City,20.04.1991
61,62,51:42,Fiona O'Keeffe,USA,24.05.98,1,Minneapolis,02.10.2022
62,63,51:43+,Keira D'Amato,USA,21.10.84,1,Hardeeville,05.12.2021
63,64,51:44,Teyiba Erkasso,ETH,30.10.82,1,Washington DC,01.04.2007
64,64,51:44+,Shalane Flanagan,USA,07.08.81,4,Philadelphia,19.09.2010
65,64,51:44,Molly Huddle,USA,31.08.84,1,Minneapolis-St. Paul,04.10.2015
66,67,51:46,Isabella Ochichi,KEN,28.10.79,2,Amsterdam - Zaandam,23.09.2001
67,68,51:47,Cathy O'Brien,USA,19.07.67,1,Flint,26.08.1989
68,69,51:48+,Susan Chepkemei,KEN,25.06.75,1,Newcastle-South Shields,16.09.2001
69,69,51:48+,Paula Radcliffe,GBR,17.12.73,1,London,13.04.2003
70,71,51:49,Hellen Kimaiyo,KEN,08.09.68,1,Amsterdam - Zaandam,17.09.1995
71,71,51:49,Tirunesh Dibaba,ETH,01.10.85,1,Portsmouth,23.10.2016
72,73,51:50,Derartu Tulu,ETH,21.03.72,2,Amsterdam - Zaandam,17.09.1995
