,0,1,2,3,4,5,6,7
0,1,30:46,Ingrid Kristiansen,NOR,21.03.56,1,København,21.09.1986
1,2,30:47,Ingrid Kristiansen,NOR,21.03.56,1,Bergen,25.05.1986
2,3,31:14,Paskalia Kipkoech,KEN,22.12.88,1,Casablanca,06.03.2016
3,4,31:21,Bezunesh Getachew,ETH,18.04.97,2,Casablanca,06.03.2016
4,5,31:26,Meraf Bahta,SWE,24.06.89,3,Casablanca,06.03.2016
5,6,31:27,Hellen Kimaiyo,KEN,08.09.68,1,Ratingen,29.12.1991
6,6,31:27,Hajiba Hasnaoui,MAR,28.04.88,4,Casablanca,06.03.2016
7,8,31:42A,Florence Kiplagat,KEN,27.02.87,1,Nairobi,17.08.2014
8,9,31:44,Amane Gobena,ETH,01.09.82,1,Abu Dhabi,31.01.2014
9,10,31:45A,Irene Cheptai,KEN,04.02.92,2,Nairobi,17.08.2014
10,11,31:46A,Alice Nawowuna,KEN,02.01.94,3,Nairobi,17.08.2014
