,0,1,2,3,4,5,6,7
0,1,5:52.80,Gesa Felicitas Krause,GER,03.08.92,1,Berlin,01.09.2019
1,2,5:56.28,Marusa Mismas-Zrimsek,SLO,24.11.94,1,Ljubljana,16.07.2020
2,3,5:56.83,Winfred Yavi,BRN,31.12.99,2,Berlin,01.09.2019
3,4,6:00.07,Luiza Gega,ALB,05.11.88,3,Berlin,01.09.2019
4,5,6:02.16,Virginia Nyambura,KEN,20.07.93,1,Berlin,06.09.2015
5,6,6:02.47,Beatrice Chepkoech,KEN,06.07.91,2,Berlin,06.09.2015
6,7,6:03.38,Wioletta Frankiewicz,POL,09.06.77,1,Gdánsk,15.07.2006
7,8,6:04.20,Gesa Felicitas Krause,GER,03.08.92,3,Berlin,06.09.2015
8,9,6:04.46,Dorcus Inzikuru,UGA,02.02.82,1,Milano,01.06.2005
9,10,6:07.01,Fancy Cherono,KEN,02.08.01,4,Berlin,01.09.2019
10,11,6:07.72,Johanna Kallabis,GER,18.02.05,1,Trier,09.09.2022
11,12,6:08.16,Aimee Pratt,GBR,03.10.97,1,Birmingham,14.05.2022
12,13,6:09.46,Gesa Felicitas Krause,GER,03.08.92,1,Rehlingen,16.05.2016
13,14,6:09.48,Viktória Wagner-Gyürkes,HUN,15.10.92,5,Berlin,01.09.2019
14,14,6:09.48,Genevieve Gregson,AUS,04.08.89,6,Berlin,01.09.2019
15,16,6:09.59,Joana Soares,POR,08.09.93,1rA,Lisboa,08.08.2020
16,17,6:10.82,Magdalene Masai,KEN,04.04.93,4,Berlin,06.09.2015
17,18,6:10.91,Gesa Felicitas Krause,GER,03.08.92,1,Trier,17.09.2021
18,19,6:11.63,Lívia Tóth,HUN,07.01.80,2,Gdánsk,15.07.2006
19,20,6:11.79,Elizabeth Bird,GBR,04.10.94,1,Cergy-Pontoise,15.08.2020
20,21,6:11.83,Korahubish Itaa,ETH,28.02.92,1,Bressanone,10.07.2009
21,22,6:11.84,Marina Pluzhnikova,RUS,25.02.63,1,Sankt Peterburg,25.07.1994
22,23,6:11.90,Lucia Muangi,KEN,26.06.92,2,Bressanone,10.07.2009
23,24,6:12.0A,Rosefline Chepngetich,KEN,17.06.97,1,Nairobi,11.06.2013
24,25,6:12.72,Viktória Wagner-Gyürkes,HUN,15.10.92,1,Budapest,26.05.2019
25,26,6:12.80,Anna Tropina,RUS,03.11.98,1,Chelyabinsk,27.08.2020
26,27,6:13.03,Irene Sánchez-Escribano,ESP,25.09.92,2,Cergy-Pontoise,15.08.2020
27,28,6:13.50,Eilish Flanagan,IRL,02.05.97,1,Dublin,13.06.2021
28,29,6:13.97,Yekaterina Doseykina,RUS,30.03.90,1,Moskva,17.07.2014
29,30,6:14.20,Kinga Królik,POL,26.09.99,2,Trier,17.09.2021
30,31,6:14.28,Belén Casetta,ARG,26.09.94,1,Concepción del Uruguay,02.04.2022
31,32,6:14.34,Tigist Mekonen,BRN,07.07.97,5,Berlin,06.09.2015
32,33,6:14.52,Svetlana Rogova,RUS,04.04.67,1,Moskva,11.06.1992
33,34,6:14.60,Rosefline Chepngetich,KEN,17.06.97,1,Donetsk,14.07.2013
34,35,6:15.12,Daisy Jepkemei,KEN,13.02.96,2,Donetsk,14.07.2013
35,36,6:15.28,Elena Burkard,GER,10.02.92,1,Pliezhausen,08.05.2021
36,37,6:15.46,Viktória Wagner-Gyürkes,HUN,15.10.92,1,Györ,19.05.2018
37,38,6:15.52,Gesa Felicitas Krause,GER,03.08.92,1,Pliezhausen,17.05.2015
38,39,6:15.60,Sigrid Vanden Bempt,BEL,10.02.81,1,Huizingen,17.08.2008
39,40,6:15.90,Antje Möldner-Schmidt,GER,13.06.84,1,Pliezhausen,17.05.2009
40,41,6:16.19A,Sandrafelis Chebet,KEN,20.01.98,1,Nairobi,17.06.2015
41,42,6:16.25,Birtukan Fente Alemu,ETH,18.06.89,6,Berlin,06.09.2015
42,43,6:16.32,Alicja Konieczek,POL,02.11.94,2,Trier,09.09.2022
43,44,6:16.41,Marina Pluzhnikova,RUS,25.02.63,1,Kyiv,02.08.1988
44,44,6:16.41,Norah Jeruto Tanui,KEN,02.10.95,1,Villeneuve d'Ascq,10.07.2011
45,46,6:16.46,Michele Finn,IRL,16.12.89,1,Barcelona,22.09.2020
46,47,6:16.49,Yelena Motalova,RUS,28.01.71,1,Moskva,02.08.1998
47,48,6:16.52,Michele Finn,IRL,16.12.89,1,Milano,04.09.2021
48,49,6:16.53,Lea Meyer,GER,16.09.97,1,Poznan,27.05.2022
49,50,6:16.54,Viktoriya Ivanova,RUS,02.03.88,1,Moskva,01.07.2016
50,51,6:16.58,Cristina Casandra,ROU,21.10.77,2,Milano,01.06.2005
51,52,6:16.59,Alycia Butterworth,CAN,01.10.92,1,Burnaby,29.05.2021
52,53,6:16.60,Ophélie Claude-Boxberger,FRA,18.10.88,1,Pliezhausen,13.05.2018
53,54,6:16.67,Michele Finn,IRL,16.12.89,7,Berlin,01.09.2019
54,55,6:16.74,Svetlana Rogova,RUS,04.04.67,2,Moskva,02.08.1998
55,55,6:16.74,Flavie Renouard,FRA,10.09.00,3,Cergy-Pontoise,15.08.2020
56,57,6:16.83,Halima Hassen,ETH,10.11.92,3,Bressanone,10.07.2009
57,58,6:16.86,Genevieve Gregson,AUS,04.08.89,7,Berlin,06.09.2015
