,0,1,2,3,4,5,6,7
0,1,5:45.09,Winfred Yavi,BRN,31.12.99,1,Liévin,09.02.2021
1,2,5:47.79,Marusa Mismas-Zrimsek,SLO,24.11.94,1,Liévin,19.02.2020
2,3,5:48.68,Winfred Yavi,BRN,31.12.99,2,Liévin,19.02.2020
3,4,5:48.71,Marusa Mismas-Zrimsek,SLO,24.11.94,2,Liévin,09.02.2021
4,5,6:00.31,Mercy Chepkirui,KEN,16.09.00,3,Liévin,19.02.2020
5,6,6:01.27,Rosefline Chepngetich,KEN,17.06.97,4,Liévin,19.02.2020
6,7,6:02.60,Gesa Felicitas Krause,GER,03.08.92,1,Dortmund,07.02.2021
7,8,6:03.39,Lea Meyer,GER,16.09.97,2,Dortmund,07.02.2021
8,9,6:05.29,Mariya Bykova,RUS,09.11.89,1,Belgorod,22.01.2013
9,10,6:06.11,Yelena Orlova,RUS,03.02.70,1,Moskva,12.02.2012
10,11,6:07.40,Olga Vovk,RUS,13.02.93,1,Orenburg,30.01.2016
11,11,6:07.40,Claire Palou,FRA,26.12.01,3,Dortmund,07.02.2021
12,13,6:08.59,Svetlana Pospelyova,RUS,11.03.69,1,Moskva,23.02.1996
13,14,6:09.13,Rimma Rodko,RUS,04.11.87,1r2,Moskva,13.02.2013
14,15,6:09.16,Yelena Motalova,RUS,28.01.71,1,Moskva,18.02.1999
15,16,6:09.74,Olga Yegorova,RUS,28.03.72,2,Moskva,23.02.1996
16,17,6:10.11,Fancy Cherono,KEN,02.08.01,3,Liévin,09.02.2021
17,18,6:10.12,Aleksandra Gulyayeva,RUS,30.04.94,2,Orenburg,30.01.2016
18,19,6:10.63,Yuliya Mochalova,RUS,26.05.87,1,Volgograd,05.02.2006
19,20,6:10.99,Mercy Chepkirui,KEN,16.09.00,4,Liévin,09.02.2021
20,21,6:11.29,Olga Tarantinova,RUS,28.11.87,2,Belgorod,22.01.2013
21,22,6:11.45,Anastasiya Puzakova,BLR,12.12.93,1,Mogilyov,25.01.2017
22,23,6:11.57,Albina Chinchikeyeva,RUS,17.02.92,1,Novocheboksarsk,11.01.2014
23,24,6:12.03,Viktoriya Ivanova,RUS,02.03.88,2,Novocheboksarsk,11.01.2014
24,25,6:12.73,Lyudmila Lebedeva,RUS,23.05.90,3,Novocheboksarsk,11.01.2014
25,26,6:12.74,Marina Pluzhnikova,RUS,25.02.63,3,Moskva,23.02.1996
26,27,6:12.76,Yevdokiya Bukina,RUS,10.02.93,2r2,Moskva,13.02.2013
27,28,6:13.71,Yelena Orlova,RUS,30.05.80,4,Novocheboksarsk,11.01.2014
28,29,6:13.77,Fancy Cherono,KEN,02.08.01,5,Liévin,19.02.2020
29,30,6:13.98,Yelena Orlova,RUS,30.05.80,1,Moskva,23.02.2012
30,31,6:14.40,Olga Tarantinova,RUS,28.11.87,1,Smolensk,17.01.2015
31,32,6:15.10,Svetlana Rogova,RUS,04.04.67,1,Moskva,28.02.1993
32,33,6:15.19,Albina Chinchikeyeva,RUS,17.02.92,1,Moskva,26.01.2013
33,34,6:15.32,Albina Chinchikeyeva,RUS,17.02.92,1,Volgograd,23.02.2013
34,35,6:15.35,Alexa Lemitre,FRA,10.04.98,5,Liévin,09.02.2021
35,36,6:15.83,Viktoriya Ivanova,RUS,02.03.88,2,Volgograd,23.02.2013
36,37,6:15.97,Natalya Aristarkhova,RUS,31.10.89,2,Moskva,23.02.2012
37,38,6:16.37,Lyudmila Kuropatkina,RUS,66,1,Volgograd,25.02.1995
38,39,6:16.61,Mariya Bykova,RUS,09.11.89,3r2,Moskva,13.02.2013
39,40,6:16.71,Yelena Strunina,RUS,01.06.87,3,Belgorod,22.01.2013
40,41,6:16.84,Yekaterina Rogozina,RUS,21.12.89,1r1,Moskva,13.02.2013
41,42,6:16.85,Svetlana Rogova,RUS,04.04.67,1,Moskva,13.02.1998
42,43,6:17.07,Marina Pluzhnikova,RUS,25.02.63,2,Volgograd,25.02.1995
43,44,6:17.31,Svetlana Berdysheva,RUS,13.05.77,1,Volgograd,05.02.2000
44,45,6:17.67,Alexa Lemitre,FRA,10.04.98,4,Dortmund,07.02.2021
45,46,6:17.71,Yekaterina Sokolenko,RUS,13.09.92,3,Volgograd,23.02.2013
46,47,6:17.82,Natalya Tarantinova,RUS,28.11.87,4r2,Moskva,13.02.2013
47,48,6:17.95,Yekaterina Volkova,RUS,16.02.78,2,Volgograd,05.02.2000
48,49,6:17.96,Natalya Cherepanova,RUS,09.03.67,4,Moskva,23.02.1996
49,50,6:18.36,Olga Derevyeva,RUS,05.04.85,1,Krasnodar,18.01.2014
50,51,6:18.57,Svetlana Rogova,RUS,04.04.67,5,Moskva,23.02.1996
51,52,6:18.62,Olga Kiryakova,RUS,08.02.90,3,Moskva,23.02.2012
52,53,6:18.64,Olga Tarantinova,RUS,28.11.87,1,Moskva,30.01.2011
53,54,6:19.5,Yekaterina Doseykina,RUS,30.03.90,2,Smolensk,17.01.2015
54,54,6:19.50,Olga Stefanishina,UKR,21.11.61,1,Kyiv,18.01.1992
55,56,6:19.89,Olesya Tyurina,RUS,03.09.80,1,Sankt Peterburg,23.12.2007
56,57,6:20.06,Agnes Thurid Gers,GER,04.08.97,5,Dortmund,07.02.2021
57,58,6:20.12,Lyudmila Kuropatkina,RUS,66,1,Lipetsk,27.02.1994
58,59,6:20.13,Olga Vovk,RUS,13.02.93,1u23,Krasnodar,18.01.2014
59,60,6:20.17,Rimma Ulyanova,RUS,10.01.74,2,Moskva,13.02.1998
60,61,6:20.43,Natalya Tarantinova,RUS,28.11.87,2,Moskva,30.01.2011
61,62,6:20.59,Lyudmila Kuropatkina,RUS,66,6,Moskva,23.02.1996
62,63,6:20.87,Svetlana Sayfusheva,RUS,15.04.69,2,Volgograd,21.02.1997
63,64,6:20.97,Viktoria Ivanova,RUS,21.11.91,1,Novocheboksarsk,17.01.2015
64,65,6:21.13,Lyudmila Kuropatkina,RUS,66,2,Moskva,28.02.1993
65,66,6:21.74,Yelena Strunina,RUS,01.06.87,5r2,Moskva,13.02.2013
66,67,6:21.88,Albina Chinchikeyeva,RUS,17.02.92,1,Novocheboksarsk,12.01.2013
67,68,6:21.96,Olga Kiryakova,RUS,08.02.90,1,Saransk,03.03.2012
68,69,6:22.0,Lyudmila Pushkina,UKR,02.10.65,1,Kyiv,13.02.1993
69,70,6:22.31,Anastasiya Puzakova,BLR,12.12.93,1,Minsk,23.01.2015
70,71,6:22.37,Lyudmila Pushkina,UKR,02.10.65,2,Moskva,02.02.1992
