,0,1,2,3,4,5,6,7,8
0,1,59:46+,Letesenbet Gidey,ETH,20.03.98,1,Valencia,,24.10.2021
1,2,60:35+,Yalemzerf Yehualaw,ETH,03.08.99,2,Valencia,,24.10.2021
2,3,61:04+,Helen Obiri,KEN,13.12.89,1=,Ra's Al Khaymah,,19.02.2022
3,3,61:04+,Girmawit Gebrzihair,ETH,21.11.01,1=,Ra's Al Khaymah,,19.02.2022
4,5,61:06+,Yalemzerf Yehualaw,ETH,03.08.99,1,Larne,,30.08.2022
5,6,61:11+,Ababel Yeshaneh,ETH,22.07.91,1,Ra's Al Khaymah,,21.02.2020
6,7,61:16+,Sheila Chepkirui,KEN,27.12.90,3,Ra's Al Khaymah,,19.02.2022
7,7,61:16+,Helen Obiri,KEN,13.12.89,1,Istanbul,,27.03.2022
8,9,61:19+,Irene Kimais,KEN,10.10.98,1,Barcelona,,19.02.2023
9,10,61:22+,Joyciline Jepkosgei,KEN,08.12.93,2,Barcelona,,19.02.2023
10,11,61:25+,Joyciline Jepkosgei,KEN,08.12.93,1,Praha,,01.04.2017
11,12,61:28+,Joyciline Jepkosgei,KEN,08.12.93,1,Valencia,,22.10.2017
12,13,61:29+,Brigid Kosgei,KEN,20.02.94,2,Ra's Al Khaymah,,21.02.2020
13,14,61:34+,Mary Keitany,KEN,18.01.82,1,Ra's Al Khaymah,,08.02.2018
14,15,61:35+,Fancy Chemutai,KEN,20.03.95,2,Ra's Al Khaymah,,08.02.2018
15,16,61:37+,Sheila Chepkirui,KEN,27.12.90,3,Valencia,,24.10.2021
16,17,61:40+,Peres Jepchirchir,KEN,27.09.93,1,Ra's Al Khaymah,,10.02.2017
17,17,61:40+,Caroline Kipkirui,KEN,26.05.94,3,Ra's Al Khaymah,,08.02.2018
18,17,61:40+,Tsehay Gemechu,ETH,12.12.98,2,Larne,,30.08.2022
19,20,61:44+,Joan Melly Chelimo,KEN,10.11.90,1,Praha,,07.04.2018
20,21,61:45+,Vicoty Chepngeno,KEN,12.11.93,1,Houston,,16.01.2022
21,22,61:50+,Violah Jepchumba,KEN,23.10.90,2,Praha,,01.04.2017
22,23,61:51+,Tsehay Gemechu,ETH,12.12.98,1,København,,19.09.2021
23,24,61:52+,Mary Keitany,KEN,18.01.82,2,Ra's Al Khaymah,,10.02.2017
24,25,61:53+,Florence Kiplagat,KEN,27.02.87,1,Barcelona,,15.02.2015
25,26,61:56+,Florence Kiplagat,KEN,27.02.87,1,Barcelona,,16.02.2014
26,26,61:56+,Sifan Hassan,NED,01.01.93,1,København,,16.09.2018
27,28,62:00+,Fancy Chemutai,KEN,20.03.95,2,Valencia,,22.10.2017
28,28,62:00+,Senbere Teferi,ETH,03.05.95,1,Valencia,,27.10.2019
29,28,62:00+,Genzebe Dibaba,ETH,08.02.91,1c1,Valencia,,06.12.2020
30,31,62:03+,Judith Jeptum,KEN,12.12.95,4,Ra's Al Khaymah,,13.02.2022
31,32,62:04+,Peres Jepchirchir,KEN,27.09.93,1,Gdynia,,17.10.2020
32,32,62:04+,Yalemzerf Yehualaw,ETH,03.08.99,2,Gdynia,,17.10.2020
33,32,62:04+,Melat Kejeta,GER,27.09.92,3,Gdynia,,17.10.2020
34,32,62:04+,Almaz Ayana,ETH,21.11.91,1,Lisboa,,12.03.2023
35,36,62:09+,Catherine Relin,KEN,10.05.02,3,Barcelona,,19.02.2023
