,0,1,2,3,4,5,6,7
0,1,34.41,Shaunae Miller-Uibo,BAH,15.04.94,1rA,Ostrava,20.06.2019
1,2,34.60A,Beatrice Masilingi,NAM,10.04.03,1,Pretoria,18.02.2023
2,3,35.16,Marileidy Paulino,DOM,25.10.96,1,Carolina,17.03.2023
3,4,35.30A,Ana Guevara,MEX,04.03.77,1,Ciudad de México,03.05.2003
4,5,35.46,Kathy Cook,GBR,03.05.60,1,London,18.08.1984
5,5,35.46,Chandra Cheeseborough,USA,10.01.59,2,London,18.08.1984
6,7,35.51,Kathy Cook,GBR,03.05.60,1,London,09.09.1983
7,8,35.70,Irena Szewinska,POL,24.05.46,1,London,04.07.1975
8,8,35.70,Léa Sprunger,SUI,05.03.90,1,Langenthal,25.05.2017
9,10,35.71,Donna Fraser,GBR,07.11.72,1,Gateshead,28.08.2000
10,11,35.74,Courtney Okolo,USA,15.03.94,1,Houston,23.07.2016
11,12,35.81,Silke Knoll,GER,21.02.67,1,Olpe,19.05.1990
12,13,35.82,Cydonie Mothersill,CAY,19.03.78,1r3,Sydney,14.09.2000
13,14,35.91,Brittany Brown,USA,18.04.95,2rA,Ostrava,20.06.2019
14,15,35.92,Ana Guevara,MEX,04.03.77,1,Gateshead,19.08.2001
15,16,35.99,Merlene Ottey,JAM,10.05.60,3,London,18.08.1984
16,17,36.00,Katharine Merry,GBR,21.09.74,2,Gateshead,28.08.2000
17,17,36.00,LaTasha Colander,USA,23.08.76,3,Gateshead,28.08.2000
18,19,36.01,Michelle Scutt,GBR,17.06.60,1,London,13.07.1980
19,20,36.07,Jearl Miles-Clark,USA,04.09.66,1r4,Sydney,14.09.2000
20,21,36.08,Cydonie Mothersill,CAY,19.03.78,2,Gateshead,19.08.2001
21,22,36.10,Kaltouma Nadjina,CHA,16.11.76,3,Gateshead,19.08.2001
22,23,36.11,Ana Guevara,MEX,04.03.77,1,Ljubljana,10.08.2004
23,24,36.12,Jaide Stepter Baynes,USA,25.04.94,3rA,Ostrava,20.06.2019
24,25,36.20A,Ionela Târlea,ROU,09.02.76,2,Ciudad de México,03.05.2003
25,26,36.22,Yelena Rupasova,RUS,68,1,Bad Homburg,24.05.1992
26,27,36.24,Nicky van Leuveren,NED,25.05.90,1r3,Lisse,07.05.2016
27,28,36.25,Fatima Yusuf,NGR,02.05.71,1,Siderno,23.09.1990
28,29,36.27,Léa Sprunger,SUI,05.03.90,1,Langenthal,05.05.2016
29,30,36.29,Iolanda Oanta,ROU,11.10.65,1,Bucuresti,14.05.1989
30,30,36.29,Dee Dee Trotter,USA,08.12.82,1,Atlanta,16.05.2014
31,32,36.30,Manuela Levorato,ITA,16.03.77,1,Viareggio,22.08.2000
32,33,36.33,Silke Knoll,GER,21.02.67,1,Wuppertal,01.06.1990
33,34,36.34,Kendra Mackey,USA,14.01.69,1,Cwmbran,12.07.1992
34,34,36.34,Jana Rawlinson,AUS,09.11.82,1,Campbelltown,15.02.2003
35,34,36.34,Anna Kielbasinska,POL,26.06.90,4rA,Ostrava,20.06.2019
36,34,36.34,Anna Kielbasinska,POL,26.06.90,1,Poznan,27.05.2022
37,38,36.36,Grace Jackson,JAM,14.06.61,1,Azusa,24.03.1990
38,38,36.36,Gunta Vaicule,LAT,09.03.95,1rB,Ostrava,20.06.2019
39,40,36.37,Lillie Leatherwood,USA,06.07.64,1,Azusa,11.04.1992
40,40,36.37,Ami Mbacké Thiam,SEN,10.11.76,1r1,Sydney,14.09.2000
41,42,36.39,Kendall Baisden,USA,05.03.95,2,Houston,23.07.2016
42,43,36.40,Mireille Nguimgo,CMR,07.11.76,2r1,Sydney,14.09.2000
43,44,36.41,Eleni Artymata,CYP,16.05.86,2rB,Ostrava,20.06.2019
44,45,36.42A,Cathy Freeman,AUS,16.02.73,3,Ciudad de México,03.05.2003
45,46,36.43,Cathy Freeman,AUS,16.02.73,1,London,11.08.1996
46,46,36.43,Corinna Schwab,GER,05.04.99,1rA,Vecindario,10.04.2021
47,48,36.44,Sally Gunnell,GBR,29.07.66,1,Gateshead,30.07.1993
48,48,36.44,Helena Fuchsová,CZE,03.06.65,1,Jablonec nad Nisou,10.08.1999
49,50,36.45,Joslyn Hoyte-Smith,GBR,16.12.54,1,London,05.07.1980
50,51,36.46,Linsey McDonald,GBR,12.02.64,2,London,13.07.1980
51,52,36.48,Shanta Ghosh,GER,03.01.75,1,Pliezhausen,21.05.2000
52,52,36.48A,Miranda Coetzee,RSA,14.11.97,2,Pretoria,18.02.2023
53,54,36.49,Joslyn Hoyte-Smith,GBR,16.12.54,3,London,13.07.1980
54,54,36.49,Grace Jackson,JAM,14.06.61,2,Azusa,11.04.1992
55,54,36.49,Kyra Jefferson,USA,23.09.94,5rA,Ostrava,20.06.2019
56,57,36.50,Pauline Davis-Thompson,BAH,09.07.66,2,Gateshead,30.07.1993
57,57,36.50,Leslie Cole,USA,16.02.87,1,Pasadena,24.03.2012
58,57,36.50,Justyna Swiety-Ersetic,POL,03.12.92,6rA,Ostrava,20.06.2019
59,60,36.51,Sandie Richards,JAM,06.11.68,4,Gateshead,28.08.2000
60,60,36.51,Natasha Hastings,USA,23.07.86,1r1,Praire View,23.07.2020
61,62,36.52,Monique Hennagan,USA,26.05.76,4,Gateshead,19.08.2001
62,63,36.54,Cynthia Bolingo,BEL,12.01.93,1,Heusden-Zolder,06.09.2020
63,64,36.55,Petra Schersing,GER,18.07.65,2,Canberra,02.10.1985
64,64,36.55,Andrea Thomas,GER,09.04.63,2,Bad Homburg,24.05.1992
65,64,36.55,Claudine Komgang,CMR,21.02.74,1r2,Sydney,14.09.2000
66,67,36.58,Silke Knoll,GER,21.02.67,1,Wuppertal,07.05.1995
67,67,36.58,Manuela Levorato,ITA,16.03.77,1,Viareggio,22.08.2001
68,67,36.58,Justyna Swiety-Ersetic,POL,03.12.92,1,Warszawa,20.05.2017
69,70,36.59,Juliet Campbell,JAM,17.03.70,2,Cwmbran,12.07.1992
70,70,36.59,Lada Vondrová,CZE,06.09.99,1,Ústí Nad Orlocí,30.08.2022
71,72,36.60,Michelle Scutt,GBR,17.06.60,2,London,05.07.1980
72,73,36.61,Kelli White,USA,01.04.77,1,Walnut,22.04.2001
73,73,36.61,Anastasiya Kapachinskaya,RUS,21.11.79,1rA,Göteborg,27.08.2002
74,75,36.62A,Zeney Van Der Welt,RSA,22.05.00,3,Pretoria,18.02.2023
75,76,36.63,Paris Daniels,USA,25.01.90,2,Atlanta,16.05.2014
76,76,36.63,Mujinga Kambundji,SUI,17.06.92,1rA,Basel,14.05.2022
77,78,36.64,Nicola Sanders,GBR,23.06.82,1,Glasgow,03.06.2007
78,79,36.65,Joan Baptiste,GBR,12.10.59,1r2,London,18.08.1984
79,79,36.65,Adrienne Power,CAN,11.11.81,1rA,Düsseldorf,10.08.2009
80,81,36.67,Maree Holland,AUS,25.07.63,1,Sydney,08.02.1989
81,82,36.68,Grace Jackson,JAM,14.06.61,1,Gateshead,17.07.1992
82,82,36.68,Monique Hennagan,USA,26.05.76,5,Gateshead,28.08.2000
83,84,36.69,Helen Barnett,GBR,13.05.58,2,London,09.09.1983
84,85,36.70,Oleysa Zykina,RUS,07.10.80,5,Gateshead,19.08.2001
85,85,36.70,Anavia Battle,USA,28.03.99,1,Philadelphia,30.04.2022
86,87,36.71,Mariam Kromah,LBR,01.01.94,3,Houston,23.07.2016
87,87,36.71,Shakima Wimbley,USA,23.04.95,1,Sopot,16.08.2017
88,87,36.71,Bendere Oboya,AUS,17.04.00,1,Sydney,13.03.2021
89,90,36.74,Anyika Onuora,GBR,28.10.84,3,Atlanta,16.05.2014
90,90,36.74,Agne Serksniene,LTU,18.02.88,1,Basel,12.05.2018
91,92,36.75,Kim Graham,USA,26.03.71,2,London,11.08.1996
92,92,36.75,Mireille Donders,SUI,07.07.74,1,Langenthal,01.06.2000
93,94,36.76,Birgit Rockmeier,GER,29.11.73,6,Gateshead,19.08.2001
94,95,36.77,Grit Breuer,GER,16.02.72,1,Peine-Vöhrum,22.05.1996
95,95,36.77,Kaltouma Nadjina,CHA,16.11.76,2r3,Sydney,14.09.2000
96,95,36.77,Agata Zupin,SLO,17.03.98,1,Domzale,30.08.2017
97,98,36.78,Kathy Sambell,AUS,16.01.63,2,Sydney,08.02.1989
98,98,36.78,Lisanne de Witte,NED,10.09.92,1,Hengelo,09.06.2019
99,10,36.79A,Monique Hennagan,USA,26.05.76,4,Ciudad de México,03.05.2003
100,10,36.80,Uta Rohländer-Fromm,GER,30.06.69,3,Bad Homburg,24.05.1992
101,10,36.81,Juliet Campbell,JAM,17.03.70,3,London,11.08.1996
102,10,36.81,Alice Mangione,ITA,19.01.97,1,Rieti,23.04.2021
103,10,36.82,Libania Grenot,ITA,12.07.83,4,Atlanta,16.05.2014
104,10,36.83,Nova Peris,AUS,25.02.71,2r4,Sydney,14.09.2000
105,10,36.85,Kim Graham,USA,26.03.71,1,Edinburgh,08.07.1994
106,10,36.86A,Birgit Rockmeier,GER,29.11.73,1,Calgary,30.07.2001
107,10,36.87,Cathy Freeman,AUS,16.02.73,2,Gateshead,17.07.1992
108,10,36.87,Mariana Florea,ROU,29.08.76,1,Southampton,06.06.1993
109,10,36.87,Mariam Bance,BUR,04.12.93,1r1,Bobo-Dioulasso,20.02.2022
110,11,36.88,Laura de Witte,NED,07.08.95,2r3,Lisse,07.05.2016
111,11,36.88,Agne Serksniene,LTU,18.02.88,1,Basel,15.05.2021
112,11,36.89,Jillian Richardson,CAN,10.03.65,3,Gateshead,17.07.1992
113,11,36.89,Luna Thiel,GER,26.11.99,2rA,Vecindario,10.04.2021
114,11,36.90,Silke Knoll,GER,21.02.67,1,Bad Homburg,02.06.1991
115,11,36.90,Maria Magnolia Figueired,BRA,11.11.63,1r2,Marietta,21.07.1996
116,11,36.90,Agne Serksniene,LTU,18.02.88,1,Fribourg,10.05.2014
117,11,36.90,Kineke Alexander,VIN,21.02.86,4,Houston,23.07.2016
118,11,36.91,Makenzie Dunmore,USA,07.10.97,2,Carolina,17.03.2023
119,12,36.92,Phylis Smith,GBR,29.09.65,4,London,11.08.1996
120,12,36.92,Bukola Abogunloko,NGR,18.08.94,1,Sagamu,19.02.2011
121,12,36.95,Jennifer Stoute,GBR,16.04.65,1,Southampton,21.07.1991
122,12,36.96,Cathy Freeman,AUS,16.02.73,1,Perth,17.12.1995
123,12,36.96,Martyna Dabrowska,POL,05.04.94,2,Warszawa,20.05.2017
124,12,36.97,Donna Hartley,GBR,01.05.55,2,London,04.07.1975
125,12,36.97,Andrea Thomas,GER,09.04.63,2,Bad Homburg,02.06.1991
126,12,36.97,Natasha Kaiser-Brown,USA,14.05.67,2,Edinburgh,08.07.1994
127,12,36.98,Cathy Freeman,AUS,16.02.73,1,Antrim,13.06.1999
128,12,36.98,Corinne Simasotchi,SUI,11.06.71,2,Langenthal,01.06.2000
129,13,36.99,Gabriele Rockmeier,GER,29.11.73,1,Pliezhausen,08.05.1997
130,13,37.00,Anita Horvat,SLO,07.09.96,3rB,Ostrava,20.06.2019
131,13,37.02,Michelle Collins,USA,12.02.71,3,Gateshead,30.07.1993
132,13,37.02,Heidi Seyerling,RSA,19.08.76,1r2,Sydney,11.09.2000
133,13,37.02,Florence Ekpo-Umoh,GER,27.12.77,2,Gateshead,19.08.2001
134,13,37.03,Esther Akinsulie,CAN,22.04.84,1rB,Düsseldorf,10.08.2009
135,13,37.03,Mujinga Kambundji,SUI,17.06.92,1rA,Langenthal,13.05.2021
136,13,37.04,Ruth Sophia Spelmeyer-Pr,GER,19.09.90,3rA,Vecindario,10.04.2021
137,13,37.05,Julian Clay,USA,02.11.77,1,Évry-Bondoufle,17.08.2003
138,13,37.05,Estie Wittstock,RSA,15.09.80,2,Ljubljana,10.08.2004
