,0,1,2,3,4,5,6,7
0,1,1:38:23+,Liliya Shobukhova,RUS,13.11.77,Chicago,,09.10.2011
1,2,1:39:44+,Liliya Shobukhova,RUS,13.11.77,London,,17.04.2011
2,3,1:39:56+,Liliya Shobukhova,RUS,13.11.77,Chicago,,10.10.2010
3,4,1:40:35+,Aliaksandra Duliba,BLR,09.01.88,Boston,,21.04.2014
4,5,1:40:58+,Mariya Konovalova,RUS,14.08.74,London,,17.04.2011
5,6,1:41:07+,Mariya Konovalova,RUS,14.08.74,Chicago,,13.10.2013
6,7,1:41:08+,Liliya Shobukhova,RUS,13.11.77,London,,25.04.2010
7,7,1:41:08+,Tetyana Hamera-Shmyrko,UKR,01.06.83,Osaka,,25.01.2015
8,9,1:41:10+,Mariya Konovalova,RUS,14.08.74,Nagoya,,08.03.2015
9,10,1:41:18+,Mariya Konovalova,RUS,14.08.74,Chicago,,10.10.2010
10,11,1:41:32+,Tetyana Hamera-Shmyrko,UKR,01.06.83,London,,13.04.2014
11,12,1:41:44+,Aliaksandra Duliba,BLR,09.01.88,Chicago,,13.10.2013
12,13,1:42:00+,Tetyana Hamera-Shmyrko,UKR,01.06.83,Osaka,,27.01.2013
13,14,1:42:06+,Aliaksandra Duliba,BLR,09.01.88,Toronto,,19.10.2014
14,15,1:42:36+,Rkia El Moukim,MAR,22.02.88,London,,26.04.2015
15,16,1:42:37+,Tetyana Hamera-Shmyrko,UKR,01.06.83,Osaka,,26.01.2014
16,17,1:42:58+,Mariya Konovalova,RUS,14.08.74,Nagoya,,09.03.2014
17,18,1:43:09+,Lyudmyla Kovalenko,UKR,26.06.89,London,,13.04.2014
18,19,1:43:28+,Rita Sitienei Jeptoo,KEN,15.02.81,Chicago,,12.10.2014
19,20,1:43:45+,Tetyana Hamera-Shmyrko,UKR,01.06.83,London,,05.08.2012
20,21,1:44:11+,Edinah Kwambai,KEN,22.03.86,Hannover,,10.04.2016
21,22,1:44:15+,Aliaksandra Duliba,BLR,09.01.88,Boston,,20.04.2015
22,23,1:44:25+,Lucy Wangui,KEN,24.03.84,Milano,,08.04.2018
23,24,1:44:28+,Malika Assahsah,MAR,24.09.82,Valencia,,15.11.2015
24,25,1:44:34+,Rkia El Moukim,MAR,22.02.88,New York,City,02.11.2014
25,26,1:45:22+,Mariya Konovalova,RUS,14.08.74,London,,22.04.2012
26,27,1:45:45+,Lidiya Grigoryeva,RUS,21.01.74,Chicago,,11.10.2009
27,27,1:45:45+,Liliya Shobukhova,RUS,13.11.77,Chicago,,11.10.2009
28,29,1:45:50+,Lidiya Grigoryeva,RUS,21.01.74,Boston,,19.04.2010
