,0,1,2,3,4,5,6,7
0,1,20:15.6,Yelena Lashmanova,RUS,12.11.92,1,Saransk,30.12.2016
1,2,20:23.2,Yekaterina Ryzhova,RUS,29.03.94,2,Saransk,30.12.2016
2,3,20:35.8,Yelena Lashmanova,RUS,12.11.92,1,Saransk,29.12.2019
3,4,20:37.77,Margarita Turova,BLR,28.12.80,1,Minsk,13.02.2005
4,5,20:42.33,Yelena Gruzinova,RUS,24.12.67,1,Samara,01.03.1997
5,6,20:44.37,Yelena Lashmanova,RUS,12.11.92,2,Volgograd,23.02.2010
6,7,20:44.45,Anna Lukyanova,RUS,23.04.91,1,Volgograd,23.02.2010
7,8,20:48.00,Sabine Krantz,GER,06.02.81,1,Halle,19.12.2006
8,9,20:48.9,Sofiya Brodatskaya,RUS,04.10.95,3,Saransk,30.12.2016
9,10,20:50.6,Olimpiada Ivanova,RUS,05.05.70,1,Moskva,21.01.1997
10,11,20:50.86,Olimpiada Ivanova,RUS,05.05.70,2,Samara,01.03.1997
11,12,20:53.56,Kseniya Trifonova,RUS,07.05.90,3,Volgograd,23.02.2010
12,13,21:00.0,Tamara Kovalenko,RUS,05.06.64,1,Moskva,23.01.2010
13,14,21:01.8,Yuliya Turova,RUS,09.06.97,2,Saransk,29.12.2019
14,15,21:02.0,Vera Vasilyeva,RUS,08.06.87,3,Saransk,29.12.2019
15,16,21:02.78,Olga Mikhaylova,RUS,07.12.86,4,Volgograd,23.02.2010
16,17,21:04.8,Olimpiada Ivanova,RUS,05.05.70,2,Moskva,23.01.2010
17,18,21:06.0,Natalya Shiviryova,RUS,31.08.78,1,Cheboksary,23.12.2006
18,19,21:08.1,Tamara Kovalenko,RUS,05.06.64,1,Moskva,22.02.1999
19,20,21:08.2,Rimma Makarova,RUS,25.02.63,2,Moskva,21.01.1997
20,21,21:08.5,Tamara Kovalenko,RUS,05.06.64,1,Moskva,24.01.1995
21,22,21:09.7,Natalya Trofimova,RUS,17.01.75,2,Moskva,24.01.1995
22,23,21:11.04,Valentina Tsybulskaya,BLR,19.02.68,1,Minsk,26.02.1999
23,24,21:11.9,Tatyana Korotkova,RUS,24.04.80,1,Chelyabinsk,06.01.2008
24,25,21:13.5,Marina Smyslova,RUS,25.02.66,1,Novosibirsk,29.01.2003
25,26,21:15.6,Reykhan Kagramanova,RUS,01.06.97,4,Saransk,29.12.2019
26,27,21:17.7,Yekaterina Koneva,RUS,25.09.88,1,Shchelkovo,08.02.2009
27,28,21:19.67,Olga Panfyorova,RUS,21.08.77,3,Samara,01.03.1997
28,29,21:20.0,Tatyana Gudkova,RUS,23.12.78,1,Chelyabinsk,30.12.2000
29,29,21:21.0,Larisa Yemelyanova,RUS,06.01.80,2,Cheboksary,23.12.2006
30,31,21:21.04,Yelena Ginko,BLR,30.07.76,1,Minsk,18.01.2008
31,32,21:21.13,Lyudmyla Olyanovska,UKR,20.02.93,1,Sumy,24.12.2014
32,33,21:22.6,Tamara Kovalenko,RUS,05.06.64,1,Moskva,26.02.1992
33,34,21:23.0,Yelena Gruzinova,RUS,24.12.67,3,Moskva,24.01.1995
34,35,21:23.44,Brigita Virbalyte-Dimsiene,LTU,01.02.85,1,Kaunas,21.02.2009
35,36,21:23.7,Natalya Trofimova,RUS,17.01.75,3,Moskva,21.01.1997
36,37,21:23.8,Zinaida Sviridenko,RUS,24.12.68,2,Moskva,26.02.1992
37,38,21:25.3,Yelena Nikolayeva,RUS,01.02.66,4,Moskva,24.01.1995
38,39,21:25.8,Rimma Makarova,RUS,25.02.63,3,Moskva,26.02.1992
39,40,21:25.94,Yelena Ginko,BLR,30.07.76,1,Minsk,17.02.2007
40,41,21:26.61,Qieyang Shenjie,CHN,11.11.90,1,Genova,08.02.2015
41,42,21:26.7,Alena Zenkova,RUS,01.01.82,1,Chelyabinsk,06.01.2005
42,43,21:26.70,Tatyana Kalmykova,RUS,10.01.90,1,Mogilyov,01.03.2008
43,44,21:27.37,Natalya Graber,RUS,21.10.90,5,Volgograd,23.02.2010
44,45,21:27.6,Olimpiada Ivanova,RUS,05.05.70,5,Moskva,24.01.1995
45,45,21:27.8,Marina Kozneva,RUS,18.05.68,4,Moskva,26.02.1992
46,47,21:28.30,Hanna Terliukevych,BLR,15.08.87,1,Minsk,17.01.2009
