,0,1,2,3,4,5,6,7
0,1,20:49.4,Kerry Saxby-Junna,AUS,02.06.61,1=,Seattle,24.07.1990
1,1,20:49.4,Nadezhda Ryashkina,RUS,22.01.67,1=,Seattle,24.07.1990
2,3,20:54.75,Yelena Nikolayeva,RUS,01.02.66,1=,Atlanta,29.07.1996
3,4,20:54.77,Irina Stankina,RUS,25.03.77,1=,Atlanta,29.07.1996
4,5,20:56.10,Olimpiada Ivanova,RUS,05.05.70,1,Sankt Peterburg,26.07.1994
5,6,20:56.5,Kerry Saxby-Junna,AUS,02.06.61,1,Fana,26.05.1990
6,7,20:59.82,Yelena Sayko,RUS,24.12.67,2,Sankt Peterburg,26.07.1994
7,8,21:04.0,Beate Gummelt,GER,04.02.68,2,Fana,26.05.1990
8,9,21:06.44,Kerry Saxby-Junna,AUS,02.06.61,3,Sankt Peterburg,26.07.1994
9,10,21:06.76,Sari Essayah,FIN,21.02.67,4,Sankt Peterburg,26.07.1994
10,11,21:07.6,Ileana Salvador,ITA,16.01.62,1,Roma,17.06.1989
11,12,21:14.5,Beate Gummelt,GER,04.02.68,1,Fana,15.05.1992
12,13,21:14.7,Liu Wenjie,CHN,08.01.87,1,Qinhangdao,28.09.2003
13,14,21:15.1,Madeleine Svensson,SWE,20.07.69,2,Fana,15.05.1992
14,15,21:15.4,Kerry Saxby-Junna,AUS,02.06.61,3,Fana,15.05.1992
15,16,21:15.60,Anisya Kornikova,RUS,23.10.89,1,Hengelo,19.07.2007
16,17,21:15.8,Gu Yan,CHN,17.03.74,1,Fana,07.05.1994
17,18,21:17.0,Elisabetta Perrone,ITA,09.07.68,2,Fana,07.05.1994
18,19,21:21.0,Ma Yefei,CHN,06.01.87,2,Qinhangdao,28.09.2003
19,20,21:22.1,Xu Xingyu,CHN,01.12.86,3,Qinhangdao,28.09.2003
20,21,21:22.92,Vera Sokolova,RUS,08.06.87,1,Kaunas,21.07.2005
21,22,21:23.12,Tamara Kovalenko,RUS,05.06.64,15=,Podébrady,19.04.1997
22,23,21:23.14,Lyudmila Dolgopolova,BLR,11.08.69,15=,Podébrady,19.04.1997
23,24,21:23.16,Maria Rozsa-Urbanik,HUN,12.02.67,5,Dudince,25.04.1998
24,25,21:23.24,Kong Yan,CHN,05.04.71,5,Sankt Peterburg,26.07.1994
25,26,21:23.72,Annarita Sidoti,ITA,25.07.69,1,Athínai,07.08.1997
26,27,21:25.0,Elisabetta Perrone,ITA,09.07.68,1,Catania,30.05.1999
27,28,21:25.5,Yelena Nikolayeva,RUS,01.02.66,1,Fana,17.05.1988
28,29,21:25.62,Tamara Kovalenko,RUS,05.06.64,6,Sankt Peterburg,26.07.1994
29,30,21:26.0,Rossella Giordano,ITA,01.12.72,2,Catania,30.05.1999
30,31,21:27.3,Kerry Saxby-Junna,AUS,02.06.61,1,Sydney,12.01.1991
31,32,21:29.0,Yelena Nikolayeva,RUS,01.02.66,1,Kyiv,30.07.1988
32,33,21:29.3,Nadezhda Ryashkina,RUS,22.01.67,1,Fana,28.04.1989
