,0,1,2,3,4,5,6,7
0,1,1:21.77,Caster Semenya,RSA,07.01.91,1,Berlin,27.08.2017
1,1,1:21.77,Caster Semenya,RSA,07.01.91,1,Berlin,27.08.2017
2,2,1:22.39,Ajee' Wilson,USA,08.05.94,2,Berlin,27.08.2017
3,3,1:22.63A,Ana Fidelia Quirot,CUB,23.03.63,1,Guadalajara,25.07.1997
4,4,1:22.74,Athing Mu,USA,08.06.02,1,Philadelphia,30.04.2022
5,5,1:22.87,Maria Mutola,MOZ,27.10.72,1,Naimette-Xhovémont,27.08.2002
6,6,1:23.13,Maria Mutola,MOZ,27.10.72,1,Naimette-Xhovémont,02.09.2003
7,7,1:23.18,Francine Niyonsaba,BDI,05.05.93,3,Berlin,27.08.2017
8,8,1:23.35,Pamela Jelimo,KEN,15.12.89,1,Naimette-Xhovémont,05.07.2012
9,9,1:23.5A,Doina Melinte,ROU,27.12.56,1,Poiana Brasov,27.07.1986
10,10,1:23.78+,Anita Weiß,GDR,16.07.55,1s1,Montréal,24.07.1976
11,10,1:23.78,Natalya Khrushchelyova,RUS,20.05.73,2,Naimette-Xhovémont,02.09.2003
12,12,1:24.03+,Pamela Jelimo,KEN,15.12.89,1,Beijing,18.08.2008
13,13,1:24.09,Natoya Goule,JAM,30.03.91,2,Philadelphia,30.04.2022
14,14,1:24.13,Athing Mu,USA,08.06.02,1,Tempe,19.03.2022
15,15,1:24.17,Michelle Ballentine,JAM,31.08.75,1rA,Naimette-Xhovémont,03.08.2004
16,16,1:24.30+,Anita Weiß,GDR,16.07.55,1,Montréal,26.07.1976
17,17,1:24.36,Marilyn Okoro,GBR,23.09.84,2,Naimette-Xhovémont,05.07.2012
18,18,1:24.4,Patrizia Spuri,ITA,18.02.73,1,Rieti,29.09.1999
19,19,1:24.48+,Sigrun Grau,GER,07.11.65,1,Barcelona,09.09.1989
20,20,1:24.5+,Athing Mu,USA,08.06.02,1,Eugene,21.08.2021
21,21,1:24.56,Martina Steuk,GDR,11.11.59,1,Erfurt,01.08.1981
22,22,1:24.59+,Pamela Jelimo,KEN,15.12.89,1,Berlin,01.06.2008
23,23,1:24.7+,Nadezhda Olizarenko,UKR,28.11.53,1,Moskva,27.07.1980
24,23,1:24.7+,Ana Fidelia Quirot,CUB,23.03.63,2,Barcelona,09.09.1989
25,23,1:24.7+,Maria Mutola,MOZ,27.10.72,1,Zürich,17.08.1994
26,26,1:24.82,Helena Fuchsová,CZE,03.06.65,1,Gold Coast,17.09.2000
27,27,1:24.85,Ines Vogelgesang,GDR,27.11.63,1,Berlin,31.07.1983
28,28,1:24.88+,Pamela Jelimo,KEN,15.12.89,1,Oslo,06.06.2008
29,29,1:25.0+,Jarmila Kratochvílová,CZE,26.01.51,1,München,26.07.1983
30,29,1:25.0+,Janeth Jepkosgei,KEN,13.02.83,2,Beijing,18.08.2008
31,31,1:25.04,Joanna Józwik,POL,30.01.91,1,Szczecin,09.08.2015
32,32,1:25.05,Luciana de Paula Mende,BRA,26.07.71,2rA,Naimette-Xhovémont,03.08.2004
33,33,1:25.08+,Christine Wachtel,GER,06.01.65,1,Roma,31.08.1987
34,33,1:25.08+,Janeth Jepkosgei,KEN,13.02.83,1rA,Rieti,09.09.2007
35,35,1:25.12+,Pamela Jelimo,KEN,15.12.89,1,Zürich,29.08.2008
36,36,1:25.14,Nia Akins,USA,07.07.98,3,Philadelphia,30.04.2022
37,37,1:25.16+,Pamela Jelimo,KEN,15.12.89,1,Saint-Denis,18.07.2008
38,38,1:25.2,Vera Nikolic,SRB,23.09.48,1,Beograd,00.06.1967
39,38,1:25.2+,Tatyana Kazankina,RUS,17.12.51,2,Montréal,26.07.1976
