,0,1,2,3,4,5,6,7
0,1,7.63,Ludmila Engquist,RUS,21.04.64,,Sevilla,04.03.1993
1,2,7.66,Ludmila Engquist,RUS,21.04.64,h,Sevilla,04.03.1993
2,3,7.68,Ludmila Engquist,RUS,21.04.64,,San Sebastián,02.03.1993
3,4,7.69,Ludmila Engquist,RUS,21.04.64,,Liévin,13.02.1993
4,5,7.74,Ludmila Engquist,RUS,21.04.64,h1,Liévin,13.02.1993
5,6,7.78,Olga Shishigina,KAZ,23.12.68,,Liévin,18.02.1996
6,7,7.84,Damu Cherry,USA,29.11.77,h1,Boston,01.03.2003
7,8,7.89,Nevin Yanit,TUR,16.02.86,,Göteborg,01.03.2013
8,9,7.9,Damu Cherry,USA,29.11.77,,Boston,01.03.2003
9,10,7.93,Yuliya Kondakova,RUS,04.12.81,,Moskva,03.02.2013
10,10,7.93,Yekaterina Galitskaya,RUS,24.02.87,,Moskva,18.02.2014
11,12,7.94,Nevin Yanit,TUR,16.02.86,s2,Göteborg,01.03.2013
12,13,7.95,Josephine Onyia,ESP,15.07.86,,Valencia,14.02.2009
13,13,7.95,Yuliya Kondakova,RUS,04.12.81,,Moskva,12.02.2013
14,15,7.97,Josephine Onyia,NGR,15.07.86,,Zaragoza,07.02.2009
15,15,7.97,Josephine Onyia,ESP,15.07.86,h1,Sevilla,21.02.2009
16,17,7.98,Nevin Yanit,TUR,16.02.86,rA,Istanbul,23.02.2013
17,17,7.98,Yekaterina Galitskaya,RUS,24.02.87,s1,Moskva,18.02.2014
18,19,7.99,Olga Shishigina,KAZ,23.12.68,,Stockholm,25.02.1996
19,19,7.99,Yuliya Kondakova,RUS,04.12.81,,Göteborg,01.03.2013
20,19,7.99,Yekaterina Galitskaya,RUS,24.02.87,h1,Moskva,18.02.2014
