,0,1,2,3,4,5,6,7,8
0,1,10.54,3.0,Florence Griffith-Joyner,USA,21.12.59,1,Seoul,25.09.1988
1,2,10.57,4.1,Sha'Carri Richardson,USA,25.03.00,1rA,Miramar,08.04.2023
2,3,10.60,3.2,Florence Griffith-Joyner,USA,21.12.59,1h1,Indianapolis,16.07.1988
3,4,10.63,2.7,Blessing Okagbare,NGR,09.10.88,1,Lagos,17.06.2021
4,5,10.66,3.2,Brittany Brown,USA,18.04.95,1r7,Waco,23.04.2022
5,6,10.68,2.2,Marion Jones,USA,12.10.75,1rA,Stockholm,01.08.2000
6,7,10.69,2.9,Melissa Jefferson,USA,21.02.01,1,Eugene,24.06.2022
7,8,10.70,2.6,Florence Griffith-Joyner,USA,21.12.59,1s2,Seoul,25.09.1988
8,9,10.71,2.2,Shelly-Ann Fraser-Pryce,JAM,27.12.86,1,Eugene,01.06.2013
9,9,10.71,2.4,Elaine Thompson-Herah,JAM,28.06.92,1,Kingston,07.05.2016
10,11,10.72,3.0,Carmelita Jeter,USA,24.11.79,1s1,Eugene,26.06.2009
11,11,10.72,3.2,Tori Bowie,USA,27.08.90,1s2,Eugene,26.06.2015
12,11,10.72,4.5,Tawanna Meadows,USA,04.08.86,1r1,Lubbock,06.05.2017
13,11,10.72,2.7,Blessing Okagbare,NGR,09.10.88,1r1,Austin,31.03.2018
14,11,10.72,2.9,Aleia Hobbs,USA,24.02.96,2,Eugene,24.06.2022
15,11,10.72,2.4,Julien Alfred,LCA,10.06.01,1r1,Gainesville,15.04.2023
16,17,10.73,4.3,Sha'Carri Richardson,USA,25.03.00,1r1,Montverde,04.06.2022
17,18,10.74,2.7,Carmelita Jeter,USA,24.11.79,1,Eugene,24.06.2011
18,18,10.74,3.1,Tori Bowie,USA,27.08.90,1s1,Eugene,03.07.2016
19,18,10.74,2.5,English Gardner,USA,22.04.92,1s3,Eugene,03.07.2016
20,18,10.74,2.2,Cambrea Sturgis,USA,27.03.99,1,Eugene,12.06.2021
21,18,10.74,2.9,Twanisha Terry,USA,24.01.99,3,Eugene,24.06.2022
22,18,10.74,3.4,Julien Alfred,LCA,10.06.01,1h2,Norman,14.05.2023
23,24,10.75,4.1,Marion Jones,USA,12.10.75,1h3,New Orleans,19.06.1998
24,24,10.75,2.2,Blessing Okagbare,NGR,09.10.88,2,Eugene,01.06.2013
25,24,10.75,2.2,Elaine Thompson-Herah,JAM,28.06.92,1rA,Kingston,15.04.2017
26,24,10.75,4.3,Jenna Prandini,USA,20.11.92,2r1,Montverde,04.06.2022
27,24,10.75,2.8,Sha'Carri Richardson,USA,25.03.00,1h3,Miramar,08.04.2023
28,29,10.76,3.4,Marshevet Hooker,USA,25.09.84,1q1,Eugene,27.06.2008
29,29,10.76,3.2,Carmelita Jeter,USA,24.11.79,2s2,Eugene,26.06.2015
30,29,10.76,5.4,English Gardner,USA,22.04.92,1h3,Lausanne,09.07.2015
31,29,10.76,3.6,Elaine Thompson-Herah,JAM,28.06.92,1h1,Clermont,02.05.2021
32,33,10.77A,2.3,Gail Devers,USA,19.11.66,1,San José,28.05.1994
33,33,10.77,2.1,Marion Jones,USA,12.10.75,1,Eugene,31.05.1998
34,33,10.77,2.3,Ekateríni Thánou,GRE,01.02.75,1,Réthymno,29.05.1999
35,33,10.77,3.3,Twanisha Terry,USA,24.01.99,1,Walnut,16.04.2022
36,37,10.78,3.1,Evelyn Ashford,USA,15.04.57,1,Modesto,12.05.1984
37,37,10.78,5.0,Gwen Torrence,USA,12.06.65,1q3,Indianapolis,16.07.1988
38,37,10.78,2.3,Merlene Ottey,JAM,10.05.60,1s2,Tokyo,27.08.1991
39,37,10.78,3.3,Carmelita Jeter,USA,24.11.79,1,Eugene,26.06.2009
40,37,10.78,3.3,Muna Lee,USA,30.10.81,2,Eugene,26.06.2009
41,37,10.78,2.2,Veronica Campbell-Brown,JAM,16.05.82,3,Eugene,01.06.2013
42,37,10.78,2.9,Tamari Davis,USA,15.02.03,4,Eugene,24.06.2022
43,44,10.79,3.3,Marlies Göhr,GDR,21.03.58,1,Cottbus,16.07.1980
44,44,10.79,2.5,Tianna Bartoletta,USA,30.08.85,2s3,Eugene,03.07.2016
45,44,10.79,2.7,Sha'Carri Richardson,USA,25.03.00,1rA,Fort Worth,23.07.2020
46,44,10.79,2.2,Twanisha Terry,USA,24.01.99,2,Eugene,12.06.2021
47,48,10.80,2.9,Pam Marshall,USA,16.08.60,1,Eugene,20.06.1986
48,48,10.80,2.8,Heike Drechsler,GER,16.12.64,1,Oslo,05.07.1986
49,48,10.80,2.1,Murielle Ahouré,CIV,23.08.87,1h1,Montverde,11.06.2016
50,48,10.80,3.3,Tori Bowie,USA,27.08.90,1h2,Clermont,15.04.2017
51,48,10.80,3.3,Aleia Hobbs,USA,24.02.96,2,Walnut,16.04.2022
52,48,10.80,3.2,Gabrielle Thomas,USA,07.12.96,2r7,Waco,23.04.2022
53,48,10.80,2.4,Julien Alfred,LCA,10.06.01,1,Lubbock,15.05.2022
54,48,10.80,2.2,Julien Alfred,LCA,10.06.01,1q3,Fayetteville,28.05.2022
